[20.41s -> 22.41s]  We're in Sunnydale, California.
[1090.71s -> 1092.71s]  here, as the EMT is
[1092.71s -> 1094.71s]  going to pick him up and get him on that gurney.
[1094.71s -> 1096.71s]  If we could get a small round of applause for these
[1096.71s -> 1098.71s]  two, they put their heart and soul into
[1098.71s -> 1100.71s]  this event. Both of them will be in our
[1100.71s -> 1102.71s]  prayers tonight for sure.
[1102.71s -> 1104.71s]  So we are at an impasse.
[1104.71s -> 1106.71s]  Because there's currently only one person in the
[1106.71s -> 1108.71s]  ring. Number 12 was supposed to be
[1108.71s -> 1110.71s]  the apple, but we know what happened there.
[1110.71s -> 1112.71s]  So number 12 is going to have to be this guy.
[1112.71s -> 1114.71s]  Or technically 13.
[1114.71s -> 1116.71s]  Backstage, somebody's going to have to push him in the right direction.
[1116.71s -> 1118.71s]  I know this is very short notice, but we do
[1118.71s -> 1120.71s]  appreciate it. You're probably not prepared for this.
[1120.71s -> 1122.71s]  You are. You are very prepared
[1122.71s -> 1124.71s]  for this. Wearing a bunsy under your EMT
[1124.71s -> 1126.71s]  uniform. That's a little strange.
[1126.71s -> 1128.71s]  I'm not going to lie. But that allows us
[1128.71s -> 1130.71s]  to put a real countdown on the screen.
[1130.71s -> 1132.71s]  He filled the spot. Thank you
[1132.71s -> 1134.71s]  for filling it. Well, we do a quick
[1134.71s -> 1136.71s]  sort of cut over here to see our new custodian
[1136.71s -> 1138.71s]  here. That's Custodio Daniel.
[1138.71s -> 1140.71s]  Doing a great job cleaning up the mess
[1140.71s -> 1142.71s]  of that catastrophe of situations that
[1142.71s -> 1144.71s]  just happened. While number 14 is
[1144.71s -> 1146.71s]  on its way, this is going to be a popular
[1146.71s -> 1149.40s]  one. From Overwatch,
[1149.40s -> 1151.40s]  please welcome
[1151.40s -> 1153.40s]  Winston.
[1153.40s -> 1155.40s]  A real hero. An accomplished
[1155.40s -> 1157.40s]  scientist. And currently Jerma's
[1157.40s -> 1159.40s]  favorite character in the game.
[1159.40s -> 1161.40s]  As he gets in the ring here, not going to waste any time here.
[1161.40s -> 1163.40s]  Big right hand onto the audience member.
[1163.40s -> 1165.40s]  And another right hand onto the EMT.
[1165.40s -> 1167.40s]  Listen to this crowd as he goes back to the
[1167.40s -> 1169.40s]  audience member. Back and forth between the two
[1169.40s -> 1171.40s]  with more right hands. Absolutely
[1171.40s -> 1173.40s]  stunning work by Winston.
[1173.40s -> 1175.40s]  We are just graced by his presence
[1175.40s -> 1177.40s]  here. Currently trying to get a new
[1177.40s -> 1179.40s]  Overwatch team together. I'm not sure
[1179.40s -> 1181.40s]  what he's doing here. He may, in fact,
[1181.40s -> 1183.40s]  be looking at this roster
[1183.40s -> 1185.40s]  of 20 to see if anybody in the JWF
[1185.40s -> 1187.40s]  can qualify to be on Overwatch.
[1187.40s -> 1189.40s]  Ooh, as he takes a left-handed
[1189.40s -> 1191.40s]  swiveling elbow by the audience member.
[1191.40s -> 1193.40s]  And he dazed him a little bit. He gets a right hand
[1193.40s -> 1195.40s]  by the EMT into
[1195.40s -> 1197.40s]  another right hand.
[1197.40s -> 1199.40s]  Wow, and what's he going to do here? Ooh, a right
[1199.40s -> 1201.40s]  hand. Hmm.
[1201.40s -> 1203.40s]  You know, I wonder if anybody in this ring can do
[1203.40s -> 1205.40s]  something else besides a right-handed punch.
[1205.40s -> 1207.40s]  As they are now
[1207.40s -> 1209.40s]  squaring up against each other. What's going to happen here?
[1209.40s -> 1211.40s]  Right hand. Oh, I wonder.
[1211.40s -> 1213.40s]  Right hand into another big
[1213.40s -> 1215.40s]  right hand. Wow.
[1215.40s -> 1217.40s]  Really exciting stuff. Another exciting
[1217.40s -> 1219.40s]  right hand. Are we potentially going to see
[1219.40s -> 1221.40s]  an- Ooh, a right kick!
[1221.40s -> 1223.40s]  A right kick, ladies and gentlemen. Did you
[1223.40s -> 1225.40s]  see that? I can't believe it. He actually
[1225.40s -> 1227.40s]  kicked him with his right leg into-
[1227.40s -> 1229.40s]  Wait a minute. I think he's got his ultimate!
[1229.40s -> 1231.40s]  Jesus!
[1231.40s -> 1233.40s]  Ooh! Ooh!
[1233.40s -> 1235.40s]  That did not sound good.
[1235.40s -> 1237.40s]  That's a noise that I don't want to hear
[1237.40s -> 1239.40s]  again. Oh, boy.
[1239.40s -> 1241.40s]  Can we get a look at him? Make sure he's alright.
[1241.40s -> 1243.58s]  Is that- Oh, God!
[1243.58s -> 1245.58s]  Oh!
[1245.58s -> 1247.58s]  Okay. Well, we have a new contestant
[1247.58s -> 1249.58s]  coming, and hopefully the EMT is going to be alright.
[1249.58s -> 1251.58s]  But we do have a show to do, so we're going to have
[1251.58s -> 1253.58s]  to move on. Hailing from
[1253.58s -> 1255.58s]  Deadwood, South Dakota.
[1255.58s -> 1257.58s]  A real rootin' tootin' cowboy.
[1257.58s -> 1259.58s]  The two-person horse joke.
[1259.58s -> 1261.58s]  Currently seated at 19
[1261.58s -> 1263.58s]  of 20. For
[1263.58s -> 1265.58s]  pretty obvious reasons. As they get into
[1265.58s -> 1267.58s]  the ring here. If they even can
[1267.58s -> 1269.58s]  get into the ring. I'm not sure.
[1269.58s -> 1271.75s]  No?
[1271.75s -> 1273.75s]  They got it. They're doing it. They're doing it.
[1273.75s -> 1275.75s]  They got it. The two-person horse
[1275.75s -> 1277.75s]  joke is now in the ring. A very,
[1277.75s -> 1279.75s]  very strange competitor indeed.
[1279.75s -> 1281.75s]  And it looks like- A big front
[1281.75s -> 1283.75s]  kick there! And a big back kick!
[1283.75s -> 1285.75s]  Big back kick as well, by the
[1285.75s -> 1287.75s]  two-person horse. They seem to have
[1287.75s -> 1289.75s]  this flawless strategy of defense
[1289.75s -> 1291.75s]  and offense at the same time.
[1291.75s -> 1293.75s]  What are you supposed to do against this?
[1293.75s -> 1295.75s]  They're just going to trample around the ring like this. There's no
[1295.75s -> 1297.75s]  approach. And I'm actually getting word
[1297.75s -> 1299.75s]  we're going to be going backstage to see the EMT
[1299.75s -> 1301.75s]  is doing some type of self
[1301.75s -> 1303.75s]  procedure to himself. I'm not sure
[1303.75s -> 1305.75s]  if that's some type of saline solution, or if
[1305.75s -> 1307.75s]  that's something else entirely, but hopefully he's going to be alright.
[1307.75s -> 1309.75s]  He's okay.
[1309.75s -> 1311.93s]  Okay, good. We got the confirmation
[1311.93s -> 1313.93s]  from the EMT. He's going to be just fine.
[1313.93s -> 1315.93s]  So no worrying about that.
[1315.93s -> 1317.93s]  While the two-person horse is just trampling
[1317.93s -> 1319.93s]  the audience member and making his way over to Winston.
[1319.93s -> 1321.93s]  Trampling Winston as well. Double trample!
[1321.93s -> 1323.93s]  Both the front and the back are involved
[1323.93s -> 1325.93s]  with that. Digging those hooves down
[1325.93s -> 1327.93s]  deep into the chest of both these
[1327.93s -> 1329.93s]  two in the ground.
[1329.93s -> 1331.93s]  As we introduce number sixteen.
[1331.93s -> 1333.93s]  It just wouldn't
[1333.93s -> 1335.93s]  be a rumble without at least one, right?
[1335.93s -> 1337.93s]  We have to have at least one.
[1337.93s -> 1339.93s]  Yeah. Yeah.
[1339.93s -> 1341.93s]  That's 788 to be exact.
[1341.93s -> 1343.93s]  Flexing for the cameras. Showing off his strength.
[1343.93s -> 1345.93s]  That he's ready to get in the rumble.
[1345.93s -> 1347.93s]  And ready to win the rumble.
[1347.93s -> 1349.93s]  Which is definitely not going to happen. I can guarantee a
[1349.93s -> 1351.93s]  Bjerg will never win a gerber rumble.
[1351.93s -> 1353.93s]  A Bjerg can barely get up in the morning and brush his teeth.
[1353.93s -> 1355.93s]  Let alone win a fight.
[1355.93s -> 1357.93s]  Wait a minute. He's having some trouble
[1357.93s -> 1359.93s]  here.
[1359.93s -> 1361.93s]  He's yelling to somebody backstage. He's not even in the ring yet.
[1361.93s -> 1364.36s]  That's another Bjerg.
[1364.36s -> 1367.94s]  Guys, you can't
[1367.94s -> 1369.94s]  tag in mid rumble.
[1369.94s -> 1371.94s]  I don't think they understand that.
[1371.94s -> 1373.94s]  As the two person horse is now doing
[1373.94s -> 1375.94s]  his finishing move. The rootin tootin
[1375.94s -> 1377.94s]  tornado. Getting Winston
[1377.94s -> 1379.94s]  multiple times with the same move.
[1379.94s -> 1381.94s]  Absolutely devastating.
[1381.94s -> 1384.18s]  All these guys did is just change clothes.
[1384.18s -> 1386.18s]  Like I wasn't going to notice.
[1386.18s -> 1388.18s]  But you know what? I don't even give a shit at this point.
[1388.18s -> 1390.18s]  Get the ass 788 in here. Get him in the ring.
[1390.18s -> 1392.18s]  And he instantly gets kicked by the two person horse.
[1392.18s -> 1394.18s]  Who is just circling the
[1394.18s -> 1396.18s]  ring. Kicking everybody.
[1396.18s -> 1398.18s]  And look at him now. Just taunting and reveling in the fact
[1398.18s -> 1400.18s]  that nobody can touch him. He's so confident.
[1400.18s -> 1402.18s]  He knows him. Wait a minute.
[1402.18s -> 1404.18s]  Looks like the three of them are going to get together and
[1404.18s -> 1406.18s]  potentially work something out here.
[1406.18s -> 1408.18s]  The two person horse is not even paying attention.
[1408.18s -> 1410.18s]  And here we go. They're going to get behind him.
[1410.18s -> 1412.18s]  And really slowly and badly actingly
[1412.18s -> 1414.18s]  push him over to those ropes.
[1414.18s -> 1416.18s]  Really shoving him through there. They're wedging
[1416.18s -> 1418.18s]  his head in between those ropes. But will it be
[1418.18s -> 1420.18s]  enough force to push him all the way
[1420.18s -> 1422.18s]  through? And it looks like they got him.
[1422.18s -> 1424.18s]  Wait.
[1424.18s -> 1426.18s]  Hold on a second. They think they eliminated
[1426.18s -> 1428.18s]  him. No. The bottom half is still
[1428.18s -> 1430.18s]  in the ring. They need to turn around.
[1430.18s -> 1432.81s]  Triple clothesline.
[1432.81s -> 1434.81s]  And listen to that.
[1434.81s -> 1436.81s]  A completely revitalized
[1436.81s -> 1438.81s]  two person horse. Let's take a look at that again.
[1438.81s -> 1440.81s]  He slips out of the back while
[1440.81s -> 1442.81s]  they're eliminating the front half. They didn't
[1442.81s -> 1444.81s]  even know. And they got a triple clothesline
[1444.81s -> 1446.81s]  for their efforts. That's what
[1446.81s -> 1448.81s]  you get for not paying attention.
[1448.81s -> 1450.81s]  So very interesting development
[1450.81s -> 1452.81s]  here. As it looks like the bia
[1452.81s -> 1454.81s]  is going to be going for
[1454.81s -> 1456.81s]  a big suplex onto Winston.
[1456.81s -> 1458.81s]  Ladies and gentlemen, that
[1458.81s -> 1460.81s]  is the first wrestling move in
[1460.81s -> 1462.81s]  almost nine minutes.
[1462.81s -> 1464.81s]  While the bottom half of the two person horse
[1464.81s -> 1466.81s]  is currently choking in a sleeper
[1466.81s -> 1468.81s]  hold, the audience member
[1468.81s -> 1470.81s]  who just barely broke out of that
[1470.81s -> 1472.81s]  as number 17 is going to make their entrance
[1472.81s -> 1474.81s]  I was promised a show with this
[1474.81s -> 1476.81s]  one. Please welcome
[1476.81s -> 1478.81s]  all the way from the whimsical world
[1478.81s -> 1480.81s]  of Wimbledon, the magician.
[1480.81s -> 1482.81s]  Me and him actually talked
[1482.81s -> 1484.81s]  backstage before the event.
[1484.81s -> 1486.81s]  Ooh, that was flashy.
[1486.81s -> 1488.81s]  He promised me we were going to see a lot
[1488.81s -> 1490.81s]  of great magic tricks. And he was going to quote
[1490.81s -> 1492.81s]  dazzle the entire audience.
[1492.81s -> 1494.81s]  So I have no idea what that
[1494.81s -> 1496.81s]  means. But hopefully we get to see some great
[1496.81s -> 1498.81s]  family friendly magic tricks from the magician.
[1498.81s -> 1500.81s]  Welcome. As he
[1500.81s -> 1502.81s]  is kind of just sitting on the turnbuckle.
[1502.81s -> 1504.81s]  No one's really paying attention to him.
[1504.81s -> 1507.18s]  What are those? Are those gloves?
[1507.18s -> 1509.86s]  Why is he putting on gloves?
[1509.86s -> 1512.04s]  I have no idea why did the hat
[1512.04s -> 1514.04s]  comes off though. And that was kind
[1514.04s -> 1516.04s]  of cool looking. I'm not going to lie.
[1516.04s -> 1518.41s]  Wow.
[1518.41s -> 1520.84s]  That was awesome.
[1520.84s -> 1523.66s]  What is that?
[1523.66s -> 1525.83s]  What is that?
[1525.83s -> 1527.83s]  What did he just do?
[1527.83s -> 1530.07s]  What did he just do?
[1530.07s -> 1532.07s]  He pulled his brain off. That's what he did.
[1532.07s -> 1534.07s]  Oh Jesus. Okay.
[1534.07s -> 1536.07s]  Whose heart is that?
[1536.07s -> 1538.07s]  I didn't know he was going to do this.
[1538.07s -> 1540.82s]  I thought he told me he was going to do magic tricks.
[1540.82s -> 1542.82s]  Organs out of a hat. Oh boy.
[1542.82s -> 1544.82s]  What's he doing? I don't know. And why are these
[1544.82s -> 1546.82s]  two just missing clotheslines?
[1546.82s -> 1548.82s]  Was that Pacman?
[1548.82s -> 1550.82s]  Whose is that?
[1550.82s -> 1552.82s]  I have no idea. But Pacman is
[1552.82s -> 1554.82s]  now getting into the ring. And a very large
[1554.82s -> 1556.82s]  portion of our audience is rioting.
[1556.82s -> 1558.82s]  He thinks this is hilarious.
[1558.82s -> 1560.82s]  Well Pacman is just looking around the ring.
[1560.82s -> 1562.82s]  I'm not sure what he's doing. But now he's got his
[1562.82s -> 1564.82s]  eyes set on the magician. He's on the ropes.
[1564.82s -> 1569.62s]  Easily the magician
[1569.62s -> 1571.62s]  is out. And
[1571.62s -> 1573.62s]  Pacman I believe just
[1573.62s -> 1575.62s]  wanted his seat. That was the only
[1575.62s -> 1577.62s]  motivation behind it. As we get back into
[1577.62s -> 1579.62s]  the ring and Pacman now is going to get picked up
[1579.62s -> 1581.62s]  on a powerbomb. No. Hurricane Rana.
[1581.62s -> 1583.62s]  What a beautifully
[1583.62s -> 1585.62s]  crafted Hurricane Rana that was. I forget
[1585.62s -> 1587.62s]  sometimes Pacman just accidentally
[1587.62s -> 1589.62s]  does things right.
[1589.62s -> 1591.62s]  As you see he's missing punches at
[1591.62s -> 1593.62s]  no one now. And now he
[1593.62s -> 1595.93s]  lost his shoe. As
[1595.93s -> 1597.93s]  Winston is going to grab the bottom half of the two person horse
[1597.93s -> 1599.93s]  and drag him into the middle of the ring.
[1599.93s -> 1601.93s]  Potentially go for a submission away
[1601.93s -> 1603.93s]  from Pacman. Getting underneath
[1603.93s -> 1605.93s]  no it's going to be a DDT.
[1605.93s -> 1607.93s]  Also
[1607.93s -> 1609.93s]  by the way I'm getting word right now that
[1609.93s -> 1611.93s]  we have some unfortunate news to report.
[1611.93s -> 1613.93s]  Backstage the EMT has died.
[1613.93s -> 1616.55s]  So the bottom half of the two person
[1616.55s -> 1618.55s]  horse gets thrown into the corner and Pacman
[1618.55s -> 1620.55s]  is kind of doing his own thing. As
[1620.55s -> 1622.55s]  number eighteen is on the
[1622.55s -> 1624.55s]  way. And I've just got
[1624.55s -> 1626.55s]  to say it's time to get in the
[1626.55s -> 1628.55s]  spirit. It's time to get into
[1628.55s -> 1631.37s]  the mood. Merry
[1631.37s -> 1633.37s]  Christmas and welcome
[1633.37s -> 1635.37s]  the Christmas tree.
[1635.37s -> 1637.93s]  I kind of want this video to be watchable
[1637.93s -> 1639.93s]  year round. So
[1639.93s -> 1641.93s]  you know you can come back and watch this on
[1641.93s -> 1643.93s]  Christmas. You know what I mean?
[1643.93s -> 1645.93s]  But anyways the Christmas tree
[1645.93s -> 1647.93s]  making his rumble debut. Dolan
[1647.93s -> 1650.23s]  literally falls into the ring.
[1650.23s -> 1652.23s]  May have just been able to see his dick.
[1652.23s -> 1654.23s]  I truly hope not. I'm
[1654.23s -> 1656.23s]  not sure why he's not wearing pants. But
[1656.23s -> 1658.23s]  he's in the ring nonetheless the Christmas tree.
[1658.23s -> 1660.23s]  As he's going to grab Pacman here.
[1660.23s -> 1662.23s]  He's got Pacman in the air. He's going to do deck the halls.
[1662.23s -> 1664.23s]  That's deck the halls. The devastating
[1664.23s -> 1666.23s]  move. He does it to Pacman. The first
[1666.23s -> 1668.23s]  move he does is his finisher. That is
[1668.23s -> 1670.23s]  impressive from the Christmas tree.
[1670.23s -> 1672.23s]  As he takes off one of his presents. Throws the present at Pacman.
[1672.23s -> 1674.23s]  Pacman's a little bit shooken up still from
[1674.23s -> 1676.23s]  that devastating deck the halls. And a right handed
[1676.23s -> 1678.23s]  punch right in his mouth. While
[1678.23s -> 1680.23s]  Winston is being pummeled away in the corner
[1680.23s -> 1682.23s]  by the bottom half of the two person horse. And now
[1682.23s -> 1684.23s]  Pacman they're doing a punch train. This is
[1684.23s -> 1686.23s]  ridiculous. Pacman just got behind him.
[1686.23s -> 1688.23s]  And wait a second. Oh speaking
[1688.23s -> 1690.23s]  of finishing moves. Here comes Pacman's signature
[1690.23s -> 1692.23s]  move. The push. There he goes.
[1692.23s -> 1694.23s]  He's got two. He's going for three.
[1694.23s -> 1696.23s]  No he gets caught. He's going to get thrown over the ropes.
[1696.23s -> 1698.23s]  Oh he just barely hangs on.
[1698.23s -> 1700.23s]  Pacman is still in this
[1700.23s -> 1702.23s]  rumble. And can you hear that crowd? They
[1702.23s -> 1704.23s]  want him to win. And you know what?
[1704.23s -> 1706.23s]  So do I.
[1706.23s -> 1710.12s]  Shit.
[1710.12s -> 1712.12s]  So coming in number
[1712.12s -> 1714.12s]  19 after that tragic
[1714.12s -> 1716.12s]  self elimination
[1716.12s -> 1718.62s]  is going to be
[1718.62s -> 1720.62s]  Well we were just in a pizza box.
[1720.62s -> 1722.62s]  So I have no idea.
[1722.62s -> 1724.86s]  I think we're outside.
[1724.86s -> 1726.86s]  This looks like a junkyard.
[1726.86s -> 1728.86s]  So I mean we're going to cut back to the ring.
[1728.86s -> 1730.86s]  The two person horse now is getting its tail pulled.
[1730.86s -> 1732.86s]  Seems to be a working strategy.
[1732.86s -> 1734.86s]  Now the Christmas tree is going to help Winston.
[1734.86s -> 1736.86s]  I think they finally found a weakness.
[1736.86s -> 1738.86s]  As he rolls
[1738.86s -> 1740.86s]  onto the ground. Pulling that
[1740.86s -> 1742.86s]  tail must have been extremely painful
[1742.86s -> 1744.86s]  while Winston and the Christmas tree.
[1744.86s -> 1746.86s]  Oh big left hand there by the Christmas tree.
[1746.86s -> 1748.86s]  Not sure who's going to make a move here. They're both kind
[1748.86s -> 1750.86s]  of reluctant. Oh a little right handed jab.
[1750.86s -> 1752.86s]  Must have. Oh!
[1752.86s -> 1754.86s]  A low blow.
[1754.86s -> 1756.86s]  Wow. That was resorting to some
[1756.86s -> 1758.86s]  terrible terrible things. As we are back
[1758.86s -> 1760.86s]  on this camera now. Whatever this happens to be
[1760.86s -> 1762.86s]  is in the arena now.
[1762.86s -> 1764.86s]  Climbing up on the steps.
[1764.86s -> 1766.86s]  Currently in the ring. This
[1766.86s -> 1768.86s]  is number 19 by the way.
[1768.86s -> 1770.86s]  Still unsure of what it is.
[1770.86s -> 1772.86s]  I can't really see from over here. But I
[1772.86s -> 1774.86s]  do know that whatever it is, is causing
[1774.86s -> 1776.86s]  some type of problem in the ring. Everyone's
[1776.86s -> 1778.86s]  kind of walking around scared of it.
[1778.86s -> 1780.86s]  Nobody in the ring seems to know what to do
[1780.86s -> 1782.86s]  with whatever this thing is. The Christmas tree
[1782.86s -> 1784.86s]  now kind of peering at it. Looks like
[1784.86s -> 1786.86s]  he's going to potentially stomp on it. Oh!
[1786.86s -> 1789.67s]  It caught his foot!
[1789.67s -> 1791.67s]  It's a giant rat! That's a giant rat!
[1791.67s -> 1794.17s]  I'm not sure how I didn't see that before.
[1794.17s -> 1796.17s]  I must be having vision problems. Because
[1796.17s -> 1798.17s]  I'm pretty close. But the Christmas tree now
[1798.17s -> 1800.17s]  everyone's running away from it. That's not a good
[1800.17s -> 1802.17s]  place to be on the other side of the ropes. Wait
[1802.17s -> 1804.17s]  the giant rat is biting his leg. Just gnawing
[1804.17s -> 1806.17s]  at him. And the Christmas tree
[1806.17s -> 1808.66s]  is re- Shit! I just bit my tongue!
[1808.66s -> 1810.66s]  You just made me bite my tongue!
[1810.66s -> 1812.66s]  Ow! Here's the giant
[1812.66s -> 1814.66s]  rat. Christmas tree has been eliminated
[1814.66s -> 1816.66s]  cut down by the giant
[1816.66s -> 1818.66s]  rat who seems to be wanting to
[1818.66s -> 1820.66s]  make friends with the bottom half of the two-person
[1820.66s -> 1822.66s]  horse. What the hell was that?
[1822.66s -> 1824.90s]  Why would you try to shake his hand?
[1824.90s -> 1826.90s]  Oh! They're both animals.
[1826.90s -> 1828.90s]  Okay, I get it. And Winston
[1828.90s -> 1830.90s]  is also an animal. Did you
[1830.90s -> 1832.90s]  guys think that there'd be three animals in the
[1832.90s -> 1834.90s]  ring in the final four?
[1834.90s -> 1837.27s]  Yeah, I probably actually could have guessed that.
[1837.27s -> 1839.27s]  As the giant rat doing multiple punches
[1839.27s -> 1841.27s]  into Winston who has been in
[1841.27s -> 1843.27s]  the ring the longest.
[1843.27s -> 1845.27s]  A very long time as the giant rat
[1845.27s -> 1847.27s]  is going to go for a hug. Trying to hug his
[1847.27s -> 1849.27s]  friend. Is he going to get it while the last competitor
[1849.27s -> 1851.27s]  is coming down into the ring?
[1851.27s -> 1853.27s]  I don't think he got it. No! He's getting punched.
[1853.27s -> 1855.27s]  But who is number 20?
[1855.27s -> 1870.95s]  He always comes back
[1870.95s -> 1872.95s]  and he always gets what he fucking wants.
[1872.95s -> 1874.95s]  And that's the titan
[1874.95s -> 1882.18s]  demon grandpa, ladies and gentlemen.
[1882.18s -> 1884.18s]  If you don't understand
[1884.18s -> 1886.18s]  I will try to explain as best as I can.
[1886.18s -> 1888.18s]  But, wait a minute, grandpa
[1888.18s -> 1890.18s]  Grandpa's grabbing the giant rat
[1890.18s -> 1892.18s]  by the face.
[1892.18s -> 1894.18s]  He's holding him in the air.
[1894.18s -> 1896.18s]  He's yelling something. I can't tell.
[1896.18s -> 1898.18s]  We're at the rat cam right now.
[1898.18s -> 1900.18s]  We can't really determine what he's saying.
[1900.18s -> 1902.18s]  He just dropped him in the trash!
[1902.18s -> 1904.18s]  That's it!
[1904.18s -> 1906.18s]  He's been eliminated.
[1906.18s -> 1908.18s]  My god.
[1909.18s -> 1911.81s]  Let's try to describe what's happening here.
[1911.81s -> 1913.81s]  Ladies and gentlemen, grandpa
[1913.81s -> 1915.81s]  was chokeslammed into hell
[1915.81s -> 1917.81s]  in Jerma Rumble 3.
[1917.81s -> 1919.81s]  Grandpa is not a character.
[1919.81s -> 1921.81s]  He doesn't get extra lives.
[1921.81s -> 1923.81s]  He doesn't get to come back to life.
[1923.81s -> 1925.81s]  He goes right to fucking hell where he belongs.
[1928.11s -> 1930.29s]  A few different skills.
[1930.29s -> 1932.29s]  I guarantee you he came in the same portal
[1932.29s -> 1934.29s]  that Xeraxos came in. And he probably
[1934.29s -> 1936.29s]  taught him a few things. Let's see what's
[1936.29s -> 1938.98s]  going to happen here.
[1938.98s -> 1940.98s]  Just lightning-like reflexes.
[1940.98s -> 1942.98s]  Goodness. He just hit him with
[1942.98s -> 1944.98s]  the three stooges. I think that's
[1944.98s -> 1946.98s]  his finishing move. I have no idea
[1946.98s -> 1948.98s]  what to say here, guys. All I
[1948.98s -> 1950.98s]  know is that he is probably
[1950.98s -> 1954.05s]  going to win. And now he's just
[1954.05s -> 1956.05s]  taunting Winston, who's been in here for so
[1956.05s -> 1958.05s]  long he's probably exhausted.
[1958.05s -> 1960.05s]  What a grab. He definitely has
[1960.05s -> 1962.05s]  eyes in the back of his head and twists and turns
[1962.05s -> 1964.05s]  and throws the bottom half of the two-person horse
[1964.05s -> 1966.05s]  down on the ground.
[1966.05s -> 1968.05s]  I wish there was something I could do.
[1968.05s -> 1970.05s]  There are no rules in the Jerma Arena.
[1970.05s -> 1972.05s]  Shit like this is completely legal and totally fine
[1972.05s -> 1974.05s]  and accepted.
[1974.05s -> 1976.35s]  What's going on?
[1976.35s -> 1979.49s]  He's having a heart attack?
[1979.49s -> 1981.49s]  No, no, no. Don't listen to him. Don't fall for this.
[1981.49s -> 1983.49s]  He's done this shit before.
[1983.49s -> 1985.49s]  No! Winston's been eliminated.
[1985.49s -> 1987.79s]  And just like that
[1987.79s -> 1989.79s]  we are down to two.
[1989.79s -> 1991.79s]  The bottom half of the two-person horse
[1991.79s -> 1993.79s]  and Demon Grandpa. And the bottom half
[1993.79s -> 1995.79s]  of the two-person horse not only has been
[1995.79s -> 1997.79s]  in the ring for a long time, he was up
[1997.79s -> 1999.79s]  on the horse's ass for like 25 minutes before
[1999.79s -> 2001.79s]  even getting in the ring. So this is just
[2001.79s -> 2003.79s]  terrible. He needs to find some type of strength
[2003.79s -> 2005.79s]  to take on Grandpa.
[2005.79s -> 2007.79s]  He needs to do something. Anything!
[2007.79s -> 2010.22s]  What can he...
[2010.22s -> 2012.22s]  No, not this again. Don't fall for this shit
[2012.22s -> 2014.22s]  again.
[2014.22s -> 2016.22s]  Oh, heart attack. Okay, yeah. Go after
[2016.22s -> 2018.78s]  him now. Fight him! Any second now
[2018.78s -> 2021.54s]  he's gonna...he's gonna jump
[2021.54s -> 2023.54s]  up and he's gonna slash you with like a demon blade.
[2023.54s -> 2026.48s]  Any second he's gonna
[2026.48s -> 2028.48s]  he's gonna bite you and he's gonna stop biting you.
[2028.48s -> 2034.10s]  He's out!
[2034.10s -> 2036.85s]  That's it!
[2036.85s -> 2038.85s]  Ladies and gentlemen, the winner
[2038.85s -> 2040.85s]  of the first ever live action Jerma
[2040.85s -> 2042.85s]  Rumble is the bottom half
[2042.85s -> 2044.85s]  of the two-person horse.
[2044.85s -> 2047.02s]  What happened to
[2047.02s -> 2049.02s]  what the fuck was that?
[2049.02s -> 2051.02s]  That was a real heart attack?
[2051.02s -> 2053.02s]  I don't believe it. And the top
[2053.02s -> 2055.02s]  half is out here to congratulate his friend
[2055.02s -> 2057.02s]  for winning. They both are
[2057.02s -> 2059.02s]  winners.
[2059.02s -> 2064.98s]  Wait, what the? What's he talking about?
[2064.98s -> 2066.98s]  They're having some type of argument here about who actually
[2066.98s -> 2068.98s]  wins. They were one character. You have to remember.
[2077.23s -> 2081.39s]  I don't agree with that. I think you need
[2081.39s -> 2083.39s]  to be a collective unit.
[2083.39s -> 2085.39s]  He just tripped over and fell over
[2085.39s -> 2087.39s]  the ropes trying to attack his
[2087.39s -> 2090.59s]  friend. Oh my
[2090.59s -> 2092.59s]  fucking god.
[2094.59s -> 2096.59s]  Ladies and gentlemen,
[2096.59s -> 2098.83s]  the real winner
[2098.83s -> 2100.83s]  of the first ever Jerma Rumble
[2100.83s -> 2103.26s]  live action
[2103.26s -> 2105.82s]  is the Disco Diaper.
[2105.82s -> 2107.82s]  And here come the fruits to congratulate
[2107.82s -> 2109.82s]  him. He never was eliminated.
[2109.82s -> 2111.82s]  Everyone just forgot about him. I even
[2111.82s -> 2113.82s]  forgot about him. He died like
[2113.82s -> 2115.82s]  fucking two hours ago.
[2115.82s -> 2118.00s]  Whatever the fuck it was.
[2118.00s -> 2120.00s]  And they're celebrating.
[2120.00s -> 2123.01s]  I am speechless right now.
[2123.01s -> 2125.01s]  But congratulations
[2125.01s -> 2127.01s]  to the Disco Diaper.
[2127.01s -> 2129.18s]  And thank you all so much for joining
[2129.18s -> 2131.18s]  us for the first ever Jerma
[2131.18s -> 2133.18s]  Rumble live action.
[2133.18s -> 2135.18s]  It was a fucking train wreck.
[2135.18s -> 2137.18s]  And like seven people died.
[2137.18s -> 2139.18s]  But thank you nonetheless for watching.
[2139.18s -> 2141.18s]  We'll see you next time on
[2141.18s -> 2143.18s]  the next Rumble. I've been Jerma.
[2143.18s -> 2145.18s]  Thank you to everybody that
[2145.18s -> 2147.18s]  participated in this event. Have a
[2147.18s -> 2149.18s]  great rest of your day. A great rest of your evening.
[2149.18s -> 2151.18s]  The fruits are out. Everybody's
[2151.18s -> 2153.18s]  out. Have a good night.
