[37.37s -> 39.17s]  Hello, everyone. Hello.
[3291.23s -> 3293.99s]  So now I can go, but it probably costs a lot of mana, though.
[3295.69s -> 3296.89s]  All right. That's why you do.
[3296.89s -> 3298.25s]  I get it. All right. Cool, cool, cool, cool, cool.
[3298.25s -> 3299.21s]  Let's go.
[3300.89s -> 3311.17s]  Yeah. Only if you have no mana.
[3311.17s -> 3316.09s]  Yep. It's a good way to put it.
[3316.09s -> 3322.38s]  Yes, yeah. All right.
[3322.38s -> 3325.26s]  I understand. I get the rotation.
[3325.26s -> 3330.14s]  It's a good sound effect.
[3330.14s -> 3335.16s]  I do appreciate this for dummies like me
[3335.70s -> 3337.86s]  that walk in circles and forget where I just was.
[3338.26s -> 3347.42s]  I do appreciate that lightning resistance.
[3350.03s -> 3353.94s]  Where are my here we go.
[3353.94s -> 3359.38s]  Well, these materials, strength.
[3363.17s -> 3365.25s]  So resistances are in the game.
[3365.49s -> 3370.26s]  That's cool to know.
[3390.11s -> 3391.47s]  Yeah, well, I'll check. I'll check on Nancy.
[3391.47s -> 3392.55s]  I will. I promise.
[3396.28s -> 3399.04s]  We just open up the other game and she's just screaming.
[3410.34s -> 3413.10s]  Where? OK, I've been over here this way.
[3415.85s -> 3427.11s]  Dude, she's wolf food now.
[3427.11s -> 3442.17s]  Tick tock tick tick. Go start a Nancy timer.
[3443.66s -> 3460.43s]  No, we're good. We're good. We're good.
[3460.43s -> 3462.51s]  I can do that two times before I have to do it again.
[3465.14s -> 3480.38s]  I think mana potions probably, right?
[3480.38s -> 3482.70s]  It's so funny because I can do
[3483.49s -> 3486.61s]  showing Nancy Drew was just going to be.
[3486.85s -> 3489.41s]  That was a bad idea because now everyone knows
[3489.69s -> 3491.77s]  that she's just sitting there looking at the clock.
[3502.08s -> 3504.44s]  I am curious, though, because I really do wonder
[3505.08s -> 3507.60s]  if there's a time limit on that game, that's going to be very funny, too.
[3507.60s -> 3532.22s]  So let's see how it plays out.
[3532.22s -> 3539.70s]  This is what we want.
[3539.70s -> 3543.02s]  I'll tell you that this this is fun.
[3544.06s -> 3549.46s]  This is this is fun to play.
[3549.46s -> 3552.06s]  This is a thousand times better than Diablo immortal.
[3552.38s -> 3554.42s]  I mean, and I mean a hundred million times.
[3562.03s -> 3571.06s]  I like I'm not excited yet.
[3571.94s -> 3574.46s]  Don't get excited.
[3574.46s -> 3575.90s]  You haven't played Diablo in a while.
[3575.90s -> 3577.74s]  That's why it's fun.
[3577.74s -> 3579.74s]  I'm not excited yet.
[3579.74s -> 3582.94s]  In fact, this, you know what I mean?
[3592.29s -> 3596.90s]  Lucky hit chance.
[3596.90s -> 3601.55s]  What is is a lucky hit a crit lucky hit?
[3602.84s -> 3612.10s]  I don't get it. It's a baby crit.
[3612.10s -> 3620.02s]  OK, well, so something.
[3620.02s -> 3622.30s]  Another thing I want to ask, which is important.
[3623.34s -> 3628.06s]  I didn't really think to ask this question originally.
[3628.06s -> 3633.66s]  This is not because Diablo three was like weapon power
[3634.32s -> 3637.99s]  is what scaled everything.
[3637.99s -> 3641.67s]  So this is just for damage and burning for 16 damage.
[3642.23s -> 3645.03s]  Is it like Diablo two and they just kind of got away from that
[3645.03s -> 3647.63s]  and its skills just do damage and you get plus two skills?
[3648.80s -> 3652.30s]  Or is it based on your weapon damage?
[3653.82s -> 3655.34s]  It is weapon damage.
[3655.34s -> 3664.10s]  It's weapon damage and intelligence.
[3664.10s -> 3666.30s]  I never played Diablo in my life.
[3666.30s -> 3669.68s]  Ask Nancy.
[3669.68s -> 3670.96s]  Oh, I'll ask. Yeah, I'll ask her.
[3670.96s -> 3682.04s]  Yeah, let's see what she says.
[3682.04s -> 3687.98s]  She's been reading this note.
[3687.98s -> 3690.22s]  It's still nine thirty, so no time has passed.
[3699.48s -> 3701.48s]  Only one guys, only one minute passed.
[3701.48s -> 3713.93s]  It's fine. All right. We're fine.
[3713.93s -> 3716.41s]  Wait. OK, hold on. It's nine thirty two.
[3716.41s -> 3722.70s]  Wait, I need to save it.
[3722.70s -> 3735.21s]  I need to know. I'm saving the game. OK.
[3736.30s -> 3737.74s]  We're going to let this run and see what happens.
[3737.74s -> 3739.62s]  Check back on her every 30 minutes. OK.
[3740.06s -> 3741.58s]  That sounds like a good idea. We'll see what happens.
[3741.58s -> 3744.86s]  She's looking at a wardrobe right now.
[3744.86s -> 3755.78s]  I'm curious what happens.
[3755.78s -> 3758.38s]  Six months are going to go by. She hasn't left her room.
[3759.62s -> 3761.74s]  She's going to be a skeleton when you go back.
[3778.80s -> 3779.92s]  That's it. Was that a yellow?
[3779.92s -> 3806.31s]  Oh, what? What Nancy drew in the corner?
[3807.26s -> 3809.66s]  I wish I could do that because that would be very funny.
[3809.66s -> 3812.10s]  It'd be a very interesting little joke to do today.
[3812.74s -> 3815.10s]  That game is so old.
[3815.10s -> 3818.54s]  It takes over the whole computer and it makes your resolution.
[3819.37s -> 3821.53s]  It just ruins the resolution on every screen.
[3821.85s -> 3844.59s]  And I just it's not possible.
[3844.59s -> 3856.66s]  It's like you put Diablo in the corner then.
[3858.49s -> 3860.77s]  No, you don't understand. I can't.
[3860.77s -> 3863.85s]  I can't like I cannot interact with any screen
[3863.85s -> 3866.09s]  when Nancy Drew is active on a monitor.
[3885.53s -> 3887.61s]  Put it in windowed. I tried. You can't.
[3887.61s -> 3896.21s]  It's too old. It's a cool little first boss.
[3897.55s -> 3923.82s]  This is cool.
[3923.82s -> 3926.38s]  I wonder how many difficulty tiers there's going to be.
[3938.97s -> 3945.71s]  Hi. All right.
[3945.71s -> 3947.43s]  We got to split this gear up.
[3947.43s -> 3951.22s]  I know it's all right. All right. Yeah, yeah, yeah, yes, yes.
[3951.22s -> 3953.41s]  OK, so who's going to get what?
[3953.41s -> 3954.85s]  I mean, you're the rogue.
[3954.85s -> 3957.05s]  So you definitely take the dagger and I'm a sorcerer.
[3957.05s -> 3959.88s]  So I probably get staff, but I'm just relaxed.
[3959.88s -> 3962.60s]  It's really I'll take it so I can identify it.
[3962.60s -> 3975.75s]  And then core skill damage.
[3975.75s -> 3978.11s]  I'm imagining that's just abilities, right?
[3978.11s -> 3987.59s]  Because what core skill I'm imagining is these are not core skills.
[3997.46s -> 3998.70s]  That's all right.
[3998.70s -> 4002.46s]  I feel like it's not worth a point right now.
[4002.50s -> 4011.25s]  I just beef up fireball.
[4011.25s -> 4017.09s]  Oh, core core. I get it. Yeah.
[4017.09s -> 4021.20s]  I don't want to spread out too thin.
[4021.20s -> 4022.20s]  I think it's just fireball.
[4022.20s -> 4031.86s]  After casting a non-basic skill, you gain two percent resistance
[4031.86s -> 4035.30s]  to all elements and one percent additional resistance to that skills element.
[4037.49s -> 4041.86s]  That's not number goes higher when you click on somebody boring.
[4047.06s -> 4053.19s]  Let's do it with fireball.
[4053.19s -> 4060.82s]  That was pretty cool. It's fun.
[4065.16s -> 4071.61s]  I'm very much enjoying this more than I, I don't know, stop saying things.
[4072.56s -> 4074.68s]  I don't want to look back six months from now and be like,
[4074.80s -> 4077.20s]  remember when you played Diablo four and it's beta and you were like,
[4077.20s -> 4078.88s]  wow, oh, my God, it's so good.
[4078.88s -> 4080.08s]  And then you, you know what I mean?
[4080.08s -> 4082.32s]  I'm just going to this is I'm having a I'm having a good time.
[4082.76s -> 4091.39s]  I'm having a good time.
[4091.39s -> 4093.51s]  Your town should be safe now.
[4093.51s -> 4101.07s]  Truly by the centrist, Andy, I've that that's not even a step.
[4101.07s -> 4103.27s]  I'm just having a decent time playing the game.
[4103.67s -> 4105.55s]  I think it's fun so far.
[4105.55s -> 4107.47s]  That's me taking a take. That's a take.
[4147.43s -> 4149.90s]  Somebody get Nancy Drew on the fucking line.
[4149.90s -> 4162.05s]  There's been a murder.
[4162.05s -> 4181.73s]  What's wrong with me?
[4181.73s -> 4182.97s]  The hell is going on?
[4220.00s -> 4243.11s]  Turn it up.
[4243.11s -> 4244.63s]  So what? This wasn't a town after all.
[4244.63s -> 4248.28s]  This was a is this like a
[4248.28s -> 4251.08s]  they kind of like poisoned me or are they going to like sacrifice me or something?
[4251.80s -> 4284.78s]  Mother's blood, my mother's body.
[4285.78s -> 4290.30s]  So shall you witness her glory
[4292.56s -> 4295.00s]  before you die.
[4295.84s -> 4307.50s]  I'm not ready yet.
[4318.13s -> 4321.03s]  Coming to hold them to fill it.
[4322.23s -> 4326.95s]  Get up. We have to fight our way out.
[4330.68s -> 4334.00s]  Is the light preserve us?
[4334.00s -> 4339.02s]  Lost souls, all of you.
[4339.90s -> 4341.14s]  Oh, good.
[4346.16s -> 4347.92s]  Oh, a leather doublet.
[4347.92s -> 4349.64s]  I think that's better for me.
[4349.68s -> 4361.28s]  That was cool.
[4361.28s -> 4372.84s]  That was creepy. Interesting.
[4372.84s -> 4376.03s]  That was all of them like willing.
[4379.66s -> 4384.94s]  Oh, hold on. Wait a minute.
[4384.94s -> 4391.28s]  Oh, more healing received.
[4391.28s -> 4393.66s]  Oh, it's a dagger.
[4393.66s -> 4395.78s]  I need to put that on the bar, don't I?
[4395.78s -> 4398.99s]  Hmm. Am I ever going to be doing this?
[4398.99s -> 4407.42s]  Probably not ever.
[4407.42s -> 4409.82s]  You're the madman from the shed.
[4409.82s -> 4411.23s]  Madman.
[4411.23s -> 4414.55s]  Those heretics drugged me after I returned from the ruins.
[4415.07s -> 4416.75s]  Just like you.
[4416.75s -> 4417.91s]  I came to my wits.
[4417.91s -> 4419.19s]  You've adopted so far.
[4419.19s -> 4422.07s]  Try to get inside the chapel, but it was locked.
[4425.25s -> 4431.81s]  Manner of evil is this.
[4431.81s -> 4434.37s]  What petals?
[4434.37s -> 4436.45s]  I don't think that came out that way.
[4437.65s -> 4440.50s]  Hey, that was to fed them to me.
[4442.17s -> 4444.09s]  A blasphemous ritual.
[4444.09s -> 4446.16s]  How did they learn this?
[4446.16s -> 4449.36s]  Perhaps the answer lies in the chapel.
[4450.24s -> 4452.68s]  They kept it locked up for a reason.
[4453.52s -> 4456.88s]  The key might be on that woman who was leading them.
[4459.98s -> 4461.74s]  Mute your mic.
[4461.74s -> 4466.69s]  No. OK, look, the chapel key from the corpse.
[4468.17s -> 4479.62s]  Oh, cool.
[4479.62s -> 4485.92s]  Yeah. What else is going on over here?
[4485.92s -> 4492.62s]  Why does it want me to go over this way?
[4492.62s -> 4522.50s]  Oh, um, isn't beta only fire.
[4522.50s -> 4527.26s]  The smart thing to do is just always have your game in zero point nine, nine, nine.
[4530.90s -> 4532.30s]  It's just you never in one point.
[4532.30s -> 4542.66s]  It's still, you know, blood petals like the ones I was fed.
[4542.66s -> 4544.73s]  Don't ever come out of it.
[4544.73s -> 4547.01s]  Is this real? Nancy Drew would have solved this.
[4582.57s -> 4583.33s]  Those who they're asked.
[4583.33s -> 4586.49s]  Yeah, I'm playing the Resident Evil 4 remake on launch day.
[4589.14s -> 4591.10s]  Get your ass. That's happening.
[4591.10s -> 4606.14s]  Shameful. Our father has granted you a path to salvation.
[4607.14s -> 4613.09s]  And yet you stray from it at every opportunity.
[4614.29s -> 4616.69s]  You drink and gamble.
[4617.77s -> 4620.69s]  You covet and steal.
[4622.05s -> 4628.65s]  Shameful. So if you eat these, you
[4638.78s -> 4642.51s]  sin is their birthright.
[4649.49s -> 4651.69s]  What about God? Oh, my God.
[4651.69s -> 4664.12s]  My children of hell are coming to devour our salvation lies, not in the light.
[4664.40s -> 4673.99s]  But in you, the faith has taught you to deny your heart's desire
[4675.11s -> 4678.87s]  and turned you into a prisoner within yourself.
[4679.15s -> 4680.83s]  She's made out of wood.
[4680.83s -> 4688.50s]  Break the chains and discover who you were meant to be.
[4691.05s -> 4697.73s]  Break the chains and be beautiful in sin.
[4707.70s -> 4709.78s]  What are you doing?
[4709.78s -> 4712.66s]  Resist. Resist her temptation.
[4719.38s -> 4722.61s]  Lani, it's me.
[4722.61s -> 4724.97s]  I brought your child into this world.
[4726.97s -> 4728.66s]  What's going on?
[4728.66s -> 4741.02s]  Why is the audio so slow down?
[4749.38s -> 4765.78s]  My God, they just destroyed this guy.
[4765.78s -> 4770.14s]  Go to the dry steps and continue your preparations.
[4771.90s -> 4774.78s]  Now true work begins.
[4776.02s -> 4797.74s]  Hey, guys, only only one minute has passed in the world of Nancy Drew.
[4797.74s -> 4803.10s]  So, hey, guys, one minute in Nancy Drew time is an hour in real life.
[4803.10s -> 4806.14s]  Right. It's like the time is passed slower here.
[4813.37s -> 4816.22s]  Let me just go ahead and do reconnect.
[4821.19s -> 4822.55s]  Let me just start the queue again.
[4822.55s -> 4825.27s]  And it's it's just going to get longer and longer, isn't it?
[4828.75s -> 4832.30s]  It was P.M. before. Was it?
[4833.93s -> 4842.02s]  No. Yes, it was.
[4842.02s -> 4846.01s]  No, it wasn't.
[4846.05s -> 4848.09s]  Give me a second. I got to just reconnect.
[4850.83s -> 4855.14s]  It's so funny, like immersion.
[4855.14s -> 4857.46s]  Like this this unbelievable.
[4857.46s -> 4859.86s]  OK, it's a 20 minute queue, by the way.
[4859.86s -> 4864.54s]  This amazing world of Diablo and all these these crazy cutscenes.
[4864.54s -> 4869.60s]  And it's the immersion just gets just snapped out of reality.
[4870.30s -> 4874.42s]  What is just like, and let them come, let them try to find us.
[4874.42s -> 4877.22s]  We will be buried into the caverns like.
[4877.22s -> 4881.21s]  You've been disconnected.
[4881.21s -> 4882.69s]  It's a video game. It's a video game.
[4882.69s -> 4884.25s]  It's a video game. It's a video game.
[4884.25s -> 4887.65s]  It's like, oh, shit. OK, it's a video game.
[4887.65s -> 4890.30s]  It's right. Damn it.
[4890.30s -> 4891.74s]  It's a video game.
[4891.74s -> 4899.10s]  And I'm connected to a video game.
[4899.10s -> 4901.26s]  Do you actually want to a movie?
[4901.26s -> 4904.10s]  And 10, 20 minutes of the movie, there's a very touching scene
[4904.10s -> 4906.10s]  with this like a very insane scene.
[4906.10s -> 4907.30s]  Something crazy happens.
[4907.30s -> 4910.10s]  And the movie, it's like, wow, like, like Thanos, like
[4911.10s -> 4914.54s]  And it freezes on Thanos doing this with like the Infinity Gauntlet.
[4915.06s -> 4917.14s]  And it just it just says, ladies and gentlemen,
[4917.14s -> 4919.94s]  I would like to remind you that you are watching a movie.
[4920.49s -> 4921.85s]  This is a movie.
[4921.85s -> 4926.86s]  And isn't it an interesting one?
[4926.86s -> 4929.31s]  Now, please use the bathroom.
[4929.31s -> 4933.23s]  Please go and get some snacks at the concession stand.
[4933.55s -> 4935.55s]  We'll be back in 20 minutes.
[4935.55s -> 4937.63s]  It's like, I was fucking watching that.
[4941.46s -> 4945.14s]  That's kind of how it feels like playing like a day one launch sometimes.
[4947.02s -> 4953.74s]  OK, I'm ready.
[4953.74s -> 4955.74s]  No, it's I'm clicking out of the window. Come on.
[4957.90s -> 4976.78s]  All right. So what are we doing?
[4976.78s -> 4982.55s]  Am I like opening this person's door?
[4982.55s -> 4985.30s]  I have to call Ned.
[4985.30s -> 4990.96s]  No, we're not doing that.
[4990.96s -> 4994.72s]  This must be where I drop the laundry bag after I'm done cleaning all the rooms.
[4995.42s -> 4996.90s]  This shoot is for dirty laundry.
[4996.90s -> 5006.54s]  OK, so we're going to clean the rooms.
[5006.54s -> 5010.53s]  Well, huh? What was that?
[5010.53s -> 5011.85s]  What was that?
[5047.72s -> 5055.38s]  I got to clean the rooms.
[5055.38s -> 5063.10s]  Don't have the key.
[5063.14s -> 5068.52s]  How do I get in here?
[5068.52s -> 5070.68s]  How do I get in here?
[5070.68s -> 5085.15s]  You have to make breakfast first.
[5085.15s -> 5087.91s]  Bone, which Trapper Dan found near the lodge.
[5087.91s -> 5091.71s]  He believed it came from a race of giants known as Rex's.
[5092.47s -> 5094.03s]  The bone's not there.
[5094.03s -> 5095.27s]  Wonder what happened to it.
[5095.27s -> 5096.51s]  Find the bone.
[5103.72s -> 5110.33s]  So I've been playing a lot of Diablo.
[5110.33s -> 5114.30s]  Blue, red, white, green, blue, red.
[5115.66s -> 5128.34s]  I somebody remember that one.
[5128.34s -> 5140.31s]  Hmm. How would you read that?
[5140.31s -> 5143.27s]  That's not it. That's like a two point font.
[5146.62s -> 5148.98s]  Sasquatch sightings hit five year low.
[5151.03s -> 5153.39s]  Area man attacked by Wolverine.
[5156.33s -> 5158.49s]  That's just the name of the next Marvel movie coming up.
[5160.99s -> 5165.51s]  Don't forget to catch area man attacked by Wolverine in theaters this Friday.
[5168.78s -> 5176.70s]  We're getting there.
[5176.70s -> 5179.71s]  I think that's hello.
[5179.71s -> 5180.87s]  Well, hello there.
[5180.87s -> 5183.11s]  You must be the new maid Ali told us about.
[5183.39s -> 5184.63s]  I'm Bill Kessler.
[5184.63s -> 5186.15s]  This guy's Lou Talbot.
[5186.15s -> 5188.31s]  Hey, what's your name again?
[5188.67s -> 5190.31s]  Nancy, Nancy Drew.
[5190.31s -> 5192.47s]  Just thought I'd come over and say hello.
[5192.47s -> 5194.23s]  Well, Lou, here's a grad student.
[5194.23s -> 5196.23s]  Art major of all things.
[5196.23s -> 5199.39s]  You're probably going to need a jackhammer and some hydrochloric acid
[5199.39s -> 5200.91s]  to clean his roommate.
[5200.91s -> 5202.59s]  Are you two old friends?
[5202.59s -> 5205.43s]  Not hardly. I've known Lou for all of what?
[5205.71s -> 5206.91s]  But a week, I guess.
[5206.91s -> 5208.67s]  I checked in right after he did.
[5208.67s -> 5211.91s]  We sat down after breakfast one morning and discovered that this fox
[5211.91s -> 5213.67s]  and geese game is pretty darn fun.
[5213.67s -> 5215.79s]  I've been whipping his tail ever since.
[5216.63s -> 5217.63s]  Hmm.
[5219.02s -> 5221.42s]  You didn't just come here to play games, did you?
[5221.58s -> 5222.86s]  Heck, no.
[5222.86s -> 5224.34s]  I came for the ice fishing.
[5224.34s -> 5227.14s]  Of course, knowing there's a renegade wolf running around
[5227.14s -> 5229.34s]  is kind of damp in my enthusiasm.
[5231.40s -> 5233.99s]  Have you seen the wolf?
[5233.99s -> 5235.79s]  Have you seen the wolf?
[5235.79s -> 5238.95s]  Just heard it every night since I've been here, in fact,
[5239.15s -> 5241.07s]  gets creepier each time.
[5241.07s -> 5242.15s]  They should get rid of it.
[5242.15s -> 5243.47s]  And the sooner the better.
[5243.47s -> 5246.71s]  They didn't put up with wolves prowling around this place 40 years ago,
[5246.79s -> 5248.67s]  and they shouldn't put up with them now.
[5248.67s -> 5250.71s]  What are you, Little Red Riding Hood?
[5250.95s -> 5252.99s]  That wolf's not hurting anybody.
[5252.99s -> 5254.99s]  People should just leave it alone.
[5254.99s -> 5258.47s]  You'll be singing a different tune when it has some little kid for breakfast
[5258.47s -> 5260.31s]  than has you for lunch.
[5260.31s -> 5262.23s]  Not going to happen, dude.
[5262.23s -> 5267.27s]  Trust me, if something bad can happen, chances are it eventually will, dude.
[5267.87s -> 5269.39s]  Hey, I know what you can do.
[5269.39s -> 5272.99s]  Shovel the snow off the skating pond so we can do some speed skating.
[5273.39s -> 5275.55s]  Lou here thinks he's faster than me.
[5275.55s -> 5276.75s]  You're like ancient.
[5276.75s -> 5278.43s]  Course I'm faster than you.
[5278.47s -> 5280.71s]  You may have youth on your side, my friend,
[5280.71s -> 5283.63s]  but I've been working construction since before you were born,
[5283.67s -> 5286.67s]  which means I am more fit now than you will ever be.
[5286.71s -> 5287.47s]  Go shovel the pond.
[5287.47s -> 5289.47s]  Get that pond shoveled so we can settle this.
[5289.47s -> 5291.63s]  OK, kiddo? Consider it done.
[5293.17s -> 5295.89s]  OK, so we got to shovel the pond.
[5301.36s -> 5303.00s]  Not time for kitchen duty yet.
[5303.00s -> 5315.62s]  OK, wait, where's my schedule?
[5315.62s -> 5319.54s]  Oh, shit, this is the key. All right.
[5319.54s -> 5320.82s]  OK, OK, OK, OK.
[5320.82s -> 5323.32s]  All right. OK, wait, wait, wait, wait.
[5323.36s -> 5326.58s]  No, no, no, no, no, no, no, no, no, no, no.
[5330.03s -> 5334.15s]  I want to turn the page.
[5334.15s -> 5337.86s]  I want to turn the page.
[5337.86s -> 5341.34s]  I want to turn the page of the book because I want to see the my schedule.
[5342.56s -> 5346.74s]  Turn the page. I can't turn the page.
[5346.74s -> 5350.43s]  OK, I can't turn the page.
[5350.43s -> 5351.39s]  There's no more pages. Yeah.
[5351.39s -> 5353.71s]  Where wouldn't it like a telling me all these things?
[5359.79s -> 5360.95s]  I can't do the kitchen yet.
[5360.95s -> 5366.15s]  What is this here?
[5366.15s -> 5371.86s]  Do I have to get everything?
[5371.86s -> 5385.58s]  OK, I think I have to get everything the same animal.
[5385.58s -> 5388.90s]  OK, so it's I got to make this and I got to go like this.
[5395.39s -> 5400.09s]  Oh, shit, it's going to be all moose.
[5402.62s -> 5404.06s]  All right. Hold on.
[5404.06s -> 5406.23s]  I got to get this to the right spot.
[5406.23s -> 5411.51s]  So to get all mooses, all meeses, most mooses, moose.
[5411.51s -> 5418.70s]  It's just moose, right?
[5418.70s -> 5426.98s]  Me all moose, all meese, meeses.
[5431.00s -> 5433.80s]  All right. You're distracting me.
[5433.80s -> 5435.56s]  OK, let's figure this out.
[5435.56s -> 5444.49s]  If I need to do all moose, fuck it.
[5444.85s -> 5447.49s]  I'm so torn apart in like three directions.
[5448.78s -> 5460.75s]  OK, I need to get a second.
[5460.75s -> 5464.30s]  OK. All right. I'm ready.
[5464.30s -> 5469.83s]  This needs to be so to get this all.
[5469.83s -> 5472.14s]  So I need to get this. Let's go like this.
[5472.14s -> 5478.48s]  It's raccoon, raccoon, raccoon, raccoon, raccoon.
[5482.69s -> 5486.42s]  There we go. Now there we are.
[5487.56s -> 5499.13s]  OK, Izzy wasn't even hard.
[5499.13s -> 5521.10s]  I messed it up. I got it.
[5526.17s -> 5535.70s]  It's not it's not all meeses.
[5535.70s -> 5541.80s]  Needs to be all raccoons, all wolves, all pigs, all raccoons, all mooses.
[5541.80s -> 5543.62s]  What is it? Is it wolves?
[5543.62s -> 5544.86s]  It's definitely wolves. All right.
[5544.86s -> 5549.22s]  Everything is ready. I just have to move it.
[5549.22s -> 5550.34s]  It's definitely why would it not?
[5550.34s -> 5551.46s]  Why would it be moose?
[5551.46s -> 5556.10s]  The whole game is based around this ice wolf in the forest.
[5556.38s -> 5559.10s]  Why would it be moose?
[5559.10s -> 5560.74s]  OK, let's get it.
[5560.74s -> 5584.78s]  Shit, that's all wolves.
[5587.05s -> 5589.37s]  I don't think this is I don't think we have the solution to this yet.
[5598.46s -> 5609.67s]  Worth a shot. Chicken Ridge.
[5609.67s -> 5612.43s]  OK, so they want me to go outside.
[5612.79s -> 5615.17s]  I could do that.
[5615.17s -> 5618.82s]  What is that?
[5632.79s -> 5636.35s]  Is the lake better not follow this trail until I know for sure where it goes.
[5636.39s -> 5637.71s]  Oh, you'll be fine.
[5637.71s -> 5640.77s]  Just bring enough sandwiches to last you there too.
[5642.58s -> 5653.94s]  OK, here we go. It's getting fun.
[5653.94s -> 5657.37s]  Don't ever underestimate our four
[5657.81s -> 5662.90s]  bologna and cheese sandwiches wrapped in like sandwich wrap.
[5664.26s -> 5666.13s]  Don't underestimate it.
[5666.13s -> 5670.66s]  Guess I better get this pond shoveled off.
[5670.66s -> 5685.17s]  OK, so I need to.
[5685.17s -> 5695.86s]  How do I do that?
[5695.86s -> 5699.26s]  It's like it's like Minesweeper, but how do I have to hold click?
[5702.97s -> 5716.46s]  Holding click is not doing anything.
[5716.46s -> 5718.00s]  Bash it with the shovel.
[5718.00s -> 5720.02s]  Start in a corner.
[5720.02s -> 5728.05s]  Oh, shit. OK, so this is unsafe.
[5728.05s -> 5734.67s]  I don't touch that one.
[5734.67s -> 5737.63s]  So this is unsafe.
[5737.63s -> 5743.53s]  How do I know it's safe?
[5743.53s -> 5750.01s]  Just don't step on that.
[5750.01s -> 5752.18s]  So wait, this is safe.
[5752.18s -> 5757.26s]  This is unsafe.
[5757.26s -> 5759.68s]  He's never played Minesweeper.
[5759.68s -> 5763.80s]  I mean, I've played the amount of time that most people that have a Windows
[5763.80s -> 5766.64s]  machine played Minesweeper and as you opened it for 10 seconds,
[5767.16s -> 5772.43s]  put it on the highest possible difficulty and then clicked in one spot and lost.
[5774.12s -> 5777.08s]  Or you put it on the lowest possible difficulty.
[5777.58s -> 5782.71s]  Click in three places and win.
[5782.71s -> 5788.02s]  I understand the concept of Minesweeper, but like what am I trying to?
[5788.14s -> 5793.45s]  I guess I'm just right.
[5793.45s -> 5797.41s]  OK, so that means that there I don't even know what this is trying to tell me, though.
[5802.66s -> 5803.94s]  All right. So this is a little bit.
[5803.94s -> 5812.34s]  This is kind of this is. Yeah.
[5812.34s -> 5813.78s]  Yes, but I'm OK now.
[5813.78s -> 5815.74s]  I just got a little wet and cold.
[5815.74s -> 5817.46s]  Actually, I got really cold.
[5817.46s -> 5819.94s]  My lips turned this really interesting shade of violet.
[5819.98s -> 5825.09s]  What I know.
[5825.09s -> 5827.33s]  I'll be more careful next time. I promise.
[5834.43s -> 5847.20s]  You don't mean if you don't want to concern your employer,
[5847.72s -> 5850.90s]  you don't say, you know what I mean?
[5850.90s -> 5852.38s]  Like, oh, yeah.
[5852.38s -> 5854.02s]  Hey, so everything OK? Oh, yeah.
[5854.02s -> 5858.86s]  Hey, dude, my lips turned this really crazy shade of purple.
[5859.22s -> 5862.17s]  It's like, huh?
[5862.17s -> 5865.10s]  What are you talking about?
[5865.10s -> 5868.58s]  That was that was like a funny thing for Nancy to say.
[5868.58s -> 5870.90s]  That was like, oh, my lips turned purple.
[5871.77s -> 5873.45s]  Now, are you all right?
[5873.45s -> 5874.69s]  No, no, no, no, no.
[5874.69s -> 5875.45s]  You got to go check.
[5875.45s -> 5879.20s]  We got to check you out at the doctor.
[5879.20s -> 5881.72s]  Guess I better get this pond shoveled off.
[5881.72s -> 5891.30s]  OK, well, and fun, Nancy.
[5891.30s -> 5893.90s]  See you in a little bit.
[5893.90s -> 5905.25s]  Don't worry, Nancy. We absolutely will be back.
[5905.25s -> 5917.54s]  See you in probably 30 minutes.
[5917.54s -> 5922.62s]  She's freezing. She's fine.
[5922.62s -> 5928.30s]  There's a timer.
[5928.30s -> 5929.82s]  I don't think the game.
[5929.82s -> 5931.18s]  Here's the thing.
[5931.18s -> 5934.66s]  I don't think the game is active if it is alt tabbed.
[5935.70s -> 5938.14s]  I think we're going to be fine.
[5938.14s -> 5941.46s]  I believe the Nancy Drew client has to be active.
[5950.06s -> 5953.58s]  My lips turned this wacky shade of violet.
[5958.14s -> 5960.90s]  Only fire can cleanse the darkness.
[5960.90s -> 5962.58s]  I can do that.
[5962.58s -> 5963.70s]  Have a look inside.
[5963.70s -> 5966.30s]  But hurry, I will prepare the torch.
[5971.25s -> 5975.20s]  Blood petals like the ones I was fed.
[5976.42s -> 5978.42s]  Here, we already saw this on this real.
[5989.92s -> 5991.00s]  We already saw that.
[5991.04s -> 5993.28s]  You came to thank the light.
[5997.81s -> 6000.37s]  You collapsed inside.
[6000.37s -> 6002.49s]  I thought that darkness had swallowed you.
[6004.27s -> 6014.09s]  OK, we are good.
[6014.09s -> 6016.46s]  Why do you skip?
[6016.46s -> 6018.10s]  We not see that one.
[6018.10s -> 6019.42s]  Oh, shit. That's right.
[6019.42s -> 6021.78s]  It happened. Oh, that's right.
[6021.78s -> 6025.69s]  Oops. Can you say it again?
[6025.69s -> 6028.65s]  Oops. He surrounds himself as it ended.
[6029.13s -> 6030.33s]  I forgot. Sorry.
[6030.33s -> 6035.13s]  Tread carefully and pray he has not fallen to Lilith as well.
[6036.66s -> 6039.62s]  It's a beta. We're going to see this all in a week or two anyways.
[6042.43s -> 6044.79s]  All right. There's a hermit that I have to find.
[6044.79s -> 6048.15s]  Lilith Lilith is able to manipulate people.
[6049.70s -> 6052.99s]  She's the lord of manipulation.
[6052.99s -> 6055.62s]  Lord of all right.
