[1.66s -> 3.66s]  Just because.
[1311.61s -> 1314.92s]  That's my horse.
[1314.92s -> 1316.92s]  Why was it just angry? It just had like a
[1316.92s -> 1318.92s]  blip on the screen. Really?
[1318.92s -> 1320.92s]  Yeah, it was a red blip. No, I don't
[1320.92s -> 1323.22s]  know. That was weird.
[1323.22s -> 1325.98s]  Easy, easy, easy, easy.
[1325.98s -> 1327.98s]  Watch this, they're going to go
[1327.98s -> 1331.62s]  bowling. They're fast
[1331.62s -> 1333.62s]  though. These horses are real fucking
[1333.62s -> 1337.40s]  shitty. These pins.
[1337.40s -> 1339.40s]  So Jeremy, are you going to Pax East
[1339.40s -> 1341.40s]  this year, even though you now live halfway across
[1341.40s -> 1343.40s]  the country? More than halfway.
[1343.40s -> 1345.40s]  I am not.
[1345.40s -> 1347.40s]  Not going to Pax East this year.
[1347.40s -> 1349.40s]  Unfortunately. I had to
[1349.40s -> 1351.40s]  check. I just wanted to know. Are you chasing after
[1351.40s -> 1353.40s]  this guy? No, I'm just
[1353.40s -> 1355.40s]  trying to head to Valentine.
[1355.40s -> 1357.77s]  Yeah, not this year.
[1357.77s -> 1360.46s]  Vinny, are you going to Pax East?
[1360.46s -> 1362.46s]  I will be there in body
[1362.46s -> 1365.08s]  but not in spirit.
[1365.08s -> 1367.51s]  So no.
[1367.51s -> 1370.01s]  Because your spirit
[1370.01s -> 1372.01s]  is what controls the body. The body is just a
[1372.01s -> 1374.01s]  big case.
[1374.01s -> 1376.01s]  Yeah, it's like
[1376.01s -> 1378.01s]  a meat machine.
[1378.01s -> 1380.01s]  So you're sending your horse hair cooler master
[1380.01s -> 1382.01s]  to Pax.
[1382.01s -> 1384.01s]  That's correct.
[1384.01s -> 1386.25s]  I need a new keyboard for this
[1386.25s -> 1388.25s]  fucking game.
[1388.25s -> 1390.25s]  And I need some more memory because, man, I am
[1390.25s -> 1392.25s]  running out.
[1392.25s -> 1394.25s]  I've got to learn how to laugh without being a disgusting
[1394.25s -> 1396.49s]  human being.
[1396.49s -> 1398.49s]  Me just laughing right there.
[1398.49s -> 1400.49s]  What was my horse doing?
[1400.49s -> 1402.49s]  What the fuck?
[1402.49s -> 1405.05s]  He just ran over my
[1405.05s -> 1410.62s]  head.
[1410.62s -> 1412.62s]  That was good. Keep it up.
[1412.62s -> 1414.62s]  I need to feed him.
[1414.62s -> 1416.98s]  Oh, carrots.
[1416.98s -> 1418.98s]  Where's the horse food? Oh, that's right.
[1418.98s -> 1420.98s]  I can feed him my clothes.
[1420.98s -> 1422.98s]  I barely have anything to feed this fucking
[1422.98s -> 1432.78s]  thing.
[1432.78s -> 1434.78s]  Are you trying to shoot that guy? Yeah, I tried.
[1434.78s -> 1437.21s]  But yeah, what I'm saying is
[1437.21s -> 1439.21s]  people must hate
[1439.21s -> 1441.21s]  talking to me. Okay, so let me ask
[1441.21s -> 1443.21s]  you something. We like hung out.
[1443.21s -> 1445.21s]  We hung out in person.
[1445.21s -> 1447.21s]  In person.
[1447.21s -> 1449.21s]  When I like laughed at something, did I just
[1449.21s -> 1451.21s]  like sprinkle or spit in
[1451.21s -> 1453.21s]  your face? No. Okay.
[1453.21s -> 1455.21s]  I don't know what it is about sitting here, but every time I laugh, I just like
[1455.21s -> 1457.21s]  droplets of water just all over my
[1457.21s -> 1459.21s]  screen. I'm not even sipping anything.
[1459.21s -> 1461.21s]  I don't understand how.
[1461.21s -> 1463.21s]  You know, I have a weird
[1463.21s -> 1465.21s]  confession to make. Okay.
[1465.21s -> 1467.21s]  So my Wii U gamepad, the screen
[1467.21s -> 1469.21s]  is like
[1469.21s -> 1471.21s]  is kind of gross. That's like
[1471.21s -> 1473.21s]  four years of streaming it and speaking
[1473.21s -> 1475.21s]  in front of it. And I thought I didn't
[1475.21s -> 1477.21s]  spit when I spoke or laugh.
[1477.21s -> 1479.21s]  I was clearly extremely
[1479.21s -> 1481.21s]  mistaken. So I think this is just being
[1481.21s -> 1483.21s]  a human. This is just faulty hardware.
[1483.21s -> 1485.21s]  Something that we all share.
[1485.21s -> 1487.21s]  No, I think you're honest in there because
[1487.21s -> 1489.21s]  it's gonna happen again. Don't you do it.
[1489.21s -> 1491.21s]  Okay, we're fine. This horse
[1491.21s -> 1493.21s]  sucks. I'd rather just ride on yours.
[1495.45s -> 1497.45s]  You can if you want. My
[1497.45s -> 1499.45s]  oatmeal is a sturdy horse
[1499.45s -> 1501.45s]  firm, I guess. But also the
[1501.45s -> 1503.45s]  frame rates are dipping. Are you getting like weird frame rates?
[1503.45s -> 1505.45s]  Oh yeah, it's bad. It's like
[1505.45s -> 1507.45s]  20 frames a second. Yeah, what's
[1507.45s -> 1509.45s]  going on? I feel like I'm playing Ocarina of Time again.
[1509.45s -> 1511.45s]  Uh, but I think
[1511.45s -> 1513.45s]  that's just like a hill. Let me like transfer.
[1513.45s -> 1516.07s]  Let me transfer.
[1516.07s -> 1518.07s]  I think that's just a
[1518.07s -> 1520.57s]  almost a tree.
[1520.57s -> 1522.57s]  Just hang on a minute, okay? Yeah. Where's your horse?
[1522.57s -> 1526.28s]  Take care of it.
[1526.28s -> 1528.28s]  Wait, you're killing him. You just killed my horse?
[1528.28s -> 1530.28s]  No, no, I
[1530.28s -> 1532.28s]  wouldn't let me. We're friends.
[1532.28s -> 1534.28s]  Tidge wouldn't let me. Yeah,
[1534.28s -> 1536.71s]  I tried.
[1536.71s -> 1538.71s]  But you haven't noticed that, I don't know, do you have like an iPad
[1538.71s -> 1540.71s]  or anything? I don't have
[1540.71s -> 1543.02s]  any, um, no.
[1543.02s -> 1545.02s]  Even like the Switch or the Wii U,
[1545.02s -> 1547.02s]  you're right there, but for some
[1547.02s -> 1549.02s]  reason, it's the most embarrassing thing in the world.
[1549.02s -> 1551.02s]  Even your phone too. If somebody
[1551.02s -> 1553.02s]  ever is like, hey, can I use your phone?
[1553.02s -> 1555.02s]  It's just like, oh fuck, and you look at it and
[1555.02s -> 1557.02s]  it's just like, oh, and I was like, I was like shitting and like
[1557.02s -> 1559.02s]  using this. I gotta like wipe it off. I gotta like
[1559.02s -> 1561.02s]  pissing and
[1561.02s -> 1563.02s]  There's particles.
[1563.02s -> 1565.02s]  There's particles, whether you want there to be or not,
[1565.02s -> 1567.02s]  there's particles. And nobody wants, nobody
[1567.02s -> 1569.02s]  wants you to, if there's a screen involved,
[1569.02s -> 1571.02s]  you never want
[1571.02s -> 1573.02s]  someone to touch it or look at it.
[1573.02s -> 1575.90s]  Anytime somebody wants to, oh, can I use your iPad
[1575.90s -> 1578.65s]  for a second? Well, that person didn't
[1578.65s -> 1580.65s]  let us use their iPad.
[1580.65s -> 1586.41s]  Fuck. Maybe there are horses
[1586.41s -> 1588.41s]  better. I can't steal it.
[1588.41s -> 1592.95s]  We can't take it?
[1592.95s -> 1594.95s]  Oh, hey.
[1594.95s -> 1597.83s]  Calm it down,
[1597.83s -> 1599.83s]  calm down, calm down, calm down.
[1599.83s -> 1601.83s]  Alright, let's get out of here before they get mad at us.
[1601.83s -> 1603.83s]  No, no, I'm talking about the horse. I calmed the horse down. This thing is cool.
[1603.83s -> 1606.14s]  We need to take this thing.
[1606.14s -> 1608.14s]  I don't think we can. I think it's, it's got a
[1608.14s -> 1610.14s]  saddle on it. That thing tried to kick you
[1610.14s -> 1614.68s]  by the way.
[1614.68s -> 1618.58s]  Well, that person's head is still bleeding.
[1618.58s -> 1622.30s]  I can't wait to get our cool, oh, there they are,
[1622.30s -> 1625.18s]  they're there. Alright,
[1625.18s -> 1627.18s]  line it up. I'm jumping to the horse.
[1630.18s -> 1632.18s]  Not even necessary.
[1632.18s -> 1634.49s]  Nope, none of this
[1634.49s -> 1636.49s]  is necessary. I told you, I'm not a good guy.
[1636.49s -> 1638.49s]  I am morally as
[1638.49s -> 1640.49s]  gray as you can get. This is your, this is
[1640.49s -> 1642.49s]  good guy, right?
[1642.49s -> 1644.66s]  I'm a good guy, yeah. No, that's what,
[1644.66s -> 1646.66s]  good, we,
[1646.66s -> 1648.90s]  what's bad about it?
[1648.90s -> 1650.90s]  They are bad. We're killing the bad guys.
[1650.90s -> 1655.13s]  That's what I'm saying. So,
[1655.13s -> 1657.13s]  oh, oh, oh, here, in regards to the
[1657.13s -> 1659.13s]  discussion that we just had about touchscreens,
[1659.13s -> 1661.13s]  did you know that they did,
[1661.13s -> 1663.13s]  I don't know who they is,
[1663.13s -> 1665.13s]  but they did some tests
[1665.13s -> 1667.13s]  on McDonald's touchscreens
[1667.13s -> 1669.13s]  for ordering, and they determined that
[1669.13s -> 1671.13s]  there is poo on every one of the ones
[1671.13s -> 1673.13s]  that they tested. Oh,
[1673.13s -> 1675.13s]  that's, that's fucking
[1675.13s -> 1677.13s]  disgusting.
[1677.13s -> 1679.37s]  Nice jump, by the way.
[1679.37s -> 1682.63s]  Yeah. I'm
[1682.63s -> 1684.63s]  sorry, man, but I'm of the opinion, that doesn't really
[1684.63s -> 1686.63s]  gross me out because I feel like there's poo
[1686.63s -> 1688.63s]  everywhere. Yeah, there is poo
[1688.63s -> 1690.63s]  everywhere. As Bruce Willis once said, there's always
[1690.63s -> 1692.63s]  a little shit in the meat. I mean, like
[1692.63s -> 1694.63s]  there's probably, there's probably shit on your hands
[1694.63s -> 1696.63s]  right now. Yeah.
[1696.63s -> 1698.63s]  No, I wouldn't be surprised. I mean, you know, little
[1698.63s -> 1700.63s]  microbes.
[1700.63s -> 1702.63s]  I mean, if you test the oxygen around you, it's
[1702.63s -> 1704.63s]  probably like point one percent poo.
[1704.63s -> 1706.63s]  And you just look down and it's like, oh my
[1706.63s -> 1708.63s]  god. My hands
[1708.63s -> 1710.63s]  are covered in shit. I look
[1710.63s -> 1712.63s]  down and my controller is just filled
[1712.63s -> 1715.32s]  with turds.
[1715.32s -> 1717.50s]  That would be disgusting. I'm getting
[1717.50s -> 1719.50s]  someone just said, Vinnie, I'm getting sick.
[1719.50s -> 1721.50s]  I'm sorry, chat member. You didn't deserve that.
[1721.50s -> 1723.74s]  How much vomit
[1723.74s -> 1725.74s]  particulates do you believe are floating
[1725.74s -> 1727.74s]  around at any given moment? Well,
[1727.74s -> 1729.74s]  to be, I'll be completely honest, at least
[1729.74s -> 1731.74s]  a few dozen here because I, when you said you were a
[1731.74s -> 1733.74s]  Yankees fan, I threw up into my glass. So
[1733.74s -> 1735.74s]  Oh, good point. That did happen.
[1735.74s -> 1737.74s]  How did you feel about
[1737.74s -> 1739.74s]  I mean, are you, I don't know, I don't remember
[1739.74s -> 1741.74s]  if we talked about this when we were in Boston, but are
[1741.74s -> 1743.74s]  you a big enough baseball fan to have really felt
[1743.74s -> 1745.74s]  like a dopamine hit when
[1745.74s -> 1747.74s]  they won? Um, no.
[1747.74s -> 1749.74s]  Because I took the ultimate
[1749.74s -> 1753.00s]  drug in 2004. Jesus.
[1753.00s -> 1755.00s]  Jesus.
[1755.00s -> 1757.00s]  I found Jesus.
[1757.00s -> 1759.00s]  Oh, no, really?
[1759.00s -> 1761.00s]  What did you hit?
[1761.00s -> 1763.00s]  When the Red Sox won the World Series for the first
[1763.00s -> 1765.00s]  time in like a hundred years. Oh, okay.
[1765.00s -> 1767.00s]  That was 2004 was like the magical
[1767.00s -> 1769.00s]  year and no other drug could ever
[1769.00s -> 1771.00s]  come close.
[1771.00s -> 1773.00s]  2007 was pretty good too because
[1773.00s -> 1775.00s]  one of my favorite players was on the
[1775.00s -> 1777.00s]  World Series with 2007 and
[1777.00s -> 1779.00s]  you know, that team
[1779.00s -> 1781.00s]  I think was a really great team. But then
[1781.00s -> 1783.00s]  2013, it was like, oh, okay.
[1783.00s -> 1785.00s]  Man, this is
[1785.00s -> 1787.00s]  Red Sox are so good this third time
[1787.00s -> 1789.00s]  in like less than 10 years.
[1789.00s -> 1791.00s]  And then this last one, it's like the best team they've ever
[1791.00s -> 1793.00s]  had in history of the history of the entire
[1793.00s -> 1795.00s]  franchise. And it's like, yeah.
[1795.00s -> 1797.00s]  Man, I wish I could get that 2004
[1797.00s -> 1799.00s]  drug bill.
[1799.00s -> 1801.00s]  Right, right. It just gets less. It's like
[1801.00s -> 1803.00s]  when the Yankees won a bunch in
[1803.00s -> 1805.00s]  a row in the
[1805.00s -> 1807.00s]  late 90s and it was just getting boring.
[1807.00s -> 1809.00s]  And then when they didn't win, it was like, well, fuck, I wanted a day
[1809.00s -> 1811.00s]  off from school.
[1811.00s -> 1813.00s]  It wasn't even like special anymore. It was just
[1813.00s -> 1815.00s]  where's my day off? Because they were giving us a day off when the Yankees
[1815.00s -> 1817.00s]  won. Really?
[1817.00s -> 1819.00s]  Yeah, they did. For the parade.
[1819.00s -> 1821.00s]  You could choose not to go and they wouldn't be upset.
[1821.00s -> 1823.00s]  Wow.
[1823.00s -> 1825.00s]  Uh huh. So where's our free horse?
[1825.00s -> 1827.24s]  Um, hey chat.
[1827.24s -> 1830.94s]  Was that a jape?
[1830.94s -> 1833.50s]  Did you guys, uh...
[1833.50s -> 1835.80s]  Were you just joking with us the whole time, huh?
[1835.80s -> 1837.80s]  No. The free horse is in strawberry.
[1837.80s -> 1841.06s]  Jeremy, I have a
[1841.06s -> 1843.30s]  I have a confession. What is it?
[1843.30s -> 1845.30s]  I took us to the wrong town. Oh.
[1845.30s -> 1847.86s]  It's okay.
[1847.86s -> 1849.86s]  Because I go to the wrong town literally
[1849.86s -> 1851.86s]  every time I play the game. So.
[1851.86s -> 1854.68s]  Okay. Um, we have to go to strawberry.
[1854.68s -> 1857.75s]  Wait, wait, can we take a, um,
[1857.75s -> 1859.75s]  take a fast travel? I think it costs money.
[1859.75s -> 1862.87s]  What's this horse? Did I get a...
[1862.87s -> 1864.87s]  Oh, this is the horse that I got from... Okay, yeah.
[1864.87s -> 1867.43s]  So this is my actual horse.
[1867.43s -> 1869.43s]  There's one with the frame rates in multiplayer.
[1869.43s -> 1871.43s]  Jesus. Yeah, they're pretty bad.
[1871.43s -> 1874.70s]  Um, I'm gonna
[1874.70s -> 1876.70s]  attempt to do the stagecoach and see how long that takes.
[1876.70s -> 1878.70s]  And how much money
[1878.70s -> 1880.70s]  it costs to fast travel. Oh, yeah, yeah.
[1880.70s -> 1883.26s]  That's probably a good idea.
[1883.26s -> 1885.26s]  It's under buy horses superior.
[1885.26s -> 1887.26s]  But it's only in strawberry. Only in
[1887.26s -> 1891.61s]  strawberry. How far away is that from here?
[1891.61s -> 1893.61s]  That's not that far. It's not too bad.
[1893.61s -> 1895.61s]  It's not terrible. Vinny, no. Hang on.
[1895.61s -> 1897.61s]  Wait, wait, wait. Only strawberry.
[1897.61s -> 1899.61s]  No. In any stables. Only strawberry.
[1899.61s -> 1901.61s]  Any stable. Only
[1901.61s -> 1903.61s]  strawberry. I hate life sometimes.
[1903.61s -> 1905.61s]  Okay, I'm gonna go back to this and I'm gonna let you know.
[1905.61s -> 1907.61s]  Eat the raspberries, Vinny.
[1907.61s -> 1909.61s]  That's what they say.
[1909.61s -> 1911.61s]  Eat those raspberries. Don't eat them.
[1911.61s -> 1913.61s]  They're not poisonous. Those raspberries
[1913.61s -> 1915.61s]  in front of you are not poisonous. Yes, they are.
[1915.61s -> 1917.61s]  They're poisonous. Like,
[1917.61s -> 1919.61s]  I've talked about this on my stream before, but let me
[1919.61s -> 1921.61s]  see how you feel about this.
[1921.61s -> 1923.61s]  If you were in a room and
[1923.61s -> 1925.61s]  there were a hundred people
[1925.61s -> 1927.61s]  outside, like we're talking like a two-way
[1927.61s -> 1929.61s]  mirror, like glass, right? You're sitting in like
[1929.61s -> 1932.10s]  a interrogation room.
[1932.10s -> 1934.10s]  And a guy comes in and puts
[1934.10s -> 1936.10s]  berries down in front of you.
[1936.10s -> 1938.10s]  They're like
[1938.10s -> 1940.10s]  red. Just red berries on the little
[1940.10s -> 1942.86s]  plate and he leaves the room. Are you going to eat
[1942.86s -> 1944.86s]  them if you hear fifty
[1944.86s -> 1946.86s]  percent of the people screaming, don't eat those.
[1946.86s -> 1948.86s]  They're poisonous from the other room.
[1948.86s -> 1950.86s]  Or eat them. They'll give you superpowers. Don't listen
[1950.86s -> 1955.91s]  to them. What are you gonna do? Are you gonna eat them?
[1955.91s -> 1957.91s]  How depressed am I before I enter this room?
[1957.91s -> 1959.91s]  Today was a great day.
[1959.91s -> 1962.66s]  Like, today was a fantastic day.
[1962.66s -> 1965.03s]  One of the best you probably had all week.
[1965.03s -> 1970.01s]  Did Smash come out yet?
[1970.01s -> 1972.01s]  Yeah, Smash came out.
[1972.01s -> 1974.01s]  And Gino got confirmed for DLC.
[1980.84s -> 1982.84s]  Okay, I won't eat the berries then. You won't eat them?
[1982.84s -> 1984.84s]  Alright. No. Alright, so when you push that
[1984.84s -> 1986.84s]  away, half of the people in the other room
[1986.84s -> 1988.84s]  are screaming at you.
[1988.84s -> 1991.72s]  And they're very upset with you. And like your
[1991.72s -> 1993.72s]  day gets worse because as you're walking out
[1993.72s -> 1995.72s]  there's like drinks are getting thrown at you.
[1995.72s -> 1998.02s]  There's like fruits that are flying by your head.
[1998.02s -> 2000.02s]  Like, you should have eaten yours, you fucking idiot.
[2000.02s -> 2002.02s]  And like somebody drives by and throws like a large soda at you.
[2002.02s -> 2007.40s]  God, this is tough. What would
[2007.40s -> 2010.15s]  you do?
[2010.15s -> 2012.15s]  I wouldn't do it. No, I don't think so.
[2012.15s -> 2015.61s]  I mean, super powers sound cool
[2015.61s -> 2017.61s]  and everything, but isn't God much
[2017.61s -> 2019.61s]  more cooler?
[2019.61s -> 2021.61s]  Alright, I'm gonna sell oatmeal. Goodbye oatmeal.
[2021.61s -> 2023.61s]  Why are you selling your
[2023.61s -> 2025.61s]  horse? I liked oatmeal because
[2025.61s -> 2027.61s]  it was a cool name, but someone else can have oatmeal.
[2027.61s -> 2029.61s]  There's a free horse in here, dude. There's a free horse in there?
[2029.61s -> 2031.61s]  Yeah, there's a free horse.
[2031.61s -> 2035.00s]  Did you just like ram
[2035.00s -> 2037.00s]  into the fucking stables at full speed?
[2037.00s -> 2039.00s]  Because I saw that on the
[2039.00s -> 2041.00s]  cutscene.
[2041.00s -> 2043.00s]  Alright, go to buy horse,
[2043.00s -> 2045.00s]  go to superior at the bottom,
[2045.00s -> 2047.00s]  Arabian, red chestnut,
[2047.00s -> 2049.88s]  and you can claim a free
[2049.88s -> 2052.18s]  horse. Your stable is full?
[2052.18s -> 2054.18s]  Yeah, you gotta sell your other horse.
[2054.18s -> 2056.49s]  How much did you get for selling that one?
[2056.49s -> 2058.49s]  Next to nothing.
[2058.49s -> 2060.92s]  My horse's name is Sean.
[2060.92s -> 2065.58s]  Alright, sorry.
[2065.58s -> 2067.58s]  Someone said name it Bagel.
[2067.58s -> 2071.27s]  Name it Nut. Oh, that's a good
[2071.27s -> 2073.27s]  idea. I'll name it Nut. People are gonna be so upset
[2073.27s -> 2075.83s]  I'm about to sell this horse.
[2075.83s -> 2077.83s]  Yeah, my audience was not happy.
[2077.83s -> 2080.78s]  Oh, by the way,
[2080.78s -> 2082.78s]  why don't we do a quick plug? I want to plug your
[2082.78s -> 2084.78s]  stream. If anyone wants to see what's going on, or
[2084.78s -> 2086.78s]  do like a multi-stream and watch Jerma
[2086.78s -> 2088.95s]  stream too, you can go to Twitch.tv
[2088.95s -> 2091.45s]  slash Jerma.
[2093.75s -> 2095.75s]  That's good enough.
[2095.75s -> 2097.75s]  They'll find me. Sure. Twitch.tv
[2097.75s -> 2100.38s]  slash Jerma. Yeah, it's
[2100.38s -> 2102.38s]  J-H-E-R-R-H-H-H.
[2102.38s -> 2104.74s]  Twitch.tv slash.
[2104.74s -> 2106.74s]  Because there's numbers, right? At the end.
[2106.74s -> 2108.74s]  Yeah, I'm one of those idiots that has numbers.
[2108.74s -> 2111.75s]  Jerma985, J-H-E-R-M-A-985.
[2111.75s -> 2113.75s]  And if anybody over here that wants to go check out
[2113.75s -> 2117.02s]  Vinnie. Yeah, you
[2117.02s -> 2119.02s]  could go to Twitch.tv
[2119.02s -> 2121.02s]  slash. Yeah.
[2121.02s -> 2123.02s]  This is like four H's.
[2123.02s -> 2126.60s]  Vine. Vine
[2126.60s -> 2129.74s]  sauce. That is correct.
[2129.74s -> 2132.36s]  You know, multi-stream us.
[2132.36s -> 2134.54s]  You know what I'm saying? Yeah, there's
[2134.54s -> 2136.54s]  gonna be a way to do that natively
[2136.54s -> 2138.54s]  soon enough, like Twitch is implemented
[2138.54s -> 2140.54s]  or they're working on implementing a way to do that.
[2140.54s -> 2143.29s]  So that way
[2143.29s -> 2145.78s]  you can just enjoy other
[2145.78s -> 2147.78s]  streamers without having to go to like a multi-stream website.
[2147.78s -> 2150.09s]  So I think that's kind of cool.
[2150.09s -> 2152.09s]  Yeah. That's kind of, that's very
[2152.09s -> 2155.03s]  necessary. Yeah. I think it's
[2155.03s -> 2157.59s]  a great idea. I'm surprised it hasn't happened sooner.
[2157.59s -> 2161.62s]  There we go. Alright, so I got my free
[2161.62s -> 2164.89s]  horse. Thank God. There's
[2164.89s -> 2166.89s]  a couple free saddles available.
[2166.89s -> 2169.26s]  Yeah. I'm looking
[2169.26s -> 2171.26s]  at some of the stuff right now. 80
[2171.26s -> 2173.75s]  bucks. How are you ever gonna get like
[2173.75s -> 2175.75s]  more than five gold bars in this game?
[2175.75s -> 2177.75s]  How is that impossible?
[2177.75s -> 2179.75s]  Oh, I know how it's possible.
[2181.75s -> 2183.75s]  There was a big drama post about how
[2183.75s -> 2185.75s]  someone was like, they did the math and to earn
[2185.75s -> 2187.75s]  enough money to buy another
[2187.75s -> 2189.75s]  stable or like, you know, a horse.
[2189.75s -> 2191.93s]  A good horse. They said it was something
[2191.93s -> 2193.93s]  like 80 hours.
[2193.93s -> 2195.93s]  And then that was disproven. I mean, they got the
[2195.93s -> 2197.93s]  math wrong and it was like seven hours instead.
[2197.93s -> 2200.17s]  Oh, I don't want to
[2200.17s -> 2202.17s]  cause you any alarm here.
[2202.17s -> 2204.47s]  But horse insurance
[2204.47s -> 2206.47s]  for this horse is five gold bars
[2206.47s -> 2209.10s]  that I don't have. Found out that the
[2209.10s -> 2211.10s]  horses come back no matter what. The insurance
[2211.10s -> 2213.10s]  just makes them more healthy. Oh,
[2213.10s -> 2216.49s]  okay. So you can't
[2216.49s -> 2218.49s]  if you have an owned horse and multiplayer,
[2218.49s -> 2221.74s]  you're good. Okay, that's good.
[2221.74s -> 2225.13s]  But yeah, you definitely
[2225.13s -> 2227.13s]  want to get another saddle because
[2227.13s -> 2229.82s]  there's some really good ones.
[2229.82s -> 2231.82s]  So what you do is go to empty slot,
[2231.82s -> 2233.82s]  attack one of them, and then
[2233.82s -> 2235.82s]  special. Oh, you got it? Yeah, I got one.
[2235.82s -> 2239.59s]  Okay, cool. I don't know why these are free.
[2239.59s -> 2241.90s]  Are these all for free?
[2241.90s -> 2245.29s]  I mean, I can't buy them though. Some of them.
[2245.29s -> 2247.29s]  Oh, some of them. Did you get the couple
[2247.29s -> 2250.10s]  free ones or? This one's 39.
[2250.10s -> 2252.47s]  Which one is the free one? This one's 67.
[2252.47s -> 2254.71s]  It should just be 00.
[2254.71s -> 2257.91s]  Oh, I doubt it's special. Okay, I see.
[2257.91s -> 2260.28s]  Alligator Ranch. Yeah, I'll get this one.
[2260.28s -> 2263.74s]  The very last one at the end is really
[2263.74s -> 2269.22s]  good. Let's see. Rattlesnake.
[2269.22s -> 2273.05s]  Some of them are pretty cool. Oh,
[2273.05s -> 2275.05s]  quick recommendation while we're here.
[2275.05s -> 2277.05s]  I'd recommend getting some provisions
[2277.05s -> 2279.05s]  for your horse so they can eat and not die.
[2279.05s -> 2281.29s]  Oh, that's a good idea.
[2281.29s -> 2283.29s]  Yeah, and maybe a horse reviver too.
[2283.29s -> 2286.60s]  A little expensive, but it's probably
[2286.60s -> 2290.63s]  worth it. So it's services, right?
[2290.63s -> 2292.63s]  Well, not services. Under
[2292.63s -> 2295.77s]  provisions. How much is it? Yeah.
[2295.77s -> 2297.77s]  That's a lot of money. Well, the horse reviver's a lot
[2297.77s -> 2299.77s]  of money, but the hay is a quarter,
[2299.77s -> 2302.90s]  so that's not too bad, and it's... I'm just gonna buy
[2302.90s -> 2305.08s]  shit right now. Hey, what about a sugar
[2305.08s -> 2307.77s]  cube? You gonna get a couple of those? I'm gonna
[2307.77s -> 2309.77s]  get some beets from Shroot Farms, but
[2309.77s -> 2311.77s]  yeah, I'm gonna get some sugar cube. I got a horse
[2311.77s -> 2315.86s]  reviver, I got some food. You know, by doing this,
[2315.86s -> 2317.86s]  we're never gonna afford new weapons.
[2317.86s -> 2320.98s]  Never. I've come to
[2320.98s -> 2323.48s]  terms with the fact that it's just gonna be
[2323.48s -> 2325.98s]  I'm gonna use the pea shooter with the BB gun.
[2325.98s -> 2328.41s]  Yeah. Me too.
[2328.41s -> 2332.38s]  Should we get our horses? Sorry, I had some
[2332.38s -> 2334.62s]  peanut butter. Like a horse would.
[2334.62s -> 2336.98s]  That's what they used to feed Mr.
[2336.98s -> 2338.98s]  Ed to make it look like he was talking.
[2338.98s -> 2341.86s]  The way you said
[2341.86s -> 2343.86s]  that too, like the way your voice managed to squeak
[2343.86s -> 2345.86s]  out that sentence, it sounded like Mr. Ed a little bit
[2345.86s -> 2347.86s]  gush-poo-poo.
[2347.86s -> 2352.54s]  So, good job.
[2352.54s -> 2355.54s]  I didn't even... That show sucks!
[2355.54s -> 2358.36s]  Yeah, I hated Mr. Ed.
[2358.36s -> 2360.86s]  That horse scared the fuck out of me.
[2360.86s -> 2364.38s]  Why does it talk? I don't like it.
[2364.38s -> 2368.09s]  Why didn't anybody try to breed it?
[2368.09s -> 2370.09s]  You could have a bunch of... You could start an entire
[2370.09s -> 2372.09s]  new horse...
[2372.09s -> 2374.52s]  Sub-species. Yeah.
[2374.52s -> 2376.52s]  We could have intelligent horses
[2376.52s -> 2378.82s]  all talking. Sell them.
[2378.82s -> 2381.26s]  They would be so happy. We could...
[2381.26s -> 2383.26s]  Horses that just love to sit around and eat hay, right?
[2383.26s -> 2385.43s]  Yeah. That's all they do.
[2385.43s -> 2387.43s]  Just put a headset on, yeah.
[2387.43s -> 2389.80s]  Put a headset on them and they could be like
[2389.80s -> 2393.32s]  telemarketers while they're just hanging out.
[2393.32s -> 2395.32s]  Where are we going? That's right!
[2395.32s -> 2397.56s]  You give them jobs again. Like, because they don't have
[2397.56s -> 2399.56s]  as many jobs these days like they used to back in the
[2399.56s -> 2401.56s]  old west and, you know, before that, of course.
[2401.56s -> 2403.56s]  But I think, yeah, make them telemarketers.
[2403.56s -> 2405.56s]  Hello! How can I help you?
[2405.56s -> 2407.93s]  They would be so happy.
[2407.93s -> 2409.93s]  They would get paid. They would get paid.
[2409.93s -> 2412.68s]  Of course we would pay them. Of course.
[2412.68s -> 2414.68s]  Fucking horse cars. Of course.
[2414.68s -> 2418.06s]  Where are we going? I don't know.
[2418.06s -> 2420.06s]  Do you want to kill some things?
[2420.06s -> 2422.42s]  Yeah, let's go...
[2422.42s -> 2424.42s]  In the context of this video game, yes.
[2424.42s -> 2427.05s]  It's out of context.
[2427.05s -> 2429.29s]  Hey, you want to go kill some stuff? Yeah!
[2429.29s -> 2432.42s]  Yeah, we don't want to do that.
[2432.42s -> 2434.42s]  I want to go run over some rabbits.
[2434.42s -> 2439.80s]  I can start up a quick join
[2439.80s -> 2442.10s]  and we can do a mission.
[2442.10s -> 2444.10s]  We can do a story mission or we can do like a
[2444.10s -> 2446.79s]  showdown mission.
[2446.79s -> 2448.79s]  Let's do a showdown mission.
[2448.79s -> 2454.04s]  Why not?
[2454.04s -> 2456.04s]  Showdown series. You'll also join as a member of their posse.
[2456.04s -> 2471.83s]  Okay, cool. It looks like we're going.
[2471.83s -> 2473.83s]  So how's the weather over there, man?
