[4.73s -> 11.34s]  Oh, mega early. Very early, mega early. Yeah, kinda.
[2516.80s -> 2524.30s]  I don't I don't think it has a webcam come out in the last like ten years that has
[2525.46s -> 2529.34s]  1080p scan lines you need a fucking floodlight to see yourself
[2529.34s -> 2540.24s]  It's not even this shitty name. It doesn't look like 1080p. It's your monitor rooms light
[2540.44s -> 2552.47s]  Yeah, but I mean that this doesn't happen all the time. I just made myself more red
[2553.03s -> 2561.43s]  Looks scary. Why is it doing this?
[2561.91s -> 2565.12s]  Real can't change the webcams FPS. Yeah
[2568.27s -> 2578.91s]  Look I'm gonna put it at 50 Hertz 60 Hertz. I'm gonna put it at
[2580.88s -> 2589.79s]  60 at 30 FPS. Oh my god, what happened? What happened?
[2589.91s -> 2602.26s]  You know, I always wondered like there's dreamers that have like full-on like DSLR is pointing down at them
[2602.26s -> 2607.08s]  I was like, why do people do that? And now I kind of understand now
[2608.27s -> 2613.07s]  Webcams are such dog shit and they're never gonna get better
[2613.15s -> 2620.83s]  We good. It's like we can only wait for so long for them to make a webcam
[2621.19s -> 2630.48s]  There's not like a piece of fucking dog shit in like 12 years. All right, here we go. We good
