[5.50s -> 9.48s]  Is it? It is.
[1783.53s -> 1800.97s]  able to fill in some of this okay oh I can fill that in nice call it you have to call
[1800.97s -> 1807.04s]  it I can't call it for you I did that's like every like two months I just start doing that
[1807.04s -> 1823.26s]  don't get me started oh I believe I can do it's technically the one one two three four
[1823.26s -> 1835.03s]  five now they can go all the way this is the two oh it can't be here this is also the two
[1835.03s -> 1852.59s]  but I don't know he's got some strats well they can't be here right that's one and then
[1852.59s -> 1863.19s]  three is after that so it can't fit here so that helps us with the six a little bit two
[1863.19s -> 1879.20s]  is the other two finished that row very nice please say something quirky I don't think quirky
[1879.20s -> 1893.51s]  to say right now how do I have to pee again already one one two could be anywhere one two
[1893.51s -> 1901.61s]  one they could be anywhere one could be anywhere one is either here here I don't know this no
[1901.61s -> 1913.67s]  this no okay actually yes is this it can't be anything here got it doesn't help with this
[1913.67s -> 1923.33s]  though I imagine this is one of these three ones but I don't know you need to go piss I'll be all
[1923.33s -> 1942.28s]  right well I can do this all right this entire the whole bottom is done and then I don't have
[1942.28s -> 1958.63s]  to look down here anymore I'm looking for one one two three one one two three it has to be
[1959.19s -> 1979.14s]  it has to be one here though ah look at that very very good this is the three that was the
[1979.14s -> 2002.93s]  one this has to be the three this is one this is a two what even is this image what the hell
[2002.93s -> 2025.96s]  are we looking at here to be there can't be here I'd love when you just get on a roll I'd love it
[2026.12s -> 2037.73s]  there's three oh there's two oh there's your two there's your three there's your there's your two
[2039.01s -> 2052.58s]  and there's your one what is this sword a missile oh okay from far away I can see it looks like a
[2052.58s -> 2059.01s]  sword a fire sword all right one more than I'm gonna go I'm gonna go pee go back and do this one
[2068.87s -> 2077.25s]  seven so you can do this because remember seven eight nine ten right you get it
[2079.48s -> 2095.24s]  shit that didn't help that didn't help well actually yeah it did please give an answer
[2095.24s -> 2110.52s]  on brain age what do you want me to say am I gonna play brain age no I think so yes please
[2110.52s -> 2120.58s]  do it do you really want it I figured that would be a game you guys would not want to watch okay
[2120.58s -> 2127.16s]  these are all just ones one this is gonna be a really small one okay seven one two three four
[2127.16s -> 2134.16s]  five six seven one two three seven has to be here that has to be there there's your five
[2137.76s -> 2144.88s]  narrowing it down ever so gently ever so slightly just narrow it down
[2144.88s -> 2157.08s]  on gently narrow it down you don't have to be excited don't it be crazy
[2158.44s -> 2172.68s]  be gentle be calm looks like I can go here oh do a poll all right throw a poll in there for if
[2172.68s -> 2177.86s]  people want to see brain age by the way if this doesn't have at least 65 plus percent I'm not
[2177.86s -> 2198.87s]  doing it like this has got to be like near 70% yes all right I'm not gonna do it shit what do
[2198.87s -> 2222.52s]  I need to do here four one two three four what can I do from here I think I can do this one
[2222.52s -> 2229.91s]  because that the four has to be in the middle here and here too yeah okay I can't do any more
[2230.47s -> 2237.03s]  than that this is part of the four one three four or one two three four
[2237.91s -> 2264.02s]  okay all right so poll do you want brain age yes or no yes no it's per vote all right it's
[2264.02s -> 2278.04s]  only gonna be I'm gonna look just for two minutes see what you think you don't really want brain
[2278.04s -> 2287.36s]  age do you I just go get it should I just go buy brain age right now and just play it right now
[2294.48s -> 2300.80s]  80% of you want to see brain age yes yes yes okay all right all right hold let me finish this
[2300.80s -> 2309.97s]  puzzle no I'm gonna do pick Ross for like another 15 to 20 minutes I'm gonna go okay first here's
[2309.97s -> 2317.14s]  important I'm gonna finish this puzzle I'm gonna go pee again I'm gonna come back and I'm going
[2317.14s -> 2324.66s]  to play another one or two puzzles and then we're gonna play brain age okay that is unanimous 80%
[2324.66s -> 2337.62s]  of you said yes let me finish this one though this one's tricky I mean it has to be even if
[2337.62s -> 2342.10s]  it's one yeah one two three four five it has to literally be like this there's no way it can't
[2342.66s -> 2352.72s]  like it has to be that still doesn't really help me that much one two three four one two three four
[2353.20s -> 2363.99s]  I can do that oh okay oh
[2375.14s -> 2394.26s]  I said it has to be this way too one two three four five six seven yes I do
[2394.82s -> 2418.08s]  it's good can't be this way two four trust me I love Elden Ring but I want brain age
[2418.80s -> 2422.40s]  I mean I'm gonna play Elden Ring tonight I told you this is no mega spring
[2423.04s -> 2452.13s]  question is one space okay so here we go it has to be this to be that way or uh-huh uh-huh oh
[2453.25s -> 2466.96s]  uh-huh it's a geeked out impression all right here we go BRB I'm gonna get brain age and I'm
[2466.96s -> 2470.32s]  gonna install it I'm gonna go pee we're gonna come back play a couple more pick Ross puzzles
[2470.32s -> 2476.48s]  because I'm into it and then we'll do brain age and then after a little while brain age I'm gonna
[2476.48s -> 2480.96s]  take a break I'm gonna take like a 20 plus minute break I'm gonna eat something I'm gonna get some
[2480.96s -> 2485.60s]  food I'm gonna relax for a little bit and I'm gonna come back without turning the stream off
[2486.16s -> 2496.40s]  and we're gonna do Elden Ring for the rest of the night I'll be right back with brain age no
[2496.40s -> 2500.13s]  with I mean I'm gonna get it but you know what I mean I'll be right back
