[0.66s -> 1.16s]  How's it going?
[2036.44s -> 2036.88s]  It worked.
[2036.88s -> 2037.16s]  It worked.
[2037.16s -> 2037.44s]  It worked.
[2037.44s -> 2037.68s]  It worked.
[2037.68s -> 2037.88s]  All right.
[2037.88s -> 2038.28s]  All right.
[2038.36s -> 2038.88s]  I got something.
[2038.88s -> 2039.20s]  What is this?
[2039.24s -> 2040.28s]  X marks that.
[2041.21s -> 2041.37s]  All right.
[2041.37s -> 2041.89s]  What about over here?
[2045.26s -> 2049.35s]  Ooh, what's that?
[2058.72s -> 2058.88s]  Yeah.
[2058.88s -> 2059.84s]  I knew you could open those.
[2060.48s -> 2061.16s]  Is there any more of those?
[2067.68s -> 2068.12s]  There's gotta be.
[2068.12s -> 2069.04s]  Wait, a bomb.
[2069.32s -> 2069.96s]  Bomb, bomb, bomb.
[2072.77s -> 2073.53s]  Why is this a skeleton?
[2074.36s -> 2076.00s]  I'm going to throw the bomb at this.
[2076.40s -> 2077.48s]  It's absolutely what you have to do.
[2081.35s -> 2082.07s]  There's one on the roof.
[2083.08s -> 2083.88s]  Oh, there is one right there.
[2083.92s -> 2085.20s]  I don't think I can make that though.
[2088.37s -> 2090.57s]  Maybe with the, I don't think I had to like get higher.
[2093.24s -> 2093.44s]  All right.
[2093.44s -> 2093.72s]  Two.
[2093.72s -> 2094.64s]  We crossed two 50.
[2094.64s -> 2095.40s]  No button to press.
[2107.92s -> 2111.71s]  Who can I, can I, can I actually upgrade the, this thing still?
[2111.83s -> 2118.92s]  The, the Nyan one, or will you guys upgrade the skeleton?
[2119.00s -> 2120.16s]  Ooh, can I?
[2121.40s -> 2122.56s]  Whoa, it worked.
[2123.23s -> 2123.87s]  What does that do?
[2124.61s -> 2125.25s]  It has a face.
[2126.56s -> 2127.28s]  Is it worth anything?
[2128.04s -> 2128.80s]  I can't tell.
[2133.92s -> 2134.12s]  Okay.
[2134.12s -> 2134.52s]  That's cool.
[2137.72s -> 2138.64s]  We got to keep these things moving.
[2138.64s -> 2140.28s]  If you see one on the ground, it's not moving.
[2140.28s -> 2140.92s]  We have to make it move.
[2147.47s -> 2147.87s]  There we go.
[2147.99s -> 2148.75s]  That's much faster.
[2150.32s -> 2150.88s]  Something broke.
[2151.20s -> 2151.60s]  Whoa.
[2151.64s -> 2152.80s]  What, what was that?
[2154.16s -> 2155.04s]  Oh, look at this.
[2156.25s -> 2162.24s]  One of the big ones broke into a little ones that are giving me more.
[2163.90s -> 2166.30s]  I think when they break, they give you money or whatever it is.
[2166.66s -> 2168.82s]  Subscribers or whatever, whatever that who cares.
[2172.48s -> 2172.68s]  Nice.
[2176.41s -> 2176.65s]  Yeah.
[2176.69s -> 2176.93s]  All right.
[2178.06s -> 2179.46s]  Bomb on X bomb on X.
[2179.46s -> 2180.26s]  I can't get it to blow up.
[2180.38s -> 2181.54s]  Do I need a fire duck?
[2182.27s -> 2182.95s]  That would make sense.
[2196.64s -> 2200.92s]  I, you know, if there was a statistic to tell how many people muted the stream,
[2201.08s -> 2203.68s]  put it on the other monitor and are doing something else on the other monitor.
[2204.36s -> 2208.18s]  I think I might've broken the record for this channel right now.
[2216.34s -> 2218.06s]  Oh, pixel duck.
[2230.97s -> 2231.21s]  Dude.
[2231.21s -> 2232.17s]  That's every stream.
[2233.71s -> 2235.87s]  That's you're, you're so funny.
[2237.52s -> 2243.58s]  All right.
[2243.58s -> 2252.54s]  We have to blow this wall up with the bomb, but I don't think we're going to move the
[2252.54s -> 2253.34s]  big one around more.
[2254.14s -> 2255.06s]  It's worth so much more.
[2263.20s -> 2263.56s]  Where'd it go?
[2265.84s -> 2266.56s]  There we go.
[2266.56s -> 2266.92s]  Look at that.
[2266.92s -> 2267.84s]  300 K already.
[2286.42s -> 2287.30s]  What is it worth?
[2288.13s -> 2288.97s]  It's hard to tell.
[2296.51s -> 2296.75s]  All right.
[2296.79s -> 2300.04s]  Every, uh, everybody minimize the screen for a second.
[2304.44s -> 2304.72s]  Okay.
[2304.80s -> 2305.68s]  Minimize the screen.
[2307.17s -> 2308.85s]  Just like, don't just don't watch for a second.
[2308.85s -> 2309.53s]  I'm warning you.
[2309.77s -> 2310.17s]  Here we go.
[2310.17s -> 2311.56s]  Three, two.
[2311.60s -> 2313.80s]  What's going to get wild on the screen.
[2313.84s -> 2314.20s]  You ready?
[2314.20s -> 2315.04s]  Three, two, one.
[2318.31s -> 2319.55s]  That actually might be a good strategy.
[2333.08s -> 2334.56s]  I think we just need to do more of this.
[2337.96s -> 2340.28s]  No, I don't want more than 340,000 subs.
[2340.28s -> 2341.60s]  It's going to crash my computer.
[2343.44s -> 2345.66s]  I need to break this very clearly.
[2346.85s -> 2348.53s]  The last one broke and it was, it gave us a lot.
[2361.40s -> 2362.88s]  Throw gold at glass duck.
[2364.00s -> 2364.88s]  I was going to try that after.
[2373.05s -> 2373.93s]  Oh, it's going to work.
[2374.17s -> 2374.69s]  I can hear it.
[2379.46s -> 2381.30s]  Ooh.
[2394.02s -> 2395.41s]  Um, all right.
[2395.41s -> 2400.93s]  Once we get to half a million, I will put on whatever, uh, mods.
[2401.33s -> 2402.49s]  Just, Hey mods.
[2402.97s -> 2405.85s]  It's hard for me to talk, to take, to think and talk.
[2406.53s -> 2411.06s]  Um, can, can one of you, all right, hold on.
[2411.06s -> 2412.14s]  I need to say, I need to take my headphones out.
[2413.20s -> 2420.25s]  Uh, can somebody put a poll up of four fun OSTs to listen to and
[2420.45s -> 2421.69s]  just check and vote on it?
[2421.77s -> 2423.37s]  Mods can determine what they are.
[2423.41s -> 2424.85s]  We're looking for video game OSTs.
[2426.65s -> 2427.01s]  I'm good.
[2428.14s -> 2428.38s]  Okay.
[2428.42s -> 2429.90s]  Now I, now I cannot talk anymore.
[2429.90s -> 2431.26s]  I can't think anymore because my headphones are in.
[2435.27s -> 2436.19s]  Can you mute the music?
[2436.19s -> 2436.59s]  I wonder.
[2439.88s -> 2440.80s]  Progress will be saved.
[2440.80s -> 2440.92s]  All right.
[2440.92s -> 2441.08s]  Hold on.
[2441.08s -> 2441.48s]  Wait, wait, wait.
[2444.42s -> 2444.66s]  Hold on.
[2444.66s -> 2445.30s]  Can I mute the music?
[2447.08s -> 2447.52s]  I can't.
[2449.80s -> 2451.60s]  What duck decks?
[2452.12s -> 2453.64s]  Oh, it tells you what you found.
[2463.12s -> 2465.00s]  Wake it up in the corner of the room.
[2467.53s -> 2469.29s]  Oh, I don't know.
[2469.29s -> 2470.29s]  No, I don't.
[2470.33s -> 2470.97s]  I don't.
[2471.80s -> 2473.88s]  I don't care about how many subs I have.
[2474.62s -> 2475.62s]  Why did I do this?
[2478.41s -> 2479.93s]  Why do I give a shit about this?
[2479.93s -> 2481.05s]  I could just be doing anything.
[2481.05s -> 2483.29s]  I could be relaxing on the couch right now.
[2484.02s -> 2485.82s]  I don't care about how many subs come in.
[2488.26s -> 2488.94s]  It's too much.
[2488.94s -> 2489.50s]  It's too much.
[2489.50s -> 2490.34s]  Too many subs.
[2494.58s -> 2495.58s]  Hey, what's going on everybody.
[2495.58s -> 2496.46s]  Welcome back to the video.
[2496.46s -> 2501.42s]  It's me checking out that sub counter as we see here.
[2501.42s -> 2505.60s]  It's at 400,000 subs getting there.
[2506.00s -> 2508.80s]  I'd like to see that hit a million.
[2516.78s -> 2520.79s]  Jerry, I want to see it at a million subs, Jerry.
[2526.79s -> 2527.71s]  That's never going to happen.
[2527.71s -> 2529.31s]  We are absolutely going to get to a million.
[2529.31s -> 2530.47s]  There's no way we are not.
[2538.16s -> 2538.36s]  All right.
[2538.36s -> 2542.25s]  What do we got for, uh, what we got for, uh, OST voting?
[2542.97s -> 2543.65s]  Blow up the wall.
[2543.65s -> 2546.01s]  I don't know how I was thinking about this.
[2546.05s -> 2546.89s]  Yeah, I was trying to.
[2547.45s -> 2548.61s]  I need to light the fuse.
[2549.80s -> 2551.20s]  See, there's a fuse.
[2551.24s -> 2560.68s]  I need to light, but I was holding that way.
[2560.68s -> 2561.44s]  These are closed again.
[2573.00s -> 2574.72s]  This is going to blow up in my face.
[2574.76s -> 2577.84s]  It's going to blow up my face and be extremely loud.
[2587.60s -> 2588.24s]  I don't think so.
[2601.36s -> 2602.08s]  I like that one.
[2610.08s -> 2612.16s]  It's like a bullet going by my face.
[2612.64s -> 2615.04s]  It's that's, I don't like that.
[2624.99s -> 2625.79s]  Wait, hold on.
[2627.16s -> 2634.54s]  Can I pick an OST?
[2634.54s -> 2638.09s]  The mods have decided on a few, uh, get us in something.
[2639.46s -> 2640.62s]  Just chill and play the game.
[2651.92s -> 2653.12s]  I haven't seen an upgrade in a while.
[2663.64s -> 2664.96s]  These are not generating any points.
[2664.96s -> 2667.16s]  They have to be increased.
[2670.56s -> 2671.40s]  What's the diamond?
[2672.20s -> 2674.84s]  Uh, diamond is a diamond.
[2681.52s -> 2683.84s]  I can, I don't think I can reach anything up there yet.
[2686.12s -> 2687.24s]  I can't throw the metal on that.
[2687.24s -> 2688.48s]  I can't throw the bomb that high either.
[2690.14s -> 2690.94s]  Maybe the bone.
[2694.84s -> 2696.32s]  No, I don't think I have enough power to throw.
[2702.08s -> 2702.64s]  Maybe this one.
[2703.98s -> 2705.26s]  Oh, I actually might hit it with that one.
[2705.26s -> 2705.66s]  Hold on.
[2710.18s -> 2710.58s]  Shit.
[2715.51s -> 2715.83s]  Damn it.
[2717.05s -> 2719.05s]  Uh, congratulations, everybody.
[2719.05s -> 2720.05s]  Plock has won.
[2721.30s -> 2726.75s]  Uh, give me one sec while I turn this down.
[2735.21s -> 2735.65s]  All right.
[2737.21s -> 2739.09s]  I feel like my soul just re-entered my body.
[2741.77s -> 2741.97s]  All right.
[2741.97s -> 2743.17s]  Let's put on Plock.
[2743.89s -> 2744.73s]  Plock OST.
[2744.77s -> 2746.37s]  We listen to this all the time, but it's a good one.
[2758.45s -> 2758.93s]  All right.
[2759.97s -> 2760.81s]  Yeah.
[2760.85s -> 2763.09s]  Now everybody can relax.
[2771.40s -> 2772.40s]  Now we got a vibe going.
[2775.24s -> 2775.80s]  There we go.
[2779.57s -> 2781.01s]  I'm missing the quacks, but it's fine.
[2786.76s -> 2787.60s]  Turn it up a little louder.
[2788.00s -> 2788.36s]  You got it.
[2791.77s -> 2792.77s]  That's as loud as I'm willing to go.
[2795.96s -> 2796.08s]  All right.
[2796.08s -> 2796.80s]  Almost a half million.
[2798.02s -> 2798.54s]  Oh shit.
[2798.54s -> 2800.06s]  I just, I just turned the stream off.
[2805.98s -> 2809.62s]  I can jam to this and just play.
[2810.14s -> 2810.66s]  I'm into that.
[2813.90s -> 2814.66s]  All right, here we go.
[2814.66s -> 2815.54s]  We're at half a million.
[2816.59s -> 2817.15s]  Yes.
[2823.87s -> 2824.07s]  All right.
[2824.07s -> 2824.75s]  This is an upgrade.
[2824.75s -> 2827.11s]  This one's really important because I don't know who to give this to.
[2835.57s -> 2838.01s]  I think that, can I give it to anybody besides the skeleton?
[2838.21s -> 2838.97s]  What about the metal one?
[2839.69s -> 2840.09s]  Bomb?
[2847.65s -> 2848.69s]  I don't think I can give it to bomb.
[2849.33s -> 2849.89s]  All right, here we go.
[2851.82s -> 2852.22s]  All right.
[2853.65s -> 2854.65s]  Uh, this one, what did it do?
[2859.44s -> 2860.36s]  Give it a pixel duck.
[2861.16s -> 2862.04s]  Oh shit.
[2871.02s -> 2872.30s]  Uh, we're at 515.
[2872.30s -> 2873.90s]  It's going, it's going a lot faster.
[2875.41s -> 2875.57s]  All right.
[2875.57s -> 2876.25s]  I'm going to focus.
[2879.20s -> 2879.72s]  I need to start.
[2879.88s -> 2880.60s]  Look at this.
[2881.12s -> 2882.12s]  Look at how terrible I'm doing.
[2882.44s -> 2884.48s]  Look at all the, all the ducks that are on the ground that are not bouncing.
[2889.91s -> 2891.79s]  What am I, am I, am I even playing the game?
[2898.74s -> 2900.58s]  I need to be moving this one a lot.
[2902.31s -> 2902.55s]  Yep.
[2902.55s -> 2903.11s]  There we go.
[2903.79s -> 2904.59s]  Look at that number climb.
[2909.09s -> 2910.09s]  I need to like whack it.
[2915.73s -> 2917.73s]  This does feel like a YouTube short now.
[2928.37s -> 2928.89s]  600.
[2928.89s -> 2929.65s]  What happens at a million?
[2931.77s -> 2932.85s]  I missed the quacks.
[2933.80s -> 2937.08s]  I missed the quacks too, but removing the quacks also removed.
[2937.68s -> 2943.08s]  Um, uh, for the next three hours straight.
[2945.21s -> 2946.65s]  So it's a sacrifice we had to make.
[2954.20s -> 2955.00s]  I got to move the big one.
[2955.00s -> 2955.68s]  It has the most points.
[2955.68s -> 2958.32s]  So we just have to use the metal one is continuously move the big one.
[2962.11s -> 2964.51s]  Just play quacking sounds in the background.
[2966.32s -> 2968.48s]  No, no, I, no, I need a break.
[2968.72s -> 2969.12s]  I need a break.
[2969.16s -> 2970.52s]  I've been playing this for like 40 minutes.
[2970.56s -> 2972.48s]  I need a quick break from all that.
[2973.70s -> 2977.38s]  Let me just listen to pluck and throw things into walls and talk just for a little bit.
[2978.78s -> 2979.46s]  We need a break.
[2981.77s -> 2982.45s]  Everything's gonna be all right.
[2996.90s -> 2997.86s]  There's a speaker box.
[2998.50s -> 2998.78s]  Yeah.
[2998.78s -> 2999.78s]  This is the speaker box.
[2999.78s -> 3002.34s]  Unfortunately, it only turns off the music coming out of this.
[3002.34s -> 3004.42s]  It does not turn off the Nyan cat song.
[3008.67s -> 3015.57s]  I think I was going to go with some growth and growth makes sense here.
[3024.97s -> 3025.53s]  I'm going to focus.
[3025.57s -> 3025.81s]  Okay.
[3025.81s -> 3027.85s]  I'm going to focus on growth for the next 10 straight minutes.
[3029.23s -> 3029.55s]  All right.
[3031.67s -> 3038.15s]  So if I do anything besides focus on growth, I would like for you to all to be yell at me because that's exactly what I'm trying to do.
[3038.99s -> 3045.88s]  So at one hour streamed exactly is when I'm going to stop focusing on growth.
[3050.68s -> 3052.40s]  And then we'll focus on something else for a little bit.
[3062.20s -> 3063.28s]  If I see one, I'm going to bounce one.
[3067.16s -> 3068.32s]  How did I miss that close?
[3069.90s -> 3081.53s]  Where I wasn't actually, it actually is a little too soft.
[3081.57s -> 3082.33s]  Let's put it up a little louder.
[3092.80s -> 3092.92s]  All right.
[3092.92s -> 3093.64s]  That's a little meatier.
[3094.28s -> 3094.88s]  That's meatier.
[3098.95s -> 3101.35s]  We don't want it to meaty, but we'll be able to hear it.
[3101.47s -> 3101.83s]  You'll hear it.
[3107.34s -> 3107.50s]  All right.
[3107.50s -> 3108.06s]  Growth, growth.
[3108.10s -> 3108.42s]  Yeah, I know.
[3108.42s -> 3108.70s]  I got it.
[3108.70s -> 3108.86s]  Got it.
[3124.47s -> 3127.39s]  I love the Super Nintendo trumpet sound.
[3127.43s -> 3128.31s]  Well, like what is it?
[3128.35s -> 3128.75s]  Tuba.
[3142.84s -> 3143.04s]  All right.
[3143.04s -> 3149.08s]  Seven more minutes of this and then I'll be probably close to a million.
[3163.88s -> 3173.04s]  600,000 stay in the corner.
[3173.04s -> 3173.60s]  This is perfect.
[3180.51s -> 3182.07s]  I wish these would just automatically jump around.
[3185.40s -> 3186.16s]  I need more of those.
[3186.16s -> 3187.68s]  Um, Nyan cat ones.
[3199.97s -> 3202.17s]  Somebody just said, I don't understand.
[3205.65s -> 3209.98s]  Uh, honestly, I think, I think you do.
[3211.20s -> 3215.00s]  I think you're just afraid to admit out loud that this is what I'm doing today.
[3216.36s -> 3220.00s]  So it's like, no, he's not, he's not doing this, right.
[3222.75s -> 3223.87s]  But I'm into it.
[3224.07s -> 3224.63s]  So that's what we're doing.
[3226.69s -> 3227.77s]  You wouldn't get it.
[3229.75s -> 3235.98s]  I mean, there is not very much to get right now, but there's such, there's such
[3235.98s -> 3239.18s]  little to get right now that I do understand the, like, what am I looking at here?
[3239.82s -> 3240.14s]  I get it.
[3259.10s -> 3259.70s]  Okay.
[3259.90s -> 3261.46s]  Uh, we have five more minutes of this.
[3261.86s -> 3263.10s]  Five more minutes of growth and we'll be good.
[3263.38s -> 3275.43s]  All right.
[3275.43s -> 3276.35s]  Get moving over here.
[3276.39s -> 3277.59s]  What is going on with this corner?
[3278.60s -> 3279.04s]  Get moving.
[3298.16s -> 3298.88s]  Boss fight, right?
[3306.59s -> 3306.83s]  Shit.
[3309.38s -> 3309.58s]  Shit.
[3314.28s -> 3316.52s]  It's actually going to get hard to pick up the ducks on the ground.
[3321.37s -> 3323.29s]  Oh, this is the one that I did that dance to that.
[3323.29s -> 3324.81s]  I keep seeing the same dance.
[3327.44s -> 3327.68s]  Point.
[3328.08s -> 3357.36s]  Point, point, point, point, you know, the one, uh, three more minutes we'll be at
[3357.36s -> 3368.44s]  700 and then after that, we're going to bounce around the big King duck and
[3368.44s -> 3371.04s]  hopefully get to a million pretty quickly.
[3387.73s -> 3388.17s]  Green light.
[3388.21s -> 3389.17s]  Ooh, okay.
[3389.17s -> 3390.53s]  It's 700 Ks in a green light.
[3393.03s -> 3397.05s]  We got, oh my goodness.
[3402.48s -> 3403.56s]  We're still focusing on growth.
[3404.80s -> 3428.84s]  So actually starting to get hard to move around.
[3440.30s -> 3441.26s]  A million was going to be easy.
[3442.14s -> 3444.50s]  Really underestimated how easy that was going to be to get there.
[3445.66s -> 3446.74s]  I mean, actually it's an hour.
[3446.98s -> 3449.30s]  You have to dedicate like at least 30 to 40 minutes to doing this.
[3451.92s -> 3452.64s]  I mean, I'm into it though.
[3452.64s -> 3452.88s]  I'm here.
[3465.84s -> 3466.24s]  Oh wait.
[3466.28s -> 3468.52s]  Bit rate, bit rate, bit rate, bit rate.
[3468.64s -> 3469.52s]  Oh no.
[3471.11s -> 3473.03s]  Is this going to be a bit rate stream?
[3476.37s -> 3477.13s]  How bad is it?
[3479.26s -> 3480.18s]  It's not that bad.
[3480.22s -> 3480.54s]  Okay.
[3480.58s -> 3481.26s]  It's actually fine.
[3481.38s -> 3481.58s]  Okay.
[3481.58s -> 3481.70s]  Okay.
[3481.70s -> 3481.94s]  Okay.
[3482.54s -> 3494.67s]  It's fine.
[3495.58s -> 3498.82s]  I wonder how bad it'll get like vampire survivors.
[3502.72s -> 3506.65s]  I got one more minute of growth and then I'm going to focus on just trying to get
[3506.65s -> 3508.01s]  points with the big one and the metal.
[3514.30s -> 3514.54s]  There you go.
[3522.91s -> 3523.75s]  Uh, all right.
[3523.75s -> 3525.03s]  We're, we're pretty much done with growth.
[3532.24s -> 3533.04s]  800,000.
[3537.92s -> 3539.24s]  This is an electric guitar.
[3546.64s -> 3547.40s]  Why is it darker?
[3548.60s -> 3550.16s]  Oh, one of the lights is out.
[3550.68s -> 3550.96s]  Hold on.
[3550.96s -> 3551.68s]  Did I do that?
[3551.84s -> 3553.04s]  I think I knocked a light out.
[3563.60s -> 3563.92s]  All right.
[3564.04s -> 3565.92s]  It's time to focus on a million.
[3570.17s -> 3579.87s]  Let's make sure everything on the ground is moving pretty much.
[3579.91s -> 3580.23s]  All right.
[3584.31s -> 3585.07s]  Whoa.
[3585.11s -> 3587.57s]  That had a, I broke the radio.
[3588.91s -> 3589.31s]  Oh shit.
[3589.31s -> 3589.91s]  Wait, wait, wait, wait, wait.
[3589.99s -> 3590.67s]  What do I give this to?
[3594.76s -> 3595.36s]  Who should eat that?
[3600.16s -> 3600.60s]  Pixel.
[3600.84s -> 3601.08s]  All right.
[3601.44s -> 3604.88s]  Where's pixel duck over here?
[3608.03s -> 3616.28s]  Oh, is it, is it going to be, what's it's worth now?
[3617.44s -> 3618.04s]  Like the rainbow.
[3618.08s -> 3618.36s]  All right.
[3618.40s -> 3621.68s]  Um, is it going to do, is it going to bounce around like the Nyan cat or no?
[3622.25s -> 3622.97s]  It's just worth a lot.
[3629.89s -> 3630.69s]  It's probably worth a lot.
[3633.97s -> 3634.17s]  All right.
[3634.33s -> 3635.85s]  Focus on hitting big one.
[3642.55s -> 3643.27s]  Throw the bomb up.
[3647.21s -> 3647.29s]  Yeah.
[3647.29s -> 3648.09s]  I can't reach that far.
[3649.62s -> 3650.82s]  The roof is still not broken.
[3650.82s -> 3650.94s]  Yeah.
[3650.94s -> 3651.90s]  I can't reach this far though.
[3660.15s -> 3660.63s]  Skeleton.
[3673.91s -> 3677.16s]  Wait, is that, that's not a fire.
[3677.16s -> 3677.44s]  Is it?
[3677.92s -> 3678.92s]  It's not like a candlelight.
[3680.35s -> 3680.99s]  Is that a candle?
[3683.38s -> 3684.82s]  Wait, this thing's smoking now.
[3685.42s -> 3687.51s]  Does this count as a fire?
[3694.14s -> 3695.02s]  That might count as a fire.
[3711.08s -> 3712.40s]  Wait, maybe I can throw this to the roof.
[3715.91s -> 3717.11s]  I might be able to make it to the roof with that.
[3721.90s -> 3722.94s]  Ah, oh shit.
[3722.94s -> 3723.50s]  I almost had it.
[3728.73s -> 3729.01s]  Damn it.
[3735.40s -> 3736.00s]  That's hitting it.
[3736.32s -> 3743.86s]  Oh, somebody said, maybe I can do this.
[3746.30s -> 3748.74s]  Place this and maybe throw something heavy at it and smush it.
[3749.30s -> 3762.73s]  I don't think that's going to work.
[3764.12s -> 3765.20s]  It's a couple of good direct hits.
[3766.26s -> 3767.14s]  Break the other lights.
[3769.97s -> 3770.89s]  Oh, wait, wait, wait, wait, wait.
[3770.89s -> 3771.45s]  This is important.
[3772.68s -> 3773.80s]  I'm almost at a million subs.
[3774.64s -> 3775.76s]  Get, get out of my way.
[3775.76s -> 3776.76s]  This is my moment.
[3779.80s -> 3780.80s]  I was at a million subs guys.
[3798.55s -> 3799.39s]  I was here.
[3804.78s -> 3805.86s]  I need to unmute for this.
[3808.42s -> 3808.90s]  Did I unmute?
[3820.11s -> 3820.75s]  No, I'm going to miss it.
[3820.75s -> 3821.19s]  I'm going to miss it.
[3824.72s -> 3825.92s]  No, I'm going to actually miss it.
[3837.18s -> 3845.86s]  One million subscribers.
[3845.86s -> 3846.54s]  Something's happening now.
[3849.52s -> 3849.72s]  All right.
[3849.72s -> 3851.56s]  We need to turn this off, this music off.
[3853.67s -> 3854.71s]  What is going on right now?
[3856.16s -> 3856.68s]  Turn the volume up.
[3864.33s -> 3865.01s]  Did I just beat the game?
[3872.65s -> 3873.17s]  I can't move.
[3886.64s -> 3887.04s]  I just won.
[3889.40s -> 3890.00s]  I can't move.
[3895.40s -> 3896.20s]  I think I have to catch them.
[3898.81s -> 3899.09s]  He's coming.
[3899.09s -> 3900.37s]  He's actually walking towards me.
[3905.81s -> 3906.61s]  Shit, he's coming.
[3910.52s -> 3912.04s]  Is this going to do like a five minutes at Freddy's?
[3912.04s -> 3914.72s]  Like, if I'm just, I'm warning you, it probably will.
[3915.16s -> 3916.20s]  We're probably there right now.
[3916.20s -> 3917.84s]  You jump scare probably incoming.
[3930.59s -> 3930.91s]  What?
[3931.35s -> 3932.47s]  I didn't beat it.
[3933.99s -> 3934.47s]  The end.
[3935.13s -> 3936.17s]  The game just turned off.
[3944.11s -> 3945.35s]  I got the, no, that was the good ending.
[3945.51s -> 3946.27s]  I said, good ending.
[3952.04s -> 3953.04s]  How do I get the bad ending?
[3956.82s -> 3960.06s]  You had this open for 15 minutes before your stream.
[3964.35s -> 3964.63s]  Yeah.
[3964.63s -> 3967.63s]  Cause I had, I was like getting my stream ready.
[3969.97s -> 3973.97s]  And it was just sitting on the menu because I was like, I had to get my stream ready.
[3973.97s -> 3974.93s]  I had to, you have something to eat.
[3975.57s -> 3976.85s]  I didn't want to just close everything.
[3979.08s -> 3979.32s]  All right.
[3979.32s -> 3980.84s]  So how do I get the other endings?
[3980.84s -> 3982.00s]  I need to open that thing up there.
[3987.28s -> 3988.76s]  You need to, okay.
[3988.76s -> 3989.44s]  Skeleton duck.
[3989.48s -> 3991.24s]  But how do I open this thing?
[3991.88s -> 3993.36s]  I don't know how I need to blow up the wall too.
[3995.29s -> 3995.57s]  All right.
[3995.61s -> 3996.21s]  Blow the wall up.
[3996.21s -> 3996.73s]  That's important.
[4001.42s -> 4001.66s]  Okay.
[4001.66s -> 4002.38s]  How do I do that?
[4003.16s -> 4004.00s]  I need the bomb.
[4005.76s -> 4006.84s]  There are multiple endings.
[4006.96s -> 4011.84s]  Apparently I want to get at least a couple of them.
[4013.81s -> 4014.93s]  Upgrade the skeleton all the way.
[4018.96s -> 4020.48s]  But I might have to do a new game for that though.
[4024.25s -> 4024.45s]  All right.
[4024.45s -> 4025.21s]  Where's bomb duck?
[4025.57s -> 4027.17s]  How do I light bomb duck?
[4034.07s -> 4044.52s]  Break the radio on bomb duck sparks from the light.
[4048.41s -> 4049.57s]  Yeah, we'll get, let's break all the lights.
[4057.38s -> 4058.30s]  How do I get more force?
[4064.08s -> 4065.16s]  Do I have to do it with the gold one?
[4070.33s -> 4078.84s]  Maybe I have to get some, get some air stand on the box.
[4087.96s -> 4088.28s]  Oh wait.
[4088.32s -> 4088.80s]  I know what you mean.
[4096.65s -> 4096.97s]  Okay.
[4101.26s -> 4101.66s]  Damn it.
[4105.95s -> 4107.15s]  Can you smash the screen?
[4107.15s -> 4108.11s]  Smash the screen.
[4108.39s -> 4108.63s]  Hold on.
[4108.63s -> 4109.43s]  Wait, that might actually work.
[4119.55s -> 4120.03s]  I broke it.
[4123.11s -> 4123.59s]  What did that do?
[4132.91s -> 4133.67s]  I want to open that.
[4133.67s -> 4134.79s]  I want to open the ceiling panel.
[4140.53s -> 4141.49s]  Wall panels might do it.
[4141.73s -> 4142.81s]  That's a good idea.
[4155.21s -> 4156.41s]  Stop knocking it out of my hand.
[4163.86s -> 4164.34s]  Stop.
[4171.70s -> 4172.50s]  This might be fire.
[4172.50s -> 4174.58s]  It actually might be, but how did I break it before?
[4177.33s -> 4178.25s]  I'm going to start over.
[4182.67s -> 4184.35s]  Try to make a spark with the metal one on.
[4184.88s -> 4185.08s]  Yeah.
[4185.08s -> 4185.72s]  I tried that before.
[4185.72s -> 4186.32s]  It didn't really work.
[4190.58s -> 4191.14s]  Start over.
[4193.36s -> 4194.64s]  Smash the radio with the metal.
[4205.46s -> 4205.94s]  Oh shit.
[4205.94s -> 4206.18s]  Shit.
[4206.18s -> 4206.34s]  Okay.
[4206.34s -> 4206.62s]  I got one.
[4206.62s -> 4206.90s]  I got one.
[4207.46s -> 4208.38s]  Now who do I give this to?
[4210.43s -> 4211.15s]  The bone?
[4211.39s -> 4218.56s]  It's not there yet.
[4221.30s -> 4222.30s]  Do I get any more?
[4222.50s -> 4225.62s]  Um, do I get any more juice to give to the bone duck?
[4230.66s -> 4231.02s]  Bomb?
[4231.06s -> 4232.38s]  Uh, I can't, I can't give it to the bomb.
[4232.90s -> 4234.02s]  The bomb doesn't take it.
[4241.32s -> 4242.20s]  You might have to restart.
[4243.32s -> 4244.44s]  I think you get one more.
[4249.32s -> 4251.32s]  You have to smash the radio when it's off.
[4265.01s -> 4265.81s]  You would think this would work.
[4274.03s -> 4274.31s]  All right.
[4275.60s -> 4277.33s]  I got one more for the bone.
[4278.44s -> 4279.84s]  Ooh, now what?
[4280.28s -> 4280.96s]  What does this do now?
[4290.48s -> 4291.52s]  Maybe I can break the panels now.
[4297.95s -> 4299.11s]  I can't remove the panels with this.
[4302.44s -> 4303.56s]  It's just really cool looking.
[4304.60s -> 4305.52s]  Smash the radio more.
[4312.84s -> 4314.36s]  I feel like a caveman.
[4330.64s -> 4331.20s]  I don't think so.
[4341.24s -> 4342.44s]  I got to get that panel off.
[4343.72s -> 4345.52s]  Maybe I shouldn't have upgraded the duck.
[4346.28s -> 4348.20s]  I think I, all right, hear me out on this.
[4350.49s -> 4355.25s]  I might have to start over to get the small duck to break the lights and
[4355.25s -> 4356.45s]  break the panel off the ceiling.
[4359.89s -> 4360.41s]  You know what I mean?
[4362.02s -> 4363.62s]  The metal duck will create sparks.
[4363.78s -> 4367.86s]  I can't get it.
