[18.23s -> 19.43s]  I am back.
[2088.74s -> 2098.75s]  White increase my neon rank has to visit the job archive
[2098.75s -> 2104.34s]  at Heaven's Gate earn gold or ace medals.
[2104.34s -> 2104.84s]  Got it.
[2105.34s -> 2106.04s]  I'll be right back.
[2106.14s -> 2106.34s]  All right.
[2106.34s -> 2107.24s]  Let's go get some metal.
[2109.30s -> 2111.70s]  If three more neon ranks, I think I have to go here,
[2111.70s -> 2112.00s]  right?
[2113.62s -> 2116.72s]  Depart for your sign is a job archive.
[2118.31s -> 2121.21s]  Oh, where do I where do I get a new mission?
[2125.54s -> 2126.24s]  Did I not get it?
[2127.36s -> 2128.56s]  I'm ready for my next mission.
[2128.56s -> 2128.96s]  Oh, Mr.
[2128.96s -> 2133.16s]  White it says here you just visit the job.
[2133.16s -> 2135.46s]  Oh, I'll be right back.
[2136.85s -> 2138.95s]  You guys make me skip the dialogue so fast.
[2138.95s -> 2143.14s]  Okay.
[2143.14s -> 2144.44s]  Wait, I didn't do good enough.
[2145.44s -> 2146.44s]  Is that what it's telling me?
[2152.84s -> 2154.44s]  So I have to do I have to go way faster.
[2173.33s -> 2174.53s]  This is a speedrunning game.
[2177.14s -> 2178.64s]  You're going so slow.
[2178.74s -> 2183.31s]  Am I I was 27.
[2183.31s -> 2184.51s]  That's a gold medal.
[2184.61s -> 2185.21s]  He's got it.
[2188.61s -> 2189.41s]  93, right?
[2189.81s -> 2193.24s]  Doing fine.
[2195.00s -> 2195.70s]  I was just going around.
[2195.70s -> 2196.70s]  I what did I get on this one?
[2197.10s -> 2197.60s]  Okay bronze.
[2197.60s -> 2199.70s]  I need to do this in 13 seconds.
[2201.57s -> 2202.07s]  Great startup.
[2208.52s -> 2209.52s]  See if I can make that gap.
[2223.31s -> 2224.51s]  That's a that's a platinum.
[2224.51s -> 2225.71s]  See anyone beat that?
[2231.32s -> 2231.52s]  All right.
[2231.52s -> 2231.92s]  I get it.
[2233.42s -> 2236.33s]  Pretty sure I just got to 93.
[2243.88s -> 2245.78s]  This was silver, but I can do it in 19, right?
[2245.88s -> 2246.28s]  Let's do it.
[2258.61s -> 2258.81s]  I forgot.
[2258.81s -> 2259.91s]  I have to actually kill the stuff.
[2278.55s -> 2279.85s]  That was fucking messy.
[2280.55s -> 2298.66s]  I hold on there.
[2298.66s -> 2299.56s]  Another one down.
[2302.98s -> 2303.68s]  It's pretty cool.
[2303.68s -> 2303.98s]  It is.
[2303.98s -> 2304.58s]  Yeah, this is fun.
[2307.06s -> 2307.86s]  I'm enjoying it.
[2308.97s -> 2309.27s]  Okay.
[2309.47s -> 2323.13s]  Next mission time and days until judgment.
[2323.63s -> 2324.83s]  Let's go get new assignment.
[2326.70s -> 2328.30s]  Well, look at that.
[2328.50s -> 2332.60s]  Your neon rank is sufficient to move on to a new assignment.
[2332.80s -> 2334.10s]  Sounds are very really good.
[2334.20s -> 2336.10s]  Yeah, they're heavenly delight ticket.
[2336.30s -> 2342.76s]  How fun ticket granted to top-performing neon is good for one heavenly delight.
[2342.86s -> 2346.46s]  Is it the heavenly delight kiosk in the cathedral to redeem an experience beyond
[2346.46s -> 2347.26s]  your wildest dream?
[2347.26s -> 2349.06s]  One moment while I check on mr.
[2349.06s -> 2350.26s]  Mikey schedule.
[2351.46s -> 2358.43s]  Have a seat in about four hours for hours.
[2358.83s -> 2362.93s]  Why no, there's got to be somebody I can speak with soon.
[2362.93s -> 2364.23s]  I'll look into that for you.
[2364.23s -> 2366.63s]  And when will that be about four out?
[2366.63s -> 2367.33s]  All right.
[2367.83s -> 2368.73s]  This is ridiculous.
[2368.73s -> 2369.23s]  I'm going.
[2372.30s -> 2373.00s]  It is a cat.
[2376.34s -> 2376.84s]  Mikey.
[2381.84s -> 2386.34s]  Look, I expect this much from the barfield, but I'm not waiting four
[2386.34s -> 2390.54s]  hours for my stupid mission in heaven for hours.
[2394.94s -> 2396.44s]  I'll get to your ugly mug.
[2396.44s -> 2398.04s]  Once I finish up with the lady.
[2398.84s -> 2399.44s]  It's fine.
[2399.54s -> 2402.89s]  I don't mind if he stays red.
[2403.19s -> 2404.09s]  What are you doing in here?
[2404.59s -> 2405.79s]  Suit yourself, sweetheart.
[2406.19s -> 2406.59s]  Go ahead.
[2406.59s -> 2407.29s]  Wise guy.
[2407.49s -> 2408.39s]  Take a frequency.
[2408.39s -> 2413.09s]  Now listen up because I'm only going to say this once you got 10 days here.
[2413.39s -> 2417.29s]  The HCA will be rating your performance alongside the other competing
[2417.29s -> 2419.99s]  eons and whoever has the top score.
[2419.99s -> 2422.79s]  And if they can win, I'm going to be this for Halloween this year.
[2422.79s -> 2423.79s]  Don't steal my costume.
[2424.69s -> 2426.19s]  I'm showing up to the party like this.
[2426.29s -> 2426.99s]  You better not.
[2427.69s -> 2429.79s]  We both have the same neon white costume.
[2430.19s -> 2432.39s]  It's going to be it's going to be not cool.
[2434.36s -> 2435.36s]  I chose it first.
[2436.40s -> 2439.00s]  No, no, I set it out loud first.
[2443.76s -> 2444.96s]  I set it out loud first.
[2449.46s -> 2451.96s]  You jokers will be cleaning out lower heaven.
[2454.76s -> 2455.86s]  Sounds easy enough.
[2459.74s -> 2460.74s]  The Dracula.
[2466.86s -> 2468.76s]  Because the demons got him white.
[2469.06s -> 2470.66s]  I forgot about the Dracula costume.
[2470.66s -> 2471.16s]  That's right.
[2471.56s -> 2474.26s]  Yeah, I kind of got that.
[2476.86s -> 2479.16s]  Anyway, that just about covers it.
[2479.56s -> 2480.06s]  Any question?
[2480.06s -> 2480.46s]  Yeah.
[2481.36s -> 2482.46s]  Why are you a cat?
[2482.46s -> 2484.56s]  Okay, you're just saying whatever to me now.
[2484.56s -> 2486.66s]  I was actually wondering the same thing.
[2487.06s -> 2489.66s]  Why are you a hilarious cartoon cat?
[2489.66s -> 2490.66s]  Exactly.
[2490.66s -> 2492.56s]  You neons are all the same.
[2492.96s -> 2494.06s]  Oh, we're going to break that promise.
[2494.06s -> 2495.16s]  Moronic imagery.
[2495.16s -> 2499.06s]  Your pee brains embedded in an effort to comprehend as angels.
[2500.26s -> 2501.56s]  Oh, you're a cat.
[2501.56s -> 2502.46s]  You're a horse.
[2502.46s -> 2504.56s]  You're a sexy statue of Liberty.
[2504.76s -> 2506.46s]  How about a hey, Mikey?
[2506.46s -> 2507.66s]  How's your day, Mikey?
[2507.96s -> 2508.86s]  Excuse me.
[2508.86s -> 2510.16s]  I'm here for my appointment.
[2510.96s -> 2513.66s]  Hey, white, isn't it freaking crazy?
[2513.86s -> 2518.06s]  That John Cena is here in heaven giving us missions.
[2518.16s -> 2519.46s]  John Cena in this game?
[2520.26s -> 2521.36s]  Everybody out.
[2521.66s -> 2523.96s]  Don't come back till you finished your missions.
[2524.56s -> 2529.16s]  And Gabby, can you please keep these neons under control?
[2533.77s -> 2538.47s]  Hey, Red, before you go, I wanted to ask you if you knew what
[2538.47s -> 2540.17s]  the deal is with Green.
[2540.87s -> 2542.07s]  Stay away from him.
[2542.07s -> 2542.67s]  Uh-huh.
[2542.77s -> 2543.27s]  He's...
[2544.17s -> 2545.07s]  I could use some convincing.
[2545.07s -> 2546.67s]  I suppose I could open up more.
[2546.67s -> 2548.37s]  In exchange for a favor.
[2548.37s -> 2549.67s]  Wait, really?
[2549.67s -> 2550.87s]  Keep your pants on.
[2551.87s -> 2552.47s]  What's the favor?
[2552.47s -> 2553.07s]  What will that be?
[2553.47s -> 2555.37s]  Like, after this mission?
[2556.07s -> 2560.71s]  What's all this commotion about?
[2560.71s -> 2563.21s]  It's piña colada day at the pool.
[2563.21s -> 2563.91s]  So?
[2564.41s -> 2567.21s]  Heaven's piña coladas are to die for.
[2567.61s -> 2568.31s]  That's kind of good.
[2568.71s -> 2569.91s]  We'll see about that.
[2569.91s -> 2571.01s]  Oh, no, you won't.
[2571.21s -> 2572.91s]  I, really?
[2573.21s -> 2575.91s]  A sinner partaking in heaven's delight?
[2575.91s -> 2576.91s]  That's bull.
[2576.91s -> 2580.01s]  Stay back, neon, or I'll have you blown to bits.
[2580.21s -> 2580.91s]  Argh.
[2584.15s -> 2584.75s]  Are you...
[2585.35s -> 2586.15s]  Another cat.
[2587.15s -> 2588.85s]  You said you wanted a drink, right?
[2589.35s -> 2590.15s]  I know a place.
[2590.15s -> 2590.75s]  Follow me.
[2592.85s -> 2593.45s]  Why not?
[2597.22s -> 2598.22s]  Tada!
[2598.62s -> 2600.62s]  Welcome to the neon bar.
[2600.62s -> 2601.22s]  You like it?
[2601.52s -> 2603.62s]  Oh, it's not like the rest of heaven.
[2603.62s -> 2604.32s]  That's for sure.
[2604.32s -> 2605.02s]  I'm into it.
[2606.32s -> 2606.92s]  Thanks.
[2607.72s -> 2608.82s]  Can I actually order drinks?
[2608.82s -> 2609.82s]  Does it give me booze?
[2610.52s -> 2613.42s]  So, uh, who exactly are you?
[2614.32s -> 2615.42s]  You can call me Raz.
[2615.72s -> 2616.92s]  I'm the bartender here.
[2618.23s -> 2618.83s]  Raz.
[2621.15s -> 2623.25s]  I'm imagining you probably buy cards, booze.
[2623.25s -> 2623.85s]  White.
[2624.05s -> 2625.15s]  Well, white?
[2625.55s -> 2626.25s]  Good to meet you.
[2626.35s -> 2628.15s]  Believers don't come around these parts anymore.
[2628.15s -> 2631.75s]  So, it's the perfect place for neon to take a load off.
[2632.45s -> 2633.65s]  I like the sound of that.
[2633.65s -> 2634.45s]  What do you have?
[2634.45s -> 2635.95s]  How about one of those piña coladas?
[2635.95s -> 2636.45s]  On it.
[2639.52s -> 2640.52s]  Here you go.
[2640.52s -> 2641.12s]  What the?
[2641.52s -> 2643.12s]  This is literally just water.
[2644.02s -> 2644.62s]  Sorry.
[2645.22s -> 2647.62s]  The believers are hogging all the real stuff.
[2647.62s -> 2648.02s]  What?
[2648.02s -> 2651.02s]  How can you call this a bar if you don't serve any booze?
[2651.02s -> 2653.62s]  See, you're thinking too narrow.
[2653.62s -> 2657.32s]  A bar, give you one guy, you can fight it in another guy.
[2658.72s -> 2659.02s]  What?
[2659.02s -> 2660.12s]  Where's my piña colada?
[2660.62s -> 2661.42s]  I'm just saying.
[2661.82s -> 2664.12s]  A friend and folks in heaven has its benefits.
[2664.12s -> 2667.12s]  You'd be surprised by what you can gain from chatting people up.
[2667.62s -> 2669.52s]  And maybe giving them some gifts.
[2669.62s -> 2673.02s]  The believers wouldn't accept my piña colada patronage.
[2673.02s -> 2675.62s]  I doubt they'd let me into their crappy gift shop.
[2675.72s -> 2676.82s]  Well, no.
[2676.92s -> 2679.62s]  Once you've taken care of your missions, you can do a second
[2679.62s -> 2681.12s]  sweep to hunt for presents.
[2681.12s -> 2681.92s]  It's like a pain.
[2681.92s -> 2682.42s]  White.
[2683.72s -> 2685.92s]  And hey, if you give me a gift.
[2691.82s -> 2693.13s]  All right, let's go.
[2699.24s -> 2699.94s]  Lemon water.
[2699.94s -> 2700.44s]  Pause.
[2701.04s -> 2701.74s]  There you are.
[2702.14s -> 2703.14s]  Team up with me.
[2705.04s -> 2707.24s]  Jinx Vi, you owe me a coat.
[2708.48s -> 2710.78s]  Yellow, quit getting in my way.
[2710.78s -> 2711.98s]  So I have to choose a companion.
[2717.08s -> 2717.58s]  Join me.
[2717.58s -> 2720.90s]  And clearly the cutest choice here.
[2721.50s -> 2722.20s]  I don't know.
[2722.30s -> 2723.70s]  I'm pretty freaking cute.
[2723.70s -> 2727.40s]  Guys, guys, I'm flattered, but this is a competition.
[2727.50s -> 2729.00s]  I'm not here to make friends.
[2729.00s -> 2730.40s]  Yo, I totally get you.
[2730.50s -> 2732.60s]  That's why we should all team up.
[2733.10s -> 2734.10s]  No way.
[2734.40s -> 2735.80s]  Three's a crowd.
[2736.00s -> 2738.00s]  I'd rather eat my own pancreas.
[2738.20s -> 2739.20s]  Come on, Vi.
[2739.30s -> 2740.00s]  You sure?
[2740.80s -> 2742.70s]  And lone wolf here.
[2743.10s -> 2744.30s]  I'm not teaming up with.
[2744.30s -> 2748.40s]  You know, I met this other neon earlier who was a total simp.
[2748.70s -> 2751.20s]  Maybe I'll just go play with him instead.
[2752.30s -> 2753.80s]  Oh, what?
[2754.10s -> 2754.70s]  Who?
[2760.40s -> 2762.40s]  Looks like it's just you and me, bro.
[2765.53s -> 2765.73s]  All right.
[2765.73s -> 2768.23s]  So do I have a do I have a power or something with them?
[2768.63s -> 2769.63s]  Whoa, whoa, whoa, whoa.
[2769.63s -> 2770.53s]  Wait, wait, wait, wait.
[2770.53s -> 2771.13s]  I'm not ready.
[2781.74s -> 2782.74s]  Am I going too slow?
[2798.27s -> 2798.87s]  Fuck.
[2827.47s -> 2828.17s]  That was pretty.
[2828.37s -> 2829.17s]  That was pretty good.
[2829.17s -> 2830.37s]  That was gold.
[2830.97s -> 2833.48s]  I'll take gold.
[2837.91s -> 2840.51s]  I knew you would be bad at Splatoon story mode.
[2842.57s -> 2842.97s]  True.
[2849.31s -> 2850.51s]  Godspeed soul card.
[2850.51s -> 2855.14s]  The soul card fires like a semi-automatic rifle and you get a dash
[2855.34s -> 2857.54s]  dash horizontally in the direction you're aiming.
[2858.04s -> 2859.94s]  Stores demons and breakable objects.
[2860.54s -> 2861.54s]  How far is it?
[2861.54s -> 2861.84s]  Okay.
[2871.55s -> 2874.45s]  Oh, that was sad, but I can do it.
[2874.55s -> 2874.95s]  Okay.
[2874.95s -> 2875.65s]  No, no, no, no, no.
[2876.45s -> 2877.15s]  We're doing that again.
[2878.05s -> 2878.55s]  Doing that again.
[2888.00s -> 2889.90s]  Oh, I can't just cheat.
[2893.25s -> 2893.95s]  Can I just cheat?
[2896.78s -> 2898.18s]  So it doesn't okay.
[2898.88s -> 2900.28s]  You can't get any vertical.
[2900.48s -> 2900.68s]  You can.
[2900.68s -> 2901.88s]  It's only horizontal only.
[2908.56s -> 2908.96s]  Wait a minute.
[2925.09s -> 2926.79s]  Can I break this without dashing?
[2933.04s -> 2957.22s]  Oh, well 13 another one down cold only use the first Godspeed
[2957.22s -> 2957.82s]  to get on the podium.
[2957.82s -> 2959.62s]  You just jump interesting.
[2970.32s -> 2972.02s]  Oh, that was a bonehead move.
[2981.86s -> 2982.56s]  I can take it.
[2982.66s -> 2983.26s]  I can do that better.
[2983.46s -> 2985.46s]  How much faster do I have to do 1817?
[2988.39s -> 2989.49s]  Now I can do 19.
[3000.96s -> 3001.56s]  How do I get that?
[3004.74s -> 3005.74s]  Wait, that's me.
[3026.30s -> 3026.80s]  There it is.
[3031.15s -> 3031.85s]  Yippee.
[3042.71s -> 3046.01s]  This is a perfect game for a fake manga fan like you.
[3048.04s -> 3048.44s]  I see it.
[3048.94s -> 3049.44s]  Oops.
[3049.91s -> 3057.32s]  Only one shot just that instantly.
[3079.19s -> 3079.69s]  Where do I go?
[3089.55s -> 3089.95s]  Shit.
[3089.95s -> 3091.65s]  Hey, let's keep it going.
[3094.73s -> 3095.63s]  22 seconds.
[3095.63s -> 3096.23s]  I can do it.
[3097.23s -> 3115.55s]  So if you dash through you get another one platinum.
[3116.12s -> 3117.22s]  That's how it's done.
[3118.86s -> 3119.66s]  Hey, I missed some of the stream.
[3119.66s -> 3121.76s]  Did he go to hell and was Ben Franklin there?
[3124.38s -> 3125.08s]  I'm not sure yet.
[3131.46s -> 3132.36s]  Hell, yeah, dude.
[3137.81s -> 3138.41s]  Oh, wait.
[3138.41s -> 3138.71s]  Okay.
[3138.71s -> 3139.71s]  This is a double here.
[3140.90s -> 3144.50s]  This is a grab this shoot and then this is a boom.
[3144.50s -> 3144.80s]  Boom.
[3150.52s -> 3151.72s]  I think somebody was alive up there.
[3153.87s -> 3155.17s]  I can't really tell but whatever.
[3156.62s -> 3157.42s]  Oh my God.
[3157.42s -> 3158.12s]  I blew it.
[3158.12s -> 3159.42s]  I thought that somebody was still alive.
[3160.32s -> 3162.22s]  Oh, it's just it's one of the other neons.
[3162.22s -> 3162.52s]  Okay.
[3162.52s -> 3163.32s]  I thought it was an enemy.
[3168.43s -> 3168.73s]  What?
[3179.16s -> 3180.66s]  No.
[3195.29s -> 3200.00s]  Oh, only silver.
[3200.00s -> 3200.70s]  What am I missing here?
[3206.16s -> 3206.86s]  12 seconds.
[3206.86s -> 3207.76s]  What am I missing here?
[3221.60s -> 3223.29s]  Ah, all right.
[3223.29s -> 3223.89s]  Settle down.
[3249.90s -> 3252.00s]  The dash somebody said the dash does go vertical.
[3252.00s -> 3253.10s]  I can't get it to go vertical.
[3260.76s -> 3262.06s]  Does the dash work?
[3262.16s -> 3262.26s]  Okay.
[3262.26s -> 3264.56s]  When you hit an enemy with the dash, does it actually just refill it?
[3266.24s -> 3267.54s]  Doesn't only on those big ones.
[3282.76s -> 3284.86s]  I mean, how do I get up there that fast?
[3302.15s -> 3302.75s]  Damn it.
[3302.75s -> 3303.85s]  I lost time on that.
[3305.14s -> 3306.04s]  Skip dropping down.
[3306.04s -> 3306.64s]  Just dash.
[3322.33s -> 3322.83s]  Shit.
[3336.95s -> 3349.82s]  Wait, now I have to break that.
[3349.82s -> 3351.32s]  I have to kill the enemy down there.
[3351.72s -> 3352.62s]  Skip the second door.
[3352.62s -> 3354.12s]  I still have to kill the thing down there though, right?
[3365.50s -> 3366.90s]  Shoot it and then dash to the exit.
[3372.70s -> 3373.20s]  God damn it.
[3384.21s -> 3385.01s]  My brain can't do it.
[3388.37s -> 3390.27s]  I mean it can but it's just too many things in a row.
[3395.54s -> 3395.74s]  All right.
[3395.74s -> 3402.25s]  So, but how how do I skip?
[3402.45s -> 3407.05s]  How do I kill that but skip the door without getting the jump?
[3408.53s -> 3409.03s]  I get it.
[3411.86s -> 3413.66s]  Just go from here to there.
[3416.74s -> 3417.84s]  Let me take, let me go slow.
[3426.20s -> 3426.60s]  Okay.
[3427.88s -> 3428.98s]  I just go like this.
[3431.39s -> 3431.49s]  All right.
[3431.49s -> 3431.99s]  That's how you do it.
[3432.09s -> 3432.39s]  I got it.
[3446.32s -> 3446.52s]  Yes.
[3446.52s -> 3447.82s]  Let's see anyone beat that.
[3453.43s -> 3456.13s]  I wonder if you can even do it normally.
[3457.07s -> 3457.57s]  This is a fun game.
[3457.57s -> 3457.97s]  I like this.
[3461.76s -> 3462.96s]  Come on already.
[3462.96s -> 3464.26s]  Quit it with the jokes.
[3467.41s -> 3468.51s]  I can't help it.
[3468.51s -> 3469.01s]  Yeah.
[3469.21s -> 3469.71s]  Yeah.
[3469.91s -> 3471.31s]  You and your sunshine.
[3472.54s -> 3473.64s]  Did you do something quirky?
[3476.54s -> 3476.94s]  Hey.
[3477.74s -> 3478.24s]  No.
[3478.54s -> 3479.04s]  Sorry.
[3479.14s -> 3479.64s]  I don't.
[3480.14s -> 3481.64s]  Sounds like it was chill though.
[3481.74s -> 3482.14s]  Oh great.
[3482.14s -> 3483.04s]  He said he liked the game.
[3483.04s -> 3485.14s]  Prepare to never see it after this stream.
[3486.24s -> 3496.02s]  Man, I'd give my left nut to go back and do it all over again.
[3496.32s -> 3498.22s]  Even all the weird stuff at the end.
[3499.26s -> 3501.66s]  I don't blame you for any of it, you know.
[3506.24s -> 3507.74s]  What the hell is that supposed to mean?
[3507.74s -> 3508.74s]  Dude, chill.
[3508.74s -> 3510.64s]  The vibes are immaculate.
[3510.84s -> 3511.34s]  What?
[3511.34s -> 3512.84s]  I just want to kick ass with my bro.
[3512.94s -> 3513.84s]  Did you just say that?
[3514.14s -> 3516.04s]  You just said the vibes are immaculate?
[3519.22s -> 3519.72s]  Really?
[3520.36s -> 3520.96s]  Wow.
[3521.46s -> 3522.06s]  Okay.
[3526.63s -> 3527.93s]  I like this guy way more now.
[3528.50s -> 3529.00s]  Yeah.
[3532.78s -> 3533.68s]  My god, dude.
[3533.88s -> 3536.58s]  Remember when you messed up the toilet after you ate that chili?
[3536.88s -> 3538.98s]  That was insane.
[3539.78s -> 3541.18s]  Yo, hold up.
[3541.78s -> 3542.28s]  Wait, what?
[3542.28s -> 3545.18s]  That's not, why would you, that's a weird thing to bring up to somebody.
[3545.18s -> 3545.78s]  That's weird.
[3545.78s -> 3547.08s]  That's fucking strange.
[3553.60s -> 3554.70s]  I don't know what that's distracting me.
[3554.70s -> 3555.40s]  I don't know what that's for.
[3561.27s -> 3563.47s]  That was very distracting, but I think I still got the gold medal.
[3563.47s -> 3564.67s]  Didn't even break a sweat.
[3571.56s -> 3574.46s]  Every cutscene loses like 400 viewers.
[3580.26s -> 3581.36s]  That's pretty funny.
[3581.76s -> 3582.96s]  That's actually funny.
[3590.46s -> 3591.36s]  Shit, I fell.
[3594.28s -> 3595.08s]  Shit, I fell again.
[3596.31s -> 3599.21s]  Every cutscene loses 500 viewers.
[3612.66s -> 3613.36s]  A long way.
[3616.51s -> 3617.61s]  How did I lose time?
[3631.76s -> 3632.66s]  Oh, it's...
[3634.82s -> 3636.82s]  Yeah, that sounds good.
[3652.73s -> 3653.33s]  Stop jumping.
[3653.33s -> 3654.63s]  I, doesn't do anything.
[3668.63s -> 3668.93s]  Damn it.
[3668.93s -> 3669.33s]  Yeah.
[3672.26s -> 3674.16s]  I feel like I was pretty close to the platinum one.
[3674.46s -> 3674.86s]  Let me see.
[3681.09s -> 3682.59s]  Probably one or two seconds.
[3684.03s -> 3684.73s]  I can definitely get it.
[3684.73s -> 3685.33s]  Let's get it.
[3700.10s -> 3702.10s]  Oh, sad.
[3738.21s -> 3745.21s]  Bounce to platinum.
[3746.13s -> 3747.33s]  It's because I'm the best.
[3748.49s -> 3750.49s]  I think your Vtuber avatar isn't rigged right.
[3750.49s -> 3751.49s]  The space isn't moving.
[3766.26s -> 3767.56s]  I feel like I just lost time there.
[3768.88s -> 3769.68s]  Let's do that again.
[3779.41s -> 3781.11s]  That's definitely the best way to go.
[3783.16s -> 3784.76s]  Get a land right on the lip.
[3784.76s -> 3785.86s]  I did it too, shit.
[3791.32s -> 3792.12s]  That's definitely it.
[3809.88s -> 3810.98s]  That might have been more accurate.
[3833.43s -> 3834.73s]  Didn't even break a sweat.
[3834.73s -> 3835.33s]  Unfortunate.
[3846.32s -> 3848.02s]  You just have to hop over the side.
[3849.59s -> 3850.59s]  26?
[3850.59s -> 3852.19s]  Oh, yeah, I can have that.
[3852.19s -> 3853.99s]  That extra second was just the beginning.
[3869.61s -> 3871.41s]  I know I'm supposed to get the presence, but whatever.
[3877.98s -> 3878.38s]  There it is.
[3879.05s -> 3880.05s]  That's how it's done.
[3885.73s -> 3887.33s]  To do a Ben and Jerry's tier list.
[3887.93s -> 3889.13s]  Half-baked S.
[3889.53s -> 3891.13s]  Everything else A.
[3892.03s -> 3893.13s]  Everything else A.
[3895.06s -> 3896.66s]  I don't even need to show it on screen.
[3915.87s -> 3919.27s]  Oh, a little too, a little too far there.
[3923.00s -> 3923.80s]  I'm gonna hold this.
[3926.69s -> 3927.09s]  Damn it.
[3937.20s -> 3938.50s]  I'm holding it for way too long.
[3954.44s -> 3955.34s]  I can definitely do it.
[3968.15s -> 3968.65s]  A hundred percent.
[3968.65s -> 3969.05s]  Ready?
[3972.90s -> 3973.80s]  Oh, fuck you.
[3973.80s -> 3974.70s]  I can definitely do it.
[3974.90s -> 3976.60s]  That's gonna shave like three seconds off too.
[3988.03s -> 3988.93s]  Oh, come on.
[3993.26s -> 3994.06s]  I know I can do it.
[4004.30s -> 4005.10s]  It's dope.
[4005.20s -> 4006.30s]  Yeah, it's right there.
[4006.30s -> 4006.80s]  But whatever.
[4007.30s -> 4008.20s]  Let's try it the regular way.
[4024.36s -> 4026.66s]  Guess I could shoot and skip this whole thing.
[4031.77s -> 4032.97s]  I'm gonna skip that whole section.
[4045.43s -> 4046.13s]  I freaked out.
[4046.23s -> 4047.13s]  I need to, where do I go?
[4048.62s -> 4049.02s]  Hold on.
[4051.10s -> 4051.70s]  Where is it?
[4052.00s -> 4052.30s]  Hold on.
[4052.30s -> 4052.90s]  I'm freaking out.
[4059.08s -> 4059.98s]  I need to see it again.
[4060.68s -> 4063.42s]  Because it's bounce off.
[4063.62s -> 4064.42s]  Okay, it's over here.
[4066.26s -> 4067.66s]  Can I just skip this whole section?
[4069.34s -> 4070.74s]  I shoot those two in the beginning.
[4071.44s -> 4072.74s]  Need to end up up there.
[4076.18s -> 4076.58s]  Okay.
[4079.02s -> 4079.52s]  See it up.
[4092.39s -> 4093.69s]  I don't, maybe I can't.
[4125.55s -> 4126.85s]  That's still gold somehow.
[4126.85s -> 4127.25s]  What is it?
[4127.25s -> 4127.85s]  What is platinum?
[4134.35s -> 4134.65s]  All right.
[4134.65s -> 4137.42s]  That's pretty fair amount that I still need to do.
[4138.22s -> 4139.02s]  Let me try that again.
[4143.81s -> 4144.51s]  Oh, it's gone.
[4144.51s -> 4144.91s]  Oops.
[4162.54s -> 4163.54s]  Oh, there it is.
[4167.48s -> 4168.48s]  No.
[4168.98s -> 4169.58s]  I know where to go.
[4185.60s -> 4186.70s]  You stupid idiot.
[4224.43s -> 4224.93s]  Platinum.
[4225.03s -> 4226.23s]  It's because I'm the best.
[4233.00s -> 4233.20s]  All right.
[4233.20s -> 4234.20s]  This is the last level here.
[4234.80s -> 4237.30s]  In this particular zone.
[4252.13s -> 4254.53s]  I mean, we're kind of just going here.
[4254.83s -> 4268.20s]  Oh, it was kind of ugly.
[4268.20s -> 4268.80s]  But sorry.
[4272.52s -> 4273.52s]  I wonder where the skips are here.
[4275.47s -> 4278.27s]  I think I could just do just go faster and I should get it.
[4290.52s -> 4291.02s]  I blew it.
[4317.56s -> 4317.86s]  All right.
[4317.86s -> 4319.46s]  Even break a sweat 22.
[4319.56s -> 4320.46s]  I'm making a lot of noises.
[4320.46s -> 4320.76s]  Sorry.
[4324.46s -> 4325.16s]  I can go faster.
[4325.16s -> 4326.16s]  I just got to get the whole thing down.
[4326.16s -> 4326.56s]  I'll get it.
[4327.60s -> 4328.70s]  Just skip that whole top part.
[4330.32s -> 4331.02s]  Let me look at it.
[4339.02s -> 4339.62s]  Look at that.
[4360.89s -> 4362.69s]  I'm so I'm getting so I'm getting ahead of myself.
[4368.07s -> 4368.97s]  Oh, fuck you.
[4394.42s -> 4425.53s]  Oh, 23.9 shit in my pants.
[4425.53s -> 4426.63s]  23.3.
[4469.60s -> 4470.40s]  Fuck you.
[4471.30s -> 4471.70s]  Shit.
[4480.36s -> 4480.86s]  How?
[4496.51s -> 4497.51s]  Oh, you idiot.
[4497.51s -> 4498.31s]  I hate you.
[4501.15s -> 4501.85s]  It's falling apart.
[4502.15s -> 4502.65s]  It's falling apart.
[4502.65s -> 4502.95s]  It's false.
[4502.95s -> 4503.55s]  I gotta get back.
[4503.55s -> 4503.95s]  Come on.
[4519.06s -> 4520.26s]  What are you talking about game?
[4520.26s -> 4521.06s]  What are you happening?
[4521.66s -> 4522.06s]  What?
[4522.26s -> 4522.96s]  I didn't go through.
[4522.96s -> 4523.36s]  Why?
[4545.52s -> 4546.02s]  How is that?
[4557.95s -> 4558.65s]  It's falling apart.
[4564.45s -> 4565.55s]  Is that even faster?
[4566.35s -> 4568.35s]  It might that might be adding time by the way.
[4572.52s -> 4573.32s]  That's adding time.
[4595.26s -> 4596.76s]  Oh, you piece of shit.
[4620.59s -> 4620.89s]  20.
[4621.09s -> 4622.29s]  Oh my God.
[4633.62s -> 4634.72s]  I don't like this guy in front of me.
[4634.92s -> 4635.52s]  I don't like it.
[4635.52s -> 4637.42s]  He's he's doing way better than me every time.
[4637.42s -> 4638.02s]  It's annoying.
[4646.60s -> 4647.10s]  Wait a minute.
[4647.10s -> 4647.60s]  Hold on.
[4647.60s -> 4648.50s]  Hold on a second.
[4649.70s -> 4650.70s]  I may have just solved it.
[4663.49s -> 4664.59s]  Oh, yeah.
[4667.57s -> 4668.47s]  I don't think I can get high enough.
[4684.77s -> 4685.97s]  Somebody said shoot the glass.
