[0.57s -> 2.84s]  How are you doing?
[4235.51s -> 4237.51s]  Cookie monster might even be on here
[4237.75s -> 4250.84s]  It could be anybody
[4250.84s -> 4254.20s]  Okay, i've already I don't care. I just want to know who the other characters are. I want to see the cutscene
[4254.20s -> 4261.72s]  Let's go to contra one. We've seen three and we've seen six. Let's see what contra one is
[4263.64s -> 4265.85s]  uh
[4265.85s -> 4268.98s]  Wait, what?
[4268.98s -> 4272.26s]  So inside of the contra one folder was like contra two through eight
[4274.04s -> 4281.03s]  This is just how a ton of folders on my desktop are right now. It's just poor folder management. Uh,
[4281.98s -> 4283.98s]  Okay, we're gonna do contra two
[4288.49s -> 4292.89s]  Contra one folder into subdirectory contra two and now this is just contra
[4294.52s -> 4296.20s]  a 100 rip
[4296.20s -> 4300.68s]  Uh completely I would say absolutely fucking against the law completely illegal. This is contra one
[4301.85s -> 4305.62s]  Um, okay, whatever
[4305.62s -> 4312.04s]  I I guess that's what this is contra one. No, it's not wait. Why do I have a spreader automatically?
[4314.50s -> 4316.98s]  This is like level three in contra one
[4317.86s -> 4319.86s]  But I have upgraded weapons
[4327.42s -> 4328.62s]  That is
[4328.62s -> 4329.82s]  Oh, okay
[4329.82s -> 4338.20s]  And they made it really simple. They gave you the spreader
[4338.84s -> 4344.30s]  Why would you do this?
[4344.30s -> 4347.96s]  It's just different scenes from contra one
[4349.40s -> 4354.44s]  So am I correct when I think that when they say contra two they mean level two in contra one
[4355.70s -> 4357.70s]  We need to investigate a little further here
[4358.66s -> 4374.76s]  This is gonna take some full investigation. He's so smart. Hey, thanks, man
[4378.82s -> 4381.06s]  You know what that boss used to scare the shit out of me in contra
[4382.44s -> 4386.28s]  It was the boss in I believe it was this exact same kind of style
[4387.58s -> 4389.26s]  Super contra, right?
[4389.26s -> 4391.26s]  Like that weird skeleton guy
[4392.14s -> 4396.78s]  That hangs around the room when he jumps on he hangs from the ceiling and shit and then his face pops out of the middle
[4399.06s -> 4403.86s]  And super contra was terrifying. It made every time you fought a boss. It played this horrible scary music
[4408.20s -> 4410.20s]  It was like
[4412.76s -> 4414.76s]  It was like fuck the boss is kind of scary
[4421.06s -> 4432.17s]  Kill it off. I forgot how fun these games were
[4432.89s -> 4436.09s]  You know the sad part about this
[4436.17s -> 4440.01s]  I'm gonna say something right now and you guys can tell me. Oh, no. No. Yeah, that's right, dude. That happened already
[4440.97s -> 4442.97s]  um, is it too bad that
[4443.53s -> 4448.65s]  I would love a new contra but the one definitely came out that was an ipad pay to win game probably right?
[4449.13s -> 4455.69s]  I'm sure they redid contra for ios and it's probably just complete just dog shit pay to win like weird shitty game or something, right?
[4456.65s -> 4466.10s]  That's so sad, I feel like that would be the thing. All right stage three waterfall. I have 26 lives
[4469.53s -> 4472.38s]  26 lives
[4472.38s -> 4474.38s]  was this in
[4474.70s -> 4479.18s]  I don't remember any of this
[4479.18s -> 4481.18s]  I don't I don't remember this being the game
[4481.98s -> 4484.41s]  Did I ever never get this far as a kid?
[4486.26s -> 4497.27s]  All right, I want to investigate contra one. Okay, so that was contra two. Here's contra three
[4499.58s -> 4501.58s]  It's definitely just the level select
[4503.74s -> 4507.74s]  Yeah, it's the level select. Yeah, of course it is. Oh my fucking god. So what's the other ones then?
[4508.22s -> 4513.61s]  So if that's that so what is contra 30p?
[4515.60s -> 4517.60s]  Shotgun what's shotgun?
[4520.62s -> 4533.42s]  This is just letting you start with the shotgun. That's so dumb
[4534.54s -> 4537.50s]  Okay
[4537.50s -> 4542.22s]  It's just just a game shark. Okay. No, no, no, I don't want to do contra. No stop doing contras
[4544.13s -> 4546.60s]  12 in one
[4546.60s -> 4548.04s]  so bogus
[4548.04s -> 4550.04s]  Click the link. All right. Wait, wait, wait, wait. What's this link?
[4550.84s -> 4562.52s]  I'm gonna click the link. Okay, it's pretty good. It's pretty good. Not bad. It's not bad. It's pretty good
[4568.57s -> 4573.42s]  Uh, by the way, that is eight oh five eight. Oh six see I can read that today
[4581.61s -> 4599.69s]  Uh, how come it's not showing up there it is. All right, let's go. I want to see what contra two is
[4609.24s -> 4611.16s]  This is a debug menu
[4611.16s -> 4622.15s]  All right contra 30s contra four a this is not what that's not contra super
[4622.15s -> 4633.50s]  What arena four play is this contra it is
[4634.14s -> 4642.52s]  So this is just contra two
[4642.84s -> 4647.16s]  The contra three is not contra three. It's a made-up contra three
[4647.96s -> 4652.79s]  So what would contra six or seven be? Um, I've no I don't know what's going on
[4653.59s -> 4664.71s]  Not bad
[4664.71s -> 4672.22s]  But all right. I I don't I need to see so if that's contra two con we've seen contra six
[4672.87s -> 4687.18s]  What is contra seven super contra seven? I hope fox I hope burns is in trouble
[4690.63s -> 4692.63s]  Oh, this is uh, definitely a made-up one
[4694.55s -> 4698.30s]  uh
[4698.30s -> 4702.14s]  You can tell because how badly this one runs and I can't even pick this item up
[4702.70s -> 4706.60s]  It's just a rom hack of the first one
[4709.27s -> 4711.59s]  All the enemy spawning is just so wrong and off
[4715.98s -> 4717.74s]  two room
[4717.74s -> 4719.34s]  Two room sail
[4719.34s -> 4721.34s]  Look at this enemy spawning
[4724.20s -> 4725.40s]  Oh
[4725.40s -> 4726.68s]  Oh
[4726.68s -> 4728.04s]  Tototel
[4728.04s -> 4730.04s]  otototel
[4742.38s -> 4744.38s]  Sail sail sail
[4744.78s -> 4747.26s]  Everything's on sale. The whole world is on sale
[4749.24s -> 4751.72s]  The otto hotel. Oh, it's otto hotel
[4753.21s -> 4756.09s]  Love you. Love you. Love you. Love you
[4757.13s -> 4766.02s]  I think two room is my favorite
[4766.02s -> 4771.98s]  Although otto totel is probably is good. This is impossible to play by the way. This is impossible
[4772.70s -> 4774.78s]  And if you noticed we have not made any progress
[4775.74s -> 4777.74s]  We keep doing the exact same screens
[4778.46s -> 4780.94s]  This is never ending just keep walking to the right same thing
[4782.30s -> 4795.06s]  Okay, what's contra eight? Here we go
[4798.42s -> 4803.46s]  It's somehow just worse font version of the last one. In fact, it's pasted over
[4804.42s -> 4814.74s]  It's superimposed over the last one. It's just pasted on
[4815.93s -> 4818.49s]  Okay, let's see same exact game. No difference at all
[4826.60s -> 4828.52s]  And what's with this music?
[4828.52s -> 4833.56s]  I feel like I only have like 100 seconds left in any old nintendo game
[4836.79s -> 4838.79s]  Oh hurry up
[4840.15s -> 4854.90s]  Yeah, if you slowed this down it might actually be like a good nintendo like regular nintendo song
[4855.78s -> 4861.37s]  Done i'm done with this. It's over. Oh, that was super crunch at eight
[4862.31s -> 4868.94s]  All right. Now, where are we going? I mean, let's I mean let's do the robocop like fuck it. Whatever
[4869.90s -> 4871.90s]  We saw robocop four. Let's do robocop one
[4873.24s -> 4877.02s]  License from ocean software and then a real company the future of law enforcement
[4881.10s -> 4882.22s]  nice
[4882.22s -> 4883.90s]  Load up that gun
[4883.90s -> 4886.74s]  same exact thing
[4886.74s -> 4888.74s]  arrest mode second street
[4889.30s -> 4897.50s]  Nash avenue crime in progress. Oh, it's it's different. It's a different game
[4898.38s -> 4902.97s]  Okay, there's a punch. I just have a punch. I don't have anything else
[4903.93s -> 4905.93s]  Select doesn't do anything
[4906.17s -> 4908.26s]  Okay
[4908.26s -> 4920.58s]  These are these are who are these people? Okay. That's not fair. I don't have nothing. I know button select this block
[4921.46s -> 4925.11s]  Start doesn't do anything
[4925.59s -> 4927.19s]  All the buttons don't do it
[4927.27s -> 4934.48s]  That person just drop kicked out of the fucking window and hit me that was incredibly impressive that was unbelievable
[4937.98s -> 4939.98s]  Oh, yeah, I didn't even hit him he missed and he died
[4941.26s -> 4954.33s]  I want to go up. It's castlevania. Oh my god
[4955.99s -> 4957.99s]  Off the top rope. I can't go down
[4958.47s -> 4965.26s]  I don't understand how I still have a gun that I can't use
[4966.95s -> 4967.91s]  Oh
[4967.91s -> 4971.35s]  He decided to take out the gun. It's a scripted. Wait, what?
[4972.15s -> 4986.12s]  I don't want to I just shot a dog. I don't want to I don't like hate that sound. I don't like that
[4986.20s -> 4988.20s]  I don't want to hear that. I don't like that
[4994.60s -> 4997.16s]  Why there's so many fucking rabid dogs?
[5002.81s -> 5004.81s]  Why am I aiming like this too?
[5005.05s -> 5006.17s]  Okay
[5006.17s -> 5007.93s]  Here's what's going on right now
[5007.93s -> 5011.85s]  Uh this game they had some kind of model. This is pulling back a bow and arrow
[5012.49s -> 5014.02s]  And they just didn't care to change it
[5014.02s -> 5017.46s]  This is a different model for some other game that they made probably and it's pulling back a bow and arrow
[5018.42s -> 5022.78s]  What on earth is that doctor robotnik? Okay?
[5023.66s -> 5037.75s]  uh
[5037.75s -> 5044.41s]  Data east got him in the air. All right, I made it through. Oh shit
[5045.99s -> 5047.99s]  He's blocking the bullets with his hand
[5054.62s -> 5058.14s]  Come on, okay
[5083.21s -> 5095.21s]  Hey
[5095.29s -> 5100.89s]  Why would you shoot a flamethrower out your window down, you know, the flames would come back up and hit you right in the fucking face
[5101.93s -> 5105.29s]  Aiming a flamethrower down wouldn't the flames just come back up and hit you
[5115.37s -> 5119.45s]  Wouldn't the heat like come back when like the flames check back up backwards and like hit you in the face
[5120.09s -> 5131.43s]  That's not how fire works. What some of those flames would come back and hit you in the face
[5137.83s -> 5141.88s]  Can I go in?
[5141.88s -> 5143.88s]  Oh, all right. I gotta put the put the gun away
[5144.04s -> 5146.04s]  Now it's just fighting
[5146.28s -> 5151.16s]  There's liquid in there
[5151.16s -> 5152.84s]  It's simply hot
[5152.84s -> 5156.28s]  And plus wouldn't you burn the like building down too if you got like right?
[5157.00s -> 5161.93s]  I'm just going this is not somebody's room, right?
[5162.41s -> 5164.01s]  Why is there a gun on the ground?
[5164.01s -> 5167.40s]  Thought equals up. Yeah heat rises
[5170.04s -> 5176.20s]  Have you guys ever heard that famous fucking quote by that famous actor that famous role in that famous movie with that famous comic book
[5176.20s -> 5178.20s]  Character and that famous director
[5179.16s -> 5184.06s]  Oh, no prepare everyone's oh, no. No. No. No. Oh, no. No. No
[5186.09s -> 5187.61s]  Fire rises
[5187.61s -> 5190.01s]  I had to open up my iced coffee to do that and I got it all over my face
[5190.97s -> 5194.25s]  It's like a cover. It's all over my mouth and my chin and my nose and stuff
[5194.97s -> 5204.39s]  Remember, you're so stupid ban that guy for life ban that guy for life. Don't ever want to see that guy's name again
[5205.27s -> 5209.91s]  I'm just kidding vip them for 10 minutes. I'm just kidding. Don't do that either
[5216.57s -> 5218.76s]  Who I don't know
[5218.76s -> 5222.58s]  They're gone already
[5222.58s -> 5225.54s]  Like I I feel like see like your chat license plates
[5226.18s -> 5233.06s]  You guys will drive you guys will just drive by and scream like you're a fucking loser
[5233.46s -> 5236.18s]  Like what's that guy's name? But he's gone. He's gone. He's already gone. Fuck
[5236.90s -> 5254.15s]  I'm going up I think and some of you guys have a lot of numbers after your names, too
[5254.71s -> 5257.59s]  So I can get you know, it's like well, okay. I I see
[5259.03s -> 5263.03s]  One, uh g. Oh, no, there's a bunch of the numbers after
[5263.83s -> 5265.83s]  Like if your name is like greg
[5266.47s -> 5267.35s]  six
[5267.35s -> 5269.99s]  But there's like a seven or two a nine and a one after that, too
[5270.63s -> 5271.67s]  I
[5271.67s -> 5273.67s]  I can't mark if you don't know who the fuck you are
[5274.63s -> 5277.32s]  I'll get the greg part
[5280.28s -> 5289.88s]  Uh, I can't I can't do anything in here. Oh shit. Wait, this is like the this is the boss
[5303.08s -> 5304.44s]  Brother
[5304.44s -> 5308.15s]  I love when people at at okay
[5308.47s -> 5311.51s]  Robocop has never discouraged. Let's challenge again. No, let's see. The next one is
[5312.07s -> 5314.87s]  Every time I say a fake person's name you guys at the fake person
[5316.89s -> 5326.07s]  Until somebody makes the fake person's name remember you made my little sister cry when you made the pig noise that time
[5326.55s -> 5333.88s]  What do you mean?
[5333.88s -> 5336.04s]  What was your little sister watching me?
[5337.29s -> 5341.58s]  Yeah, don't that's not a good idea. All right, that was Robocop one. Let's see Robocop two
[5343.68s -> 5346.10s]  1981 is that 1881?
[5347.38s -> 5353.45s]  That's 1881
[5353.45s -> 5356.25s]  Got quite a few bullets in that uh handgun Robocop
[5360.09s -> 5362.49s]  Only supposed to be I believe 12 rounds in there
[5365.27s -> 5367.27s]  Gatling gun
[5367.27s -> 5370.71s]  All right, let's go
[5370.71s -> 5373.59s]  dark
[5373.59s -> 5375.80s]  What why is he wolverine?
[5375.80s -> 5379.56s]  A nuke laboratory has been located destroy all nukes on the premises
[5379.64s -> 5386.20s]  What target villains to be arrested are indicated by a flashing icon a select nuke a store is reported in this area
[5386.20s -> 5388.20s]  Why would I blow up the nukes in the nuke lab?
[5391.88s -> 5396.28s]  I don't know who that was but they've walked out here and I just shot them. I don't know who that was
[5396.36s -> 5398.36s]  I have no idea who you were
[5400.23s -> 5402.23s]  This moment i'm on ice
[5402.87s -> 5404.87s]  Why is there ice momentum in this?
[5406.87s -> 5408.87s]  This is fucking horrible
[5412.04s -> 5417.78s]  Why is it like
[5417.78s -> 5419.78s]  It's just skiing around
[5423.62s -> 5425.70s]  This is a huge dog fire hydrant, too
[5428.87s -> 5434.31s]  How do I arrest people wait shouldn't I be arresting these people instead? There's an arrest icon over there for the flashing indicator
[5437.02s -> 5439.02s]  So how do I arrest them?
[5448.70s -> 5451.66s]  Do I have an arrest button or something to select arrest?
[5458.10s -> 5460.10s]  So I have to destroy the nukes here
[5461.18s -> 5464.14s]  If you don't get enough momentum, by the way, you're not going to make these jumps. So I need to
[5465.18s -> 5480.47s]  Am I knocking on the door now?
[5483.35s -> 5485.35s]  I'm deciding to knock on this door
[5486.06s -> 5491.26s]  You have 22 of the nuke you've destroyed 22 you have arrested 40 of the target villains what
[5494.41s -> 5501.21s]  Report you have not destroyed enough nuke in your last mission proceed to the firing range for testing and calibration
[5502.58s -> 5507.98s]  There weren't any nukes and what do you mean arrested? I killed everyone
[5509.64s -> 5512.97s]  uh
[5512.97s -> 5515.37s]  This is just another game for the nintendo
[5516.09s -> 5519.74s]  By the way, what are you doing up there?
[5521.98s -> 5523.82s]  This is what's this game called?
[5523.82s -> 5531.29s]  for time
[5531.29s -> 5539.06s]  How many people have to kill?
[5539.06s -> 5543.03s]  This is actually in the robocop game
[5543.35s -> 5552.12s]  oops
[5552.12s -> 5556.30s]  Oops, this I this hurts to do
[5559.83s -> 5564.31s]  38 how many people do I have to kill 37? I have to kill. Oh my god. I killed so many more people
[5565.43s -> 5568.25s]  All right, does it matter if I miss and hit somebody?
[5568.81s -> 5576.55s]  How much more time do I have not very much
[5577.11s -> 5581.96s]  There's so many just random civilians here
[5582.76s -> 5587.30s]  There's more civilians than the bad guys
[5588.26s -> 5591.98s]  Come on
[5612.92s -> 5615.16s]  What hey what's going on
[5616.25s -> 5619.51s]  Hello incoming message
[5619.75s -> 5622.74s]  report
[5622.74s -> 5627.14s]  You failed to attain enough points in the firing range. You must return to your previous assignment
[5642.23s -> 5644.39s]  I don't think so
[5644.39s -> 5650.92s]  All right, we saw robocop, uh four right? So we need to see robocop three super rescue
[5651.96s -> 5666.76s]  This is in a different language robocop
[5670.71s -> 5677.56s]  That's not robocop. Oh dear
[5679.14s -> 5682.66s]  Okay
[5682.66s -> 5686.65s]  stamina
[5686.65s -> 5689.21s]  I took it's a three like a four hit combo
[5693.56s -> 5694.60s]  Okay
[5694.60s -> 5701.94s]  This is kind of fun, but not really at all, but i'm gonna give it two minutes
[5702.74s -> 5705.30s]  I'll give this the one minute it deserves. You know what I mean?
[5705.94s -> 5712.79s]  It's a p station. It is right
[5713.19s -> 5726.34s]  What happens if I spell the word robocop three
[5728.98s -> 5732.47s]  Too many robocops
[5732.47s -> 5734.47s]  Uh, let go let go of the grave
[5736.76s -> 5738.76s]  like flappy bird
[5744.54s -> 5748.38s]  Pete get it
[5748.38s -> 5750.78s]  Robocop four is three. This is shatter hand
[5753.34s -> 5755.66s]  Wait, this is a different this is a different is a game
[5756.54s -> 5763.45s]  What the fuck is that?
[5763.45s -> 5771.69s]  All right, this is awesome. Yeah, this is a game. Oh, I'm so just ripped off. Okay
[5771.85s -> 5774.06s]  Okay
[5774.06s -> 5778.94s]  They must have just seen the cyborg and just said you know what I don't just put it as robocop three
[5779.50s -> 5788.20s]  This is good
[5788.20s -> 5791.37s]  It actually is pretty fun
[5791.37s -> 5798.02s]  Shatter hand is an actually good game
[5801.11s -> 5805.18s]  Kind of feels that way
[5805.18s -> 5806.71s]  All right
[5806.71s -> 5809.02s]  Play ace combat
[5809.02s -> 5811.02s]  Will you stop with the ace combat?
[5811.50s -> 5813.50s]  I'm not gonna play ace combat
[5814.33s -> 5816.33s]  Lost time. All right, let's go
[5823.13s -> 5826.09s]  Shit, okay, he swings the gun at you when he gets when you get close
[5831.05s -> 5832.57s]  Can't shoot him with anything
[5832.57s -> 5842.33s]  That hurt what was that hitbox you serious?
[5861.26s -> 5863.69s]  Actually good game. Yeah, dude
[5864.33s -> 5872.66s]  That's fun. All right. We did the whole first page
[5873.72s -> 5879.29s]  So anything one through ten is done. Let's get a random one. Why not? Let's go random again
[5881.08s -> 5887.03s]  and 482
[5887.19s -> 5897.03s]  shockwave shockwave by american game cartridges
[5898.92s -> 5904.36s]  I would probably put at least a hundred dollars on the fact that this was not made by an american game cartridge company
[5904.44s -> 5911.64s]  I think that would be a safe bet
[5911.64s -> 5915.13s]  But you know
[5915.13s -> 5921.14s]  Do your name? Um
[5921.22s -> 5928.79s]  X who cares doesn't matter shockwave man left men left five code hti level one minor work
[5936.87s -> 5938.52s]  But I don't
[5938.52s -> 5939.96s]  Oh cool
[5939.96s -> 5947.78s]  That's cool
[5947.78s -> 5949.78s]  Can I dig through these?
[5949.78s -> 5952.02s]  Nice, this is awesome. All right. I like this one
[5952.74s -> 5956.52s]  Do I have a certain amount of ammo?
[5959.42s -> 5961.42s]  Oh, this reminds me of
[5962.04s -> 5969.78s]  Shubabrab
[5972.58s -> 5974.58s]  Yeah, the music is absolute dogshit you're right
[5975.45s -> 5979.19s]  This one's not bad though. Oh, wait a minute. This has got weird
[5981.67s -> 5983.85s]  um
[5983.85s -> 5985.37s]  Oh, no, I don't
[5985.37s -> 5988.04s]  This has got it complicated. I don't I does it
[5988.84s -> 5993.10s]  because it moves it
[5993.10s -> 5994.62s]  up or down or
[5994.62s -> 6017.70s]  405 405 is
[6019.20s -> 6030.81s]  Seaport guarl seaport guarl seaport guarl. What is guarl?
[6031.93s -> 6033.13s]  guarl
[6033.13s -> 6036.68s]  That's not supposed to be war right seaport war
[6037.24s -> 6047.83s]  Seaport guarl guarl. This one looks like it could be kind of fun support guard. That makes sense
[6052.18s -> 6054.18s]  Oh this sucks
[6055.62s -> 6057.62s]  This is awful
[6057.94s -> 6062.42s]  Space invaders, but way slower way more clunky and not fun at all
[6079.74s -> 6087.74s]  It's so bad, I can't even tolerate that for more than one second 5 26. I can't even tolerate it
[6088.70s -> 6103.00s]  Load runner. All right, this will be interesting load runner load runner. Let's go stage one. It's bomber man
[6107.46s -> 6114.12s]  Wait what?
[6121.18s -> 6123.18s]  It's burger time
[6123.18s -> 6127.58s]  It's burger time and mario original donkey kong
[6129.45s -> 6131.45s]  Can I do is there a jump?
[6133.14s -> 6135.14s]  Wait, what do I do? Wait?
[6140.02s -> 6141.86s]  I have to trap them
[6141.86s -> 6152.46s]  Okay, i'm gonna try
[6152.46s -> 6154.46s]  But what does the sand do?
[6154.46s -> 6156.46s]  I was looking the other direction dude
[6156.78s -> 6158.70s]  All right bury this guy
[6158.70s -> 6163.26s]  Yeah, bury what i'm looking the other way. I don't honestly you see what i'm doing. I was looking to the right and I
[6163.82s -> 6165.82s]  Moved my cursor. What was that?
[6170.18s -> 6172.66s]  He dug to the left when I was facing to the right
[6173.75s -> 6177.59s]  I'm going this way. Fuck it. Can I pick this up? Okay, I think you can pick the gold up
[6178.55s -> 6180.15s]  Check this shit out ready
[6180.15s -> 6182.15s]  Yeah, get out of here fucking dead
[6194.07s -> 6196.07s]  digs depending on the button you press
[6197.67s -> 6199.67s]  Oh, okay, that makes some sense
[6200.07s -> 6204.87s]  got the gold
[6205.99s -> 6207.99s]  Didn't spelunky based on this
[6208.95s -> 6210.95s]  I need to pick up like a bunch of gold bars and then leave
[6213.86s -> 6215.86s]  He can't do that. Okay. He can
[6221.98s -> 6223.16s]  what
[6223.16s -> 6225.16s]  Excuse me. Excuse me
[6225.90s -> 6227.90s]  How are you climbing out of that?
[6227.98s -> 6235.27s]  Excuse me. I'm not done. Hold on. I have to fill it in
[6236.31s -> 6240.41s]  Didn't I do that?
[6240.41s -> 6242.65s]  You can walk on their heads
[6244.74s -> 6248.49s]  I need to see what the fuck's going on here. Hold on come here
[6250.33s -> 6252.33s]  And fill it in and kill him
[6253.69s -> 6256.55s]  Uh
[6256.63s -> 6264.46s]  Die my fucking god just get out 475
[6270.97s -> 6272.57s]  475 is
[6272.57s -> 6278.22s]  sky kid
[6278.22s -> 6281.10s]  baron sky kid
[6281.26s -> 6289.78s]  Baron or baron and max let's do baron first mission one bomb the target. This is very bright
[6290.18s -> 6305.43s]  This is like this is very childlike for me like shooting at a bunch of like people
[6306.47s -> 6308.47s]  Am I like a little kid?
[6309.11s -> 6323.74s]  There's a dodge
[6323.74s -> 6325.18s]  Let's go
[6325.18s -> 6327.06s]  No wrong button
[6327.06s -> 6330.58s]  There's a dodge. I think there's iframes on that I could be wrong, but I think there is
[6332.98s -> 6336.82s]  I have to bomb the target and hopefully I get there good at a fast enough time. Is it a bomb?
[6337.94s -> 6339.94s]  Oh, I do I have the bomb
[6339.94s -> 6341.58s]  oops
[6341.66s -> 6351.40s]  What the fuck like ladies dancing
[6358.81s -> 6371.11s]  Was that the target was that the mansion with the mounted guns on it, okay, give me the bomb
[6394.33s -> 6410.47s]  I know it hurts my eyes, too. I promise god damn it. They're gonna come back now
[6412.22s -> 6419.13s]  Come on family computer system. All right, don't I got it. Okay, i'm gonna drop the bomb on it
[6420.02s -> 6422.66s]  I'm ready target ready target acquired here it comes
[6423.38s -> 6425.75s]  What is this? Okay, here we go drop drop
[6432.57s -> 6447.10s]  It's not it. I like this one. Actually, if it wasn't so bright and horrible on the eyes, I would actually like this
[6452.07s -> 6454.07s]  Oh fuck. I missed the bomb. Whatever
[6454.55s -> 6463.48s]  Okay, just dodge
[6463.48s -> 6469.24s]  Fuck. Oh god, you can't it's impossible. It's impossible
[6475.32s -> 6477.62s]  baron and max
[6477.62s -> 6479.62s]  Let's go. It's two people
[6486.49s -> 6490.49s]  He didn't make it off the runway didn't even make it off the runway max
[6492.07s -> 6494.07s]  Well, I still gotta do the mission man
[6495.10s -> 6497.10s]  I I still we have a contract here
[6503.59s -> 6506.55s]  Oh my fucking god, what just happened? What i'm still alive
[6507.27s -> 6511.94s]  What happened land here?
[6512.82s -> 6524.26s]  I did it. Let's go
[6527.16s -> 6530.18s]  Good start max. I'm really glad that
[6530.90s -> 6533.98s]  I'm really glad you came along
[6543.75s -> 6546.07s]  The absolute just double cross
[6549.30s -> 6557.48s]  I want to play this another one one more time. I don't get max anymore. He's gone
[6557.88s -> 6562.71s]  Oh
[6562.71s -> 6566.71s]  Jesus christ, that's impossible. It's too hard. It's a fun one, but that's
[6567.51s -> 6577.48s]  You move so slow. All right. What's next 415 go backwards. It'll be faster
[6579.00s -> 6581.74s]  four one five is
[6583.05s -> 6589.21s]  Holy shit, dude. This one is not just warfare. Not just a great war not just constant war the
[6590.07s -> 6595.34s]  utmost warfare there's no other warfare that will be more
[6595.90s -> 6599.82s]  Uh, that'll be higher than this that'll be more dangerous and and this is the size this is the top
[6599.82s -> 6603.48s]  This is high as you can go in war
[6603.48s -> 6607.72s]  And they've already got planets and shit. So we're talking planetary level of destruction
[6617.48s -> 6619.45s]  I don't know what i'm hitting
[6619.45s -> 6625.90s]  There's so many particles on the screen. I don't know which one is an enemy which is part of the background
[6626.94s -> 6635.93s]  Okay, I think I understand
[6635.93s -> 6640.63s]  Remember the asterisk
[6640.63s -> 6644.09s]  Oh double triple spreader
[6655.70s -> 6659.94s]  And you have so much screen real estate that you're only going to use the middle part of the screen and down
[6660.90s -> 6665.54s]  You really had to have that big planet the big marble in the background had to take up the entire third of the screen
[6666.58s -> 6669.86s]  Because they weren't spawning in the middle. This would be a lot easier and way more fun
[6670.02s -> 6672.98s]  And I don't know what's coming at us. Something is coming towards us
[6673.70s -> 6683.64s]  I feel like i'm watching
[6683.64s -> 6686.68s]  When somebody uploads an entire television show to youtube
[6687.88s -> 6692.04s]  And they put it in a square in the middle of the screen and they surround it with a bunch of other bullshit
[6693.16s -> 6696.82s]  It's like dude, that's like you think it's gonna help
[6711.45s -> 6715.13s]  Oh, there's no never be a war that will be more than this
[6715.93s -> 6729.66s]  I've had enough. What's next?
[6729.72s -> 6734.78s]  357
[6734.78s -> 6738.71s]  Boot cat. I got a good feeling about boot cat boot cat
[6740.20s -> 6743.48s]  Oh, it's just that's a cat inside of a boot. This couldn't get any more fun
[6745.78s -> 6748.54s]  scene one england
[6748.54s -> 6750.54s]  Uh, that's not where england is
[6752.49s -> 6754.49s]  That was uh, that was california
[6766.10s -> 6769.13s]  Is it cat boy boot cat
[6769.77s -> 6777.45s]  What's going on with these other cats?
[6778.01s -> 6781.22s]  Oh boy
[6781.22s -> 6785.66s]  uh
[6785.66s -> 6787.66s]  You have to start it just stands still to shoot
[6791.58s -> 6795.03s]  Uh, it's like four seconds left. What?
[6795.83s -> 6799.88s]  Why is the timer counting up instead of down? That's kind of weird, right?
[6800.92s -> 6802.92s]  Why is it a 14 seconds?
[6808.42s -> 6812.47s]  Uh, this is a real game. What do they make this up?
[6817.72s -> 6822.20s]  Is that the time of day? Is that gonna reset at zero? Let's see. Yeah, that's the time of day
[6822.52s -> 6824.52s]  That's what time it is right now
[6824.60s -> 6829.96s]  They decided to add a full cycling block
[6834.73s -> 6835.77s]  Why?
[6835.77s -> 6843.82s]  Honey, I can't shoot
[6843.98s -> 6847.02s]  There's a giant shark under there and i'm can barely concern
[6847.66s -> 6849.66s]  Oh my eyes
[6850.58s -> 6852.02s]  Why?
[6852.02s -> 6856.74s]  What is the point? Why would you put this in the game? What are you doing? Why would you do this?
[6860.04s -> 6862.04s]  Oh my god, the sun just exploded
[6862.68s -> 6872.46s]  This is a long level one, by the way, it just doesn't stop
[6873.26s -> 6877.91s]  We could have done mario
[6877.99s -> 6879.90s]  one one
[6879.90s -> 6882.20s]  10 times by now
[6882.20s -> 6884.20s]  It never ends dragon
[6893.34s -> 6896.14s]  Okay, let's go to the atlantic, uh ocean
[6897.74s -> 6899.74s]  Cool. All right. I'm beating this whole game. Let's go
[6902.74s -> 6904.74s]  It's even doing the mario song
[6905.48s -> 6908.92s]  The urine the water level. Oh, I love it boot cat is perfect
[6914.84s -> 6916.84s]  Is that wait that's supposed to be water?
[6919.03s -> 6923.59s]  What wait why is the water go into like a mountain
[6931.13s -> 6932.41s]  Get out of here
[6932.41s -> 6934.41s]  What is this? Can I go in this?
[6938.46s -> 6940.54s]  How many different paint tools are you going to use?
[6941.18s -> 6944.94s]  You can't just change the thickness of the pen halfway through your ms paint
[6945.58s -> 6947.58s]  Drawing you can't do that
[6947.58s -> 6949.58s]  But what happened to the consistency?
[6951.27s -> 6952.63s]  Well, okay
[6952.63s -> 6959.10s]  I can't wait to see yeah. Here's another water mountain
[6967.58s -> 6969.58s]  This lightning now coming down from the sky
[6969.66s -> 6975.75s]  I think these are supposed to be waves if oh really
[6978.68s -> 6995.06s]  What the fuck is that thing what just stole me something just came and took me it was a rat or a mouse or something. Yeah
[7002.62s -> 7008.34s]  It's the best one so far bootcats the best. It's just
[7009.61s -> 7011.61s]  It's I love it. It's so good
[7012.09s -> 7017.90s]  Almost got hit by that shit
[7017.90s -> 7020.56s]  I have to do well enough to beat this level because I need to see what's next
[7037.27s -> 7039.27s]  All right, watch out here comes the lightning
