[22.33s -> 23.67s]  Somebody said,
[2453.00s -> 2455.56s]  Pigs? Horses? Sheep?
[2455.56s -> 2465.48s]  They have different personalities.
[2465.48s -> 2473.04s]  Alright, if I have like
[2473.04s -> 2475.04s]  three alpacas, four cows,
[2475.04s -> 2477.60s]  and like two goats,
[2477.60s -> 2479.60s]  the neighborhood is going to...
[2479.60s -> 2485.93s]  Oh my god. Okay, we're good.
[2485.93s -> 2488.30s]  Okay, we need a spot for you.
[2488.30s -> 2490.91s]  This is not big enough. You need a way
[2490.91s -> 2493.85s]  bigger space than this. No, fuck my
[2493.85s -> 2495.85s]  bed. I don't care. We'll get...
[2495.85s -> 2498.60s]  You need more room. No, fuck this.
[2498.60s -> 2504.73s]  Loud incoming. Oh, I can't...
[2504.73s -> 2532.24s]  Hold on. 500 bucks?
[2532.24s -> 2539.72s]  How do I... It's $3,000.
[2539.72s -> 2541.72s]  I'm working on it. I'm trying.
[2541.72s -> 2551.37s]  Hold on, you gotta get out of the way.
[2551.37s -> 2559.31s]  You can't go this way. You have to wait.
[2559.31s -> 2561.31s]  This is like wet concrete. Watch out.
[2576.89s -> 2581.63s]  I got a new skill. Design interior
[2581.63s -> 2584.76s]  walls, yes. Okay.
[2584.76s -> 2589.10s]  Building modification.
[2589.10s -> 2591.28s]  Oh, that is so cute.
[2591.28s -> 2596.01s]  Alright, come on out. Edit inner...
[2596.01s -> 2598.57s]  Select two... Press and select
[2598.57s -> 2600.57s]  two points to edit inner walls.
[2600.57s -> 2610.35s]  Points? I guess that...
[2610.35s -> 2615.15s]  How do I... Because I can move the edges,
[2615.15s -> 2617.58s]  but how do I carve off internal...
[2617.58s -> 2626.01s]  I guess. Alright, well we're both in here now.
[2626.01s -> 2635.10s]  Click and drag. I tried that. It didn't work.
[2635.10s -> 2645.84s]  I can't break it. Okay. Building
[2645.84s -> 2651.79s]  modification. Okay, now...
[2651.79s -> 2654.22s]  So I want to do this. Ah, alright.
[2654.22s -> 2656.22s]  There we go. Okay, okay. I get it.
[2656.22s -> 2661.45s]  This is the... This is where you can come in.
[2661.45s -> 2664.52s]  And you'll have a little spot.
[2664.52s -> 2669.63s]  Alright, good. Let's make a door.
[2669.63s -> 2678.52s]  Alright, this is going to be...
[2678.52s -> 2682.49s]  I need a door. Yeah, like a garage door.
[2682.49s -> 2702.12s]  Got to be big enough. You're okay?
[2702.12s -> 2708.84s]  It's like a car
[2708.84s -> 2710.84s]  garage. I know, but it'll...
[2710.84s -> 2713.79s]  You put a cow
[2713.79s -> 2715.79s]  in your garage. Dude, just wait.
[2715.79s -> 2718.35s]  Rome wasn't built in a day.
[2718.35s -> 2731.45s]  Took Rome at least a few months.
[2731.45s -> 2735.48s]  Alright, what else do you need as an animal?
[2735.48s -> 2737.98s]  Pantry? Animal products.
[2737.98s -> 2743.23s]  Everything. Okay, what do
[2743.23s -> 2747.37s]  cows eat? Hey, right?
[2747.37s -> 2768.56s]  Cows eat carrots? Cows eat carrots?
[2768.56s -> 2780.96s]  It is Otto.
[2780.96s -> 2782.96s]  In case you get hungry, there's a carrot snack
[2782.96s -> 2786.59s]  right there. This needs to be much bigger.
[2786.59s -> 2788.59s]  It's going to be way more comfortable than this.
[2788.59s -> 2790.59s]  Yeah, this is not... I don't like it
[2790.59s -> 2815.68s]  either. Uh-uh. Alright,
[2815.68s -> 2824.24s]  that's better. Okay, E.
[2824.24s -> 2831.21s]  E. I need like barn outdoor.
[2831.21s -> 2838.62s]  Okay, walls.
[2838.62s -> 2841.95s]  Wall panels, right?
[2841.95s -> 2844.12s]  It needs to be kind of like
[2844.12s -> 2860.36s]  like a barn. Like this?
[2860.36s -> 2867.20s]  Like wood? Like one of these? These
[2867.20s -> 2871.92s]  look okay. That'll be nice. Like red.
[2871.92s -> 2882.60s]  It's going to take a lot to do this because
[2882.60s -> 2897.00s]  my skill point is literally zero. Change
[2897.00s -> 2903.08s]  size? Oh, I can't. You need
[2903.08s -> 2920.17s]  one acre per cow.
[2920.17s -> 2938.60s]  I want to open windows and stuff. No,
[2938.60s -> 2940.60s]  it's not going to be a concrete room.
[2940.60s -> 2942.60s]  I have to finish the inside
[2942.60s -> 2946.57s]  first. No, you know what? I need to do my
[2946.57s -> 2952.65s]  missions, first of all. I've...
[2952.65s -> 2960.06s]  What? How?
[2960.06s -> 2966.08s]  What? Oh my goodness. This milk?
[2966.08s -> 2980.35s]  Alright, I... Hey.
[2980.35s -> 2982.35s]  Um, I wasn't ready.
[2982.35s -> 2987.45s]  Needs. No needs right now.
[2987.45s -> 2998.08s]  Alright, I need to put like hay down or something.
[2998.08s -> 3007.48s]  No shot the HOA will allow this.
[3007.48s -> 3013.23s]  Is this shit? There's no way.
[3013.23s -> 3033.63s]  Alright. Okay, I need to...
[3033.63s -> 3035.63s]  I'm going to move you to the animal hotel.
[3035.63s -> 3040.49s]  I can't take care of a cow right now.
[3040.49s -> 3047.53s]  Look, I got all this shit to do.
[3047.53s -> 3049.53s]  Are you going to go to a farm where you can be
[3049.53s -> 3062.44s]  taking care of properly? Horses?
[3062.44s -> 3064.94s]  You sell? I didn't sell. I did not sell.
[3064.94s -> 3066.94s]  The cow went to the
[3066.94s -> 3068.94s]  um, like the animal, like
[3068.94s -> 3074.64s]  farm hotel thing. I think I can go back
[3074.64s -> 3077.39s]  and get that cow later.
[3108.20s -> 3114.54s]  Do I have to actually
[3114.54s -> 3118.38s]  get horses here?
[3118.38s -> 3120.38s]  How does this work?
[3128.59s -> 3141.00s]  How does this work?
[3141.00s -> 3164.67s]  Oh, okay.
[3164.67s -> 3166.67s]  Oh shit, it's going to roll into the...
[3166.67s -> 3168.67s]  Somebody's... Whoa! There it goes.
[3168.67s -> 3172.06s]  I actually just took out... That would have been bad.
[3172.06s -> 3180.49s]  Just...
[3180.49s -> 3184.52s]  Okay, wait. How many do you want me to take down?
[3184.52s -> 3186.52s]  Cut down tree... Oh, these...
[3186.52s -> 3196.76s]  Wait. Where are the... Where are the ones
[3196.76s -> 3200.99s]  you must cut down? Oh,
[3200.99s -> 3218.27s]  oops. Sorry about that. I want to try to use
[3218.27s -> 3225.37s]  the axe too. How does the axe work?
[3225.37s -> 3227.37s]  No, we just only use chainsaw.
[3227.37s -> 3232.75s]  Alright, put this down. Alright, lay foundation.
[3232.75s -> 3234.75s]  So you want me to put down a foundation
[3234.75s -> 3237.56s]  here. I need to build
[3237.56s -> 3241.15s]  a stable. Okay.
[3241.15s -> 3265.71s]  Let's go.
[3265.71s -> 3274.54s]  Alright, done? Cool. So now...
[3274.54s -> 3280.11s]  Oh, I'm so glad there's a guide.
[3280.11s -> 3283.12s]  Alright, so now we need to make a stable.
[3283.12s -> 3286.76s]  Knee, knee horse
[3286.76s -> 3294.25s]  box gate. You want the gray
[3294.25s -> 3301.42s]  tile? Okay. Do this first.
[3301.42s -> 3315.10s]  You should do this IRL.
[3315.10s -> 3319.90s]  I just want to make sure you understand that.
[3319.90s -> 3325.52s]  Like, I don't...
[3325.52s -> 3329.16s]  I would probably get seriously injured.
[3329.16s -> 3331.79s]  You want me to build a house?
[3331.79s -> 3334.03s]  Like, build this?
[3334.03s -> 3343.10s]  Huh? Yeah.
[3343.10s -> 3358.38s]  Okay, that looks good.
[3358.38s -> 3360.38s]  Somebody said caveman. I could make some caveman
[3360.38s -> 3362.38s]  level stuff, but not like this.
[3362.38s -> 3364.38s]  You need skill training
[3364.38s -> 3370.68s]  and safety.
[3370.68s -> 3372.68s]  Okay, so I need to get this.
[3372.68s -> 3375.24s]  This interior has got to be way better
[3375.24s -> 3386.96s]  than this. Three of these?
[3386.96s -> 3401.21s]  Is that not counting it? Why is it only counting
[3401.21s -> 3419.20s]  one? I don't think I can make it perfect.
[3419.20s -> 3435.96s]  Zero out of four?
[3435.96s -> 3438.20s]  Wait, why did it...what?
[3438.20s -> 3444.46s]  Alright, this is not
[3444.46s -> 3455.28s]  a me problem. I can't
[3455.28s -> 3460.01s]  get it perfect. Put the pillars first.
[3460.01s -> 3476.51s]  Try that.
[3476.51s -> 3488.92s]  Alright, that counted.
[3488.92s -> 3490.92s]  Jeremy, your problem solving skills suck.
[3490.92s -> 3497.71s]  This was one out of four.
[3497.71s -> 3500.27s]  I picked it up and put it down in the same spot
[3500.27s -> 3502.89s]  and it went to zero out of four.
[3502.89s -> 3505.20s]  The instructions were incorrect.
[3505.20s -> 3527.77s]  There we go. That's a dad excuse.
[3527.77s -> 3530.91s]  The instructions
[3530.91s -> 3539.93s]  were not correct. It's really not
[3539.93s -> 3541.93s]  hard. No, it's not.
[3541.93s -> 3547.42s]  I just did it. It's
[3547.42s -> 3551.45s]  kind of finicky. How come I wasn't doing this
[3551.45s -> 3553.45s]  too...okay, so the pillars definitely had to be
[3553.45s -> 3555.45s]  here. Because it would not let me go
[3555.45s -> 3557.45s]  in this exact spot before.
[3557.45s -> 3559.45s]  Before it was like I could only place it like here.
[3559.45s -> 3572.76s]  Am I missing tiles somewhere?
[3572.76s -> 3586.89s]  Oh, come on. Okay.
[3586.89s -> 3593.55s]  So this thing is
[3593.55s -> 3599.29s]  for here.
[3599.29s -> 3601.72s]  Oh, that was a lag spike. Wait, what does it want this?
[3601.72s -> 3604.60s]  Half box wall.
[3604.60s -> 3627.95s]  Wait, let me do that first.
[3627.95s -> 3660.96s]  Oh, please. Change
[3660.96s -> 3662.96s]  the music. This is the music in the game.
[3662.96s -> 3667.63s]  And this thing goes hard.
[3667.63s -> 3675.12s]  I'm keeping it on. No, we can't replace
[3675.12s -> 3677.12s]  every soundtrack with Doom
[3677.12s -> 3697.34s]  OST. Alright, so these are the
[3697.34s -> 3702.08s]  windows. Horse mats.
[3702.08s -> 3731.36s]  Okay. Four of these, right? Okay.
[3731.36s -> 3738.52s]  So what now?
[3738.52s -> 3743.52s]  Two of these go here. No.
[3743.52s -> 3754.25s]  Smash. I'm starting to understand
[3754.25s -> 3762.56s]  it. I think I can make my own farm.
[3762.56s -> 3773.04s]  Looks pretty clean. Where's
[3773.04s -> 3777.00s]  the door? I'll worry about that later.
[3777.00s -> 3783.32s]  Look, there's a door. Oh, that's
[3783.32s -> 3785.32s]  not a door. That's a giant
[3785.32s -> 3787.32s]  window. Where is the door?
[3787.32s -> 3809.53s]  Wait, where's the door? I need a
[3809.53s -> 3813.69s]  door. Sliding gate.
[3813.69s -> 3825.90s]  Hey, we're good.
[3825.90s -> 3828.91s]  Now, ceiling lamp.
[3828.91s -> 3833.96s]  Empty shelf with horse care equipment.
[3833.96s -> 3843.23s]  I don't know, put it like right here. How many
[3843.23s -> 3860.25s]  horse feeders for? This looks like
[3860.25s -> 3865.05s]  my high school?
[3865.05s -> 3869.28s]  What?
[3869.28s -> 3876.57s]  What are you talking about? Are you
[3876.57s -> 3882.27s]  a horse?
[3882.27s -> 3884.27s]  This looks just like my high
[3884.27s -> 3896.04s]  school. Alright, that looks good.
[3896.04s -> 3906.78s]  I'm starting to get it. So
[3906.78s -> 3908.78s]  it's a Minecraft house. Somebody
[3908.78s -> 3910.78s]  came into this universe with the Minecraft tools.
[3910.78s -> 3917.24s]  My game got
[3917.24s -> 3919.80s]  hacked by some like Minecraft player.
[3919.80s -> 3921.80s]  And they're just building in my game.
[3921.80s -> 3935.36s]  Okay. So now
[3935.36s -> 3941.05s]  I want us to see the
[3941.05s -> 3943.05s]  just in case we get introduced into the
[3943.05s -> 3951.48s]  gameplay mechanic.
[3951.48s -> 3953.85s]  Um, I think I'm going to buy it.
[3953.85s -> 3958.01s]  I got money. Let's buy the new house.
[3958.01s -> 3961.20s]  Cabin in the woods.
[3961.20s -> 3963.20s]  A remote getaway in the heart of the mountains.
[3963.20s -> 3965.37s]  An easy sell. Just needs a little love to
[3965.37s -> 3967.37s]  become the site of a joyful family gathering
[3967.37s -> 3969.37s]  once again. Or anything else you'd like it to be.
[3969.37s -> 3979.02s]  I'm buying it. Let's check it out.
[3979.02s -> 3983.31s]  This is the new house in the update.
[3983.31s -> 4000.76s]  This place is very dirty. Garden
[4000.76s -> 4003.20s]  con- oh, that's right. Alright.
[4003.20s -> 4007.53s]  It's time for the game to begin. What do I
[4007.53s -> 4010.41s]  got for- ooh. What do I got for
[4010.41s -> 4014.57s]  space in this lot? First thing is first.
[4014.57s -> 4021.79s]  Yeah, we'll change the music. Yeah.
[4021.79s -> 4024.86s]  I didn't want to hear it another time. Uh.
[4024.86s -> 4026.86s]  Hey, how's Doom
[4026.86s -> 4033.12s]  OST sound?
[4033.12s -> 4042.52s]  No, something else. Something else.
[4042.52s -> 4051.66s]  Something else. Ooh, it's raining.
[4051.66s -> 4053.66s]  Ooh, this is going to be so fucking
[4053.66s -> 4058.91s]  relaxing. I can't wait.
[4058.91s -> 4061.85s]  Stardew Valley music? That's not a bad
[4061.85s -> 4066.72s]  thing to put on. Stardew
[4066.72s -> 4071.00s]  OST. Yeah, it's like just
[4071.00s -> 4081.12s]  so, it's just so nice.
[4081.12s -> 4088.99s]  How's that? Good? I want to be
[4088.99s -> 4099.42s]  nice and in the background.
[4099.42s -> 4107.04s]  Okay. I'm going to plant my own trees,
[4107.04s -> 4111.71s]  I think. Can you?
[4111.71s -> 4114.46s]  Alright. Well, that's fine. First,
[4114.46s -> 4116.46s]  most important thing, we've
[4116.46s -> 4118.46s]  got to clean this up. This
[4118.46s -> 4120.46s]  yaw has got to be a grass
[4120.46s -> 4133.13s]  cut.
[4133.13s -> 4135.50s]  Stardew music
[4135.50s -> 4137.50s]  in the background.
[4137.50s -> 4142.94s]  I feel like I'm going to mess something up if I do it that
[4142.94s -> 4156.70s]  way. I'm going to turn these sounds down
[4156.70s -> 4167.96s]  just a little bit. Lawn mowing
[4167.96s -> 4169.96s]  simulator. Oh, I still want to change the auto
[4169.96s -> 4175.00s]  saving. How do I do that?
[4175.00s -> 4177.00s]  Click save. Three minutes. Yeah.
[4177.00s -> 4179.00s]  Like 30, 15
[4179.00s -> 4182.46s]  is good. Every three minutes
[4182.46s -> 4191.28s]  is a lot. Okay, here we go.
[4191.28s -> 4193.28s]  Ah, this is what I'm talking about.
[4193.28s -> 4200.00s]  This way we can get
[4200.00s -> 4203.90s]  rid of all the weeds. I should get some upgrades
[4203.90s -> 4211.71s]  for doing this. You like firehouse
[4211.71s -> 4215.40s]  subs? Yeah. Firehouse
[4215.40s -> 4217.40s]  is good. I've had it a few times before.
[4217.40s -> 4233.77s]  Let me move this back here.
[4233.77s -> 4236.52s]  I got a big lot. It's going to take me a minute.
[4236.52s -> 4243.16s]  Look at those mountains. It already looks
[4243.16s -> 4257.95s]  10 times better. Okay.
[4257.95s -> 4274.51s]  It's burnt? It is burnt.
[4274.51s -> 4277.71s]  Oh, no.
[4277.71s -> 4282.51s]  Yeah, it is burnt. Can I restart?
[4282.51s -> 4290.38s]  Yeah, it's all burnt up. Will that get
[4290.38s -> 4292.38s]  fixed, I think? I can plant some stuff there.
[4292.38s -> 4296.14s]  I'll make that. We'll turn
[4296.14s -> 4298.14s]  that into like some kind of pen or something.
[4298.14s -> 4309.58s]  Yeah, what does it replant? It's fine.
[4309.58s -> 4311.58s]  Can you make a koi pond?
[4311.58s -> 4321.76s]  Try. Where are the pigs? Hurry up and
[4321.76s -> 4326.16s]  spawn them in. Patience.
[4326.16s -> 4329.42s]  Yeah, usually I'm the one without the patience.
[4329.42s -> 4331.42s]  We need to prepare our pen.
[4331.42s -> 4334.43s]  We can make sure our animals are taken very good
[4334.43s -> 4343.26s]  care of. All right, that's good enough
[4343.26s -> 4345.95s]  enough. I want to see the- what's the damage
[4345.95s -> 4354.46s]  in the interior?
[4354.46s -> 4371.40s]  Oof. Oh, dear.
[4371.40s -> 4380.99s]  Oh, boy. All right, we're working
[4380.99s -> 4383.29s]  from top- we're working
[4383.29s -> 4401.72s]  top down. Looks good.
[4401.72s -> 4403.72s]  What is all this? Oh, no. Get rid of this.
[4403.72s -> 4416.65s]  Now, what if all the animals
[4416.65s -> 4418.65s]  lived in the house and I lived in the barn?
[4418.65s -> 4434.57s]  Like, they live in the house.
[4434.57s -> 4436.57s]  That's just an 80s comedy.
[4436.57s -> 4444.04s]  Yeah, that's all right. Yeah, I want
[4444.04s -> 4446.04s]  I want the pig to have an office.
[4446.04s -> 4458.12s]  What's going on with this thing?
[4458.12s -> 4463.29s]  Junk. Get rid of it. Junk. Junk.
[4463.29s -> 4473.90s]  This one's pretty good. It's kind
[4473.90s -> 4481.58s]  of dreary in here. Whose room is this
[4481.58s -> 4486.12s]  going to be? By the way, we can get
[4486.12s -> 4490.41s]  Whose room is this going to be? Should be the pig's
[4490.41s -> 4492.84s]  room? Who would want a good view like this?
[4492.84s -> 4498.65s]  A goat? All right, so this is going to be a goat
[4498.65s -> 4511.18s]  room. What do you think we'll paint?
[4511.18s -> 4516.94s]  Let's start from the bottom. Floor. Carpet?
[4516.94s -> 4532.99s]  Can we put grass up here? It kind of looks like
[4532.99s -> 4541.48s]  grass. Nah.
[4541.48s -> 4545.76s]  Farming. Whoa!
[4545.76s -> 4558.28s]  It really is Stardew.
[4558.28s -> 4560.28s]  All right, where do I want my, what am I growing?
[4560.28s -> 4564.62s]  Right here. All right, I want to make
[4564.62s -> 4566.80s]  a bunch of sunflowers.
[4566.80s -> 4569.68s]  So I need to, what was it? It was a
[4569.68s -> 4580.60s]  certain tool, right? Yep, here it is.
[4580.60s -> 4583.16s]  Corn's going to go here. No, sunflower will go
[4583.16s -> 4610.49s]  here. Make a corn maze.
[4610.49s -> 4614.65s]  All right, I'll do that in the backyard.
[4614.65s -> 4623.93s]  That's a good idea. I like that. Yeah,
[4623.93s -> 4625.93s]  I'll make like a tower defense
[4625.93s -> 4627.93s]  pathing thing over there.
[4627.93s -> 4631.52s]  You have to walk through and then go
[4631.52s -> 4633.52s]  this way and then there's a huge tower defense maze.
[4633.52s -> 4640.54s]  But first of all, sunflower seeds.
[4640.54s -> 4643.23s]  So where do I put them?
[4643.23s -> 4646.92s]  Is that it? Do I have to water them too?
[4646.92s -> 4658.70s]  Plants versus zombies map?
[4658.70s -> 4661.64s]  Yeah, I could do two rows of sunflowers
[4661.64s -> 4664.65s]  and then just, that's a good idea too.
[4664.65s -> 4676.11s]  All right, so if that's the sunflowers
[4676.11s -> 4678.80s]  then what would go right in front of it?
[4678.80s -> 4683.72s]  Pumpkins, carrots.
[4683.72s -> 4687.82s]  I think this is it. We've got tomatoes,
[4687.82s -> 4690.43s]  pumpkins, potatoes, corn
[4690.43s -> 4697.08s]  and carrots. Tomatoes, right?
[4697.08s -> 4700.80s]  Corn makes, we're doing a plants versus zombies
[4700.80s -> 4708.16s]  thing. This is in the game. What just happened?
[4708.16s -> 4725.55s]  Did I just plant corn here? Okay.
[4725.55s -> 4732.12s]  Let's have it come out a little bit further.
[4732.12s -> 4734.12s]  I also have to put a bunch of bad placement
[4734.12s -> 4736.12s]  because when I played plants versus zombies it was terrible
[4736.12s -> 4738.62s]  placement so we're going to have like two or three
[4738.62s -> 4740.62s]  pumpkins and then two or three corns and then
[4740.62s -> 4754.25s]  yeah, we'll make sure it's accurate. What happens
[4754.25s -> 4756.68s]  if you torch it all? Then it all goes away?
[4756.68s -> 4765.52s]  I don't want to do that. Got one row corn,
[4765.52s -> 4768.01s]  two rows sunflowers.
[4768.01s -> 4771.21s]  Does anything look like a walnut? Probably
[4771.21s -> 4777.87s]  the pumpkin I would imagine.
[4777.87s -> 4779.87s]  There's a zombie
[4779.87s -> 4781.87s]  in my lawn.
[4781.87s -> 4783.87s]  There's a zombie.
[4783.87s -> 4808.43s]  Walnut, walnut down here
[4808.43s -> 4812.08s]  and then we'll put
[4812.08s -> 4815.28s]  a couple more
[4815.28s -> 4819.95s]  we'll do a couple more corns like just kind of scattered
[4819.95s -> 4821.95s]  in a row like right here.
[4821.95s -> 4847.98s]  We'll see how that turns out. I just want
[4847.98s -> 4855.15s]  to see what it did.
[4855.15s -> 4857.15s]  We're thinking way too, hold on
[4857.15s -> 4877.95s]  I need to water this stuff. Maybe you don't.
[4877.95s -> 4883.00s]  Hey, it's a process.
[4883.00s -> 4886.59s]  We didn't get right to the
[4886.59s -> 4888.59s]  Best Buy. We didn't get right to
[4888.59s -> 4891.08s]  the mall a few years
[4891.08s -> 4895.05s]  ago. The process is we get
[4895.05s -> 4897.05s]  we will
[4897.05s -> 4899.05s]  we, we, we
[4899.05s -> 4912.43s]  I want all new stuff.
[4912.43s -> 4917.16s]  Now you bet your ass there's going to be a
[4917.16s -> 4919.16s]  like four by foot
[4919.16s -> 4921.16s]  four by five whatever foot
[4921.16s -> 4924.17s]  square footed, square pool.
[4924.17s -> 4935.56s]  I want a square pool.
[4935.56s -> 4937.56s]  I don't know is it five by five? Is it
[4937.56s -> 4945.31s]  eight by eight? How big is it?
[4945.31s -> 4961.24s]  Wait, getting ahead of myself. Four by five
[4961.24s -> 4965.92s]  is fine for you. Permanently ban that
[4965.92s -> 4968.35s]  person for an hour and then reduce
[4968.35s -> 4972.06s]  their sentence by 55 minutes and leave
[4972.06s -> 4977.44s]  them a stern message. All right, let's start
[4977.44s -> 4979.44s]  with doing one room at a time and
[4979.44s -> 4982.25s]  let me tell you I don't like that at all.
[4982.25s -> 4985.13s]  I don't like that at all and I don't like that
[4985.13s -> 4988.40s]  light. So if this was if I'm coming up the
[4988.40s -> 4991.21s]  stairs here I would probably say this
[4991.21s -> 4994.09s]  is a
[4994.09s -> 4996.65s]  could be like an office or something or could be
[4996.65s -> 5005.04s]  a bedroom. Floor is important. What do I want
[5005.04s -> 5010.41s]  on the floor up here? There are beehives.
[5010.41s -> 5035.10s]  Do I have to do anything with them?
[5035.10s -> 5037.10s]  Is there any like special interactions?
[5037.10s -> 5039.66s]  This might just be aesthetic.
[5039.66s -> 5041.66s]  I don't think it actually does anything.
[5041.66s -> 5060.52s]  Okay, one thing at a time. Let's go
[5060.52s -> 5062.52s]  to floors.
[5062.52s -> 5067.77s]  We'll just do wood. Doesn't matter.
[5067.77s -> 5075.07s]  I don't like wood floors though.
[5075.07s -> 5081.00s]  I really don't. Too much to upkeep.
[5081.00s -> 5083.69s]  You can fuck them up. You can scratch them up.
[5083.69s -> 5098.48s]  I don't like it. Green tiles are fine.
[5098.48s -> 5104.24s]  I don't mind this.
[5104.24s -> 5115.47s]  What does this look like? It's not a farmhouse
[5115.47s -> 5118.09s]  without wood. That's true.
[5118.09s -> 5132.80s]  I need some light in here. Something really basic.
[5132.80s -> 5144.41s]  Eater. There it is.
[5144.41s -> 5148.25s]  No, there it is. That's the exact
[5148.25s -> 5152.09s]  one that I want. Yeah, that is
[5152.09s -> 5155.10s]  exactly the one.
[5155.10s -> 5161.44s]  And I want this shit to be teal.
[5161.44s -> 5167.88s]  Yup. There it is.
[5167.88s -> 5177.15s]  Oh my goodness. Yes.
[5177.15s -> 5183.80s]  Where can I put this? I don't care
[5183.80s -> 5185.80s]  if my whole house looks like this.
[5185.80s -> 5187.80s]  As long as I got my square pool.
[5187.80s -> 5192.73s]  That's all I care about. Does it have to be
[5192.73s -> 5202.14s]  in the yard? I think it has to be outside.
[5202.14s -> 5212.88s]  Not enough room. It's not enough
[5212.88s -> 5222.03s]  room. Yeah, it said it. How come I can't
[5222.03s -> 5227.98s]  put it in there? There's plenty of room.
[5227.98s -> 5234.94s]  Look at all the room right here. How come I can't
[5234.94s -> 5239.80s]  It doesn't have to go up against a wall.
[5239.80s -> 5245.18s]  There's plenty of space here. Because it's on
[5245.18s -> 5247.18s]  the second floor. So, what? I can't
[5247.18s -> 5250.96s]  have a second floor square pool? Bullshit.
[5250.96s -> 5276.60s]  Let's pick all this up. I might just
[5276.60s -> 5279.42s]  put it in the kitchen. Wait a minute. This is not even my house.
[5279.42s -> 5286.27s]  We're doing the
[5286.27s -> 5288.27s]  switching. We're switching around here. The animals
[5288.27s -> 5309.13s]  are gonna live in here. We just gotta clear everything first.
[5309.13s -> 5311.82s]  Get a good look at exactly how
[5311.82s -> 5326.59s]  the whole thing is set up. Okay.
[5326.59s -> 5340.27s]  Clean up. I do work at a hotel
[5340.27s -> 5344.94s]  and the pool is on the 10th floor.
[5344.94s -> 5350.12s]  Yeah, that's also a hotel though. Alright.
[5350.12s -> 5353.13s]  Now, just clean up first.
[5353.13s -> 5355.95s]  I keep getting distracted and that's
[5355.95s -> 5367.84s]  gonna stop. Just clean up. I can't wait to see the
[5367.84s -> 5370.46s]  before and after after this one. It's gonna be so awesome.
[5370.46s -> 5389.18s]  Open. What's in there? This place
[5389.18s -> 5396.16s]  is kind of like gross.
[5396.16s -> 5407.87s]  I aired out a little. I want some more cleaning points.
[5407.87s -> 5411.82s]  This map is kind of low
[5411.82s -> 5423.00s]  on the list here. Where's this
[5423.00s -> 5431.18s]  dirt? See the minimap? Oh, right there.
[5431.18s -> 5442.16s]  Clean. On to the next room.
[5442.16s -> 5444.16s]  Beetle update? I have not gotten them yet.
[5444.16s -> 5452.52s]  I do want to get them. That's probably
[5452.52s -> 5455.60s]  a summer thing. I don't
[5455.60s -> 5458.72s]  think death feigning
[5458.72s -> 5461.60s]  blue death feigning beetles, I believe.
[5461.60s -> 5465.98s]  That's more soon
[5465.98s -> 5483.20s]  than it is the cold months. You think you'd still be
[5483.20s -> 5485.20s]  the house flipper guy if you weren't
[5485.20s -> 5488.59s]  me? Well, I don't know. I
[5488.59s -> 5492.35s]  wouldn't be me. So, I don't know.
[5492.35s -> 5506.43s]  Probably not. Have you seen the new Zelda trailer?
[5506.43s -> 5508.43s]  No, I'm not allowed to see the new Zelda
[5508.43s -> 5530.32s]  trailer until I finish my homework. Yeah, I need to finish
[5530.32s -> 5535.69s]  Breath of the Wild. There might be spoilers in there.
[5535.69s -> 5542.67s]  Alright, have we done all the interior rooms besides
[5542.67s -> 5554.96s]  the hallway? On the bottom floor at least.
[5554.96s -> 5558.99s]  You are never gonna finish Breath of
[5558.99s -> 5565.63s]  the Wild. How can you be so sure? I gotta pick up
[5565.63s -> 5567.63s]  individual playing cards.
[5567.63s -> 5582.01s]  Ugh. Take out the flame? You can't use a
[5582.01s -> 5594.62s]  flamethrower. Oh, wait, you can. Well,
[5594.62s -> 5609.72s]  I feel like the guy in the neighborhood that is going
[5609.72s -> 5614.08s]  way too far on Halloween. No, no.
[5614.08s -> 5616.08s]  You don't understand. Every window has to
[5616.08s -> 5618.08s]  have demon fire come out of it.
[5618.08s -> 5629.15s]  Every ten minutes. It's gotta
[5629.15s -> 5635.61s]  be on a fifteen minute timer. Well,
[5635.61s -> 5642.84s]  that was much easier. I kinda feel
[5642.84s -> 5646.62s]  bad that I can... I feel like this is
[5646.62s -> 5651.72s]  cheating. I'm cheating right now. This is
[5651.72s -> 5678.27s]  cheating. Where is this spot? How
[5678.27s -> 5689.98s]  have I not cleaned it yet? Where is it? I have
[5689.98s -> 5694.72s]  no idea where this is. It's apparently in here.
[5694.72s -> 5722.08s]  I don't think it's outside. Where is it?
[5722.08s -> 5724.08s]  It's a mug on the floor.
[5724.08s -> 5733.48s]  I think that's plumbing. Yeah, that's just plumbing
[5733.48s -> 5737.32s]  for the toilet. But I don't know if this is gonna be the bathroom
[5737.32s -> 5742.83s]  so I don't know. Maybe it's not. Maybe it's
[5742.83s -> 5756.96s]  over here. Really? Upstairs?
[5756.96s -> 5777.05s]  Where do you hide your weed stash?
[5777.05s -> 5782.41s]  Um, well, if you're
[5782.41s -> 5784.41s]  over twenty-one, marijuana is
[5784.41s -> 5788.00s]  illegal in Las Vegas. I mean,
[5788.00s -> 5803.61s]  hide it. Aren't you nineteen?
[5803.61s -> 5841.04s]  Get out of here. I'm gonna gas.
[5841.04s -> 5863.93s]  Alright, let's start taking some walls down.
[5863.93s -> 5873.07s]  Fix the fuse box. Fixed.
[5873.07s -> 5875.07s]  I have points to put in. What am I doing? Alright.
