[3.13s -> 4.33s]  All right, let's go.
[5082.66s -> 5085.14s]  or I can just take it for when we fight drawmen.
[5085.86s -> 5086.98s]  Is this better than what you have?
[5088.02s -> 5090.42s]  Uh, it's, I think it's about this.
[5090.42s -> 5093.94s]  It's the same as what I have, but it has more shred and stunt damage,
[5094.66s -> 5097.54s]  but I also have an empty weapon slot so I can like carry both.
[5099.34s -> 5099.66s]  Hmm.
[5101.12s -> 5103.60s]  Um, but you don't have like a melee weapon per se.
[5103.60s -> 5107.36s]  So if you want like something, just in case something's in your face or you don't have any,
[5108.24s -> 5111.28s]  uh, scenery to play, to pull from, we can do that too.
[5112.24s -> 5116.83s]  Um, I, I think it's just go to, uh, can I, do I do very much melee damage?
[5117.63s -> 5121.26s]  Um, I think the damage is dependent on the weapon itself.
[5121.26s -> 5126.78s]  So it says five damage on the weapon and I think like damage is just like,
[5126.78s -> 5129.10s]  if you get plus damage gear, it would apply to everything you do.
[5129.98s -> 5132.80s]  I mean, if I'll take it and put it in my other slot.
[5133.52s -> 5133.84s]  Yeah.
[5133.84s -> 5135.28s]  If, uh, if it's not better than what you have.
[5136.00s -> 5137.84s]  No, it's, it's the same as what I have.
[5137.84s -> 5138.40s]  All right.
[5138.40s -> 5138.96s]  Yeah, that's good.
[5140.16s -> 5140.72s]  Yeah, cool.
[5140.72s -> 5141.60s]  Cool.
[5141.68s -> 5145.28s]  And then we get the phone shadow pauldrons, which gives five dodge.
[5146.91s -> 5147.63s]  You should dodge.
[5148.35s -> 5149.25s]  Let's see.
[5149.25s -> 5152.27s]  I do not want to see another eye come out.
[5152.27s -> 5153.63s]  Uh, everyone's saying Austin.
[5153.63s -> 5153.87s]  Yep.
[5155.66s -> 5156.14s]  It didn't.
[5156.14s -> 5156.94s]  Austin, did you announce it?
[5156.94s -> 5158.30s]  Are these tanky though?
[5158.30s -> 5160.96s]  I feel like they might be a ranger thing.
[5160.96s -> 5161.70s]  Just take them.
[5162.42s -> 5165.70s]  And then if you get a tanky thing, just we can trade it later, right?
[5165.70s -> 5171.14s]  Gonna be, gonna be, gonna be flying in a, uh, in a plane simulation with Austin
[5171.14s -> 5171.86s]  in a couple of days.
[5172.80s -> 5173.68s]  It's gonna be wild.
[5173.68s -> 5174.96s]  Go check the Twitter.
[5174.96s -> 5175.76s]  I'll retweet that too.
[5175.76s -> 5176.72s]  What a minute.
[5176.72s -> 5177.84s]  If only he dodged.
[5181.79s -> 5183.55s]  We came out losing very little.
[5183.55s -> 5186.75s]  Some ripped scuffs and notches, but mostly clean.
[5186.75s -> 5187.95s]  That's a worthy day's work.
[5188.99s -> 5190.27s]  I don't know how I get.
[5190.27s -> 5193.31s]  I don't trust simple success as irrational as them.
[5197.20s -> 5198.40s]  Jesus Christ.
[5199.49s -> 5201.89s]  You think of all the stuff that's out there.
[5202.45s -> 5203.01s]  Evil.
[5203.65s -> 5204.45s]  Yeah.
[5204.45s -> 5205.81s]  Or just hungry.
[5206.45s -> 5210.91s]  Could come rampaging into our midst and take one of us away.
[5210.91s -> 5212.75s]  Makes me frustrated.
[5212.75s -> 5215.47s]  How fragile we all still are.
[5216.19s -> 5217.87s]  Someone asked if he was Scooby-Doo.
[5218.75s -> 5225.95s]  Yeah, I was gonna say you're getting into like, like, like, no, like ape territory.
[5225.95s -> 5229.95s]  Like, I think he's just, just general beast.
[5229.95s -> 5230.35s]  Yeah.
[5230.35s -> 5230.99s]  General beast.
[5230.99s -> 5231.23s]  Okay.
[5231.23s -> 5233.23s]  I was like, I was a person before.
[5233.23s -> 5234.59s]  I don't know what it is to be a wolf.
[5234.83s -> 5236.91s]  You are quite close to just, yeah.
[5236.91s -> 5238.91s]  I'm more a man than I am wolf.
[5239.55s -> 5240.03s]  Okay.
[5240.03s -> 5242.19s]  So the Draven got stronger.
[5242.19s -> 5244.19s]  They learned from their defeat.
[5244.19s -> 5246.14s]  Oh, but that's okay.
[5246.14s -> 5247.26s]  That's their first card.
[5247.26s -> 5248.45s]  So it's not a big deal.
[5249.66s -> 5255.49s]  Do we want to secure the, the, the shop or do we want to press on?
[5256.13s -> 5257.68s]  Does that mean we can buy stuff?
[5258.70s -> 5261.18s]  It means we can get an item like we got last time.
[5261.18s -> 5263.22s]  Ooh, secure.
[5263.94s -> 5264.50s]  We're greedy.
[5264.50s -> 5266.42s]  Yeah, I say secure.
[5266.42s -> 5267.62s]  Let's find an item then.
[5267.62s -> 5269.38s]  I'm in the mood for some scaring and discovering.
[5269.38s -> 5271.22s]  We can set this place right as we go, can't we?
[5272.10s -> 5273.70s]  Investigate thoroughly.
[5273.70s -> 5273.94s]  Okay.
[5282.98s -> 5283.62s]  Nice job.
[5284.42s -> 5284.90s]  All right.
[5284.90s -> 5285.78s]  Secure complete.
[5286.74s -> 5287.54s]  You look so happy.
[5289.78s -> 5292.98s]  Study the world and you'll never finish discovering wonders.
[5293.70s -> 5295.06s]  Looks like you guys are playing fetch.
[5295.95s -> 5296.67s]  Yeah, it does.
[5298.66s -> 5300.34s]  Somebody want to take a narrator?
[5300.34s -> 5303.20s]  So we've unlocked.
[5303.20s -> 5304.64s]  No, I think you're doing a great job.
[5304.64s -> 5305.28s]  Okay.
[5305.28s -> 5312.00s]  So a thorough delving through the mysteries of Viv Mia shop has proven rewarding.
[5312.00s -> 5314.98s]  Viv Mia shop will return to the hands of the common folk.
[5315.54s -> 5320.18s]  While they tend to the site will provide resources at the end of each chapter.
[5320.18s -> 5325.46s]  You've got two leaves and one of those.
[5325.46s -> 5332.21s]  Click done and we should get a weapon.
[5332.21s -> 5332.69s]  There we go.
[5332.69s -> 5340.40s]  Warding is star slate necklace and warding is absorbing magic damage.
[5341.38s -> 5343.70s]  Somebody rather you for being up front, right?
[5343.70s -> 5344.18s]  Yeah.
[5344.18s -> 5345.14s]  Yeah, I'd go for it.
[5346.94s -> 5347.42s]  Okay.
[5347.42s -> 5350.06s]  So if you guys look in the top left of the screen,
[5350.06s -> 5353.02s]  you'll see that along us is currently glowing and he has an icon.
[5353.90s -> 5356.46s]  So that means that he has a side quest that we can pursue.
[5357.54s -> 5358.58s]  I mean, let's do it.
[5358.58s -> 5360.18s]  If we click that side quest.
[5363.18s -> 5365.10s]  How long has it been?
[5368.43s -> 5369.71s]  Haven't I wait.
[5369.71s -> 5372.03s]  I forgot how you like change the reader.
[5372.91s -> 5373.47s]  Oh, yeah.
[5373.47s -> 5376.11s]  Just is it just when I press next, I like took it.
[5376.11s -> 5376.27s]  Yeah.
[5376.27s -> 5377.79s]  So we had to check the box.
[5377.79s -> 5379.23s]  We're just reading along with you now.
[5379.23s -> 5382.11s]  Haven't cracked a book in ages.
[5382.99s -> 5386.27s]  How long since I've felt inspired?
[5386.27s -> 5387.55s]  See a more man.
[5387.55s -> 5392.93s]  Well, you're turning into like Arthur Morgan.
[5392.93s -> 5396.40s]  I've been through a lot along us.
[5396.40s -> 5397.20s]  Why you vote here?
[5400.75s -> 5404.03s]  You won't suppose to find my note until tomorrow.
[5404.03s -> 5405.28s]  Here.
[5405.28s -> 5409.52s]  I thought I was being nice, letting you rest.
[5409.52s -> 5410.08s]  Yeah.
[5410.08s -> 5411.36s]  No, you are.
[5411.92s -> 5415.28s]  I just wanted some time.
[5421.02s -> 5423.58s]  I don't know what it is really.
[5423.58s -> 5429.09s]  Mind if I keep you company?
[5429.09s -> 5431.42s]  I'm sure you can come.
[5434.54s -> 5434.86s]  Okay.
[5434.86s -> 5436.54s]  Just let me get my travel things.
[5436.54s -> 5441.46s]  You have any idea where we're off to?
[5441.46s -> 5442.02s]  I don't know.
[5442.82s -> 5444.10s]  Where are we going?
[5444.10s -> 5449.14s]  I left you a note and I didn't really think beyond that.
[5449.14s -> 5451.31s]  We have options.
[5452.11s -> 5454.19s]  I need to spark my mind somehow.
[5454.19s -> 5455.79s]  I need to become inspired.
[5457.49s -> 5464.43s]  And that case isn't the bar a good place to start.
[5464.43s -> 5466.75s]  No, it's beyond the horizon.
[5467.15s -> 5467.47s]  Face.
[5467.47s -> 5468.59s]  He gives it number two.
[5468.59s -> 5469.07s]  Like, what?
[5469.07s -> 5469.95s]  I didn't think of that.
[5471.57s -> 5472.45s]  What are you doing?
[5472.45s -> 5473.33s]  I chose the bar.
[5473.33s -> 5474.69s]  I didn't think of that.
[5474.69s -> 5476.46s]  That was clever.
[5476.46s -> 5476.62s]  Yeah.
[5476.62s -> 5480.30s]  I love how your side quest is let's go get a drink for like a half hour.
[5480.30s -> 5483.04s]  I've just been running around in the woods.
[5483.04s -> 5485.68s]  I can click it again.
[5485.68s -> 5487.46s]  It's the same.
[5487.46s -> 5489.92s]  Did we just complete it?
[5489.92s -> 5490.48s]  Okay.
[5490.48s -> 5493.22s]  I think you didn't.
[5493.22s -> 5493.54s]  I think.
[5493.54s -> 5494.66s]  Oh, I think you have to.
[5494.66s -> 5495.95s]  You got to select one.
[5495.95s -> 5496.19s]  Yeah.
[5496.19s -> 5496.99s]  I did select.
[5496.99s -> 5502.08s]  I think the selecting that one is making it because I'm choosing number two.
[5502.08s -> 5504.88s]  Maybe the bar is like it's just ending your adventure.
[5504.88s -> 5508.96s]  It's suspending the side quest because it's like you're not actually leaving on a journey.
[5508.96s -> 5510.16s]  You're just going to the bar.
[5510.16s -> 5512.14s]  Oh, let's choose.
[5512.14s -> 5512.38s]  Yeah.
[5513.18s -> 5513.58s]  Okay.
[5514.38s -> 5519.02s]  I guess somehow throughout this, I was just third wheeling behind you guys carrying like
[5519.02s -> 5520.30s]  the wagon or something.
[5520.30s -> 5521.26s]  That's so funny.
[5521.26s -> 5522.48s]  I'm here.
[5522.48s -> 5524.74s]  I know we're big time.
[5524.74s -> 5525.06s]  Wow.
[5525.06s -> 5526.02s]  Look at this journey.
[5526.58s -> 5528.18s]  Oh, my God.
[5528.18s -> 5529.94s]  We're going so far.
[5529.94s -> 5532.34s]  We're going back to the altar where I transformed.
[5532.34s -> 5535.84s]  This is like a seven month journey.
[5535.84s -> 5536.08s]  Yeah.
[5536.72s -> 5537.76s]  You guys are my best friends.
[5537.76s -> 5538.48s]  Oh, no.
[5538.48s -> 5540.48s]  Things got really bad in our absence as well.
[5542.13s -> 5543.33s]  We have so many points.
[5543.33s -> 5544.61s]  Let's just like just.
[5544.61s -> 5545.81s]  I think I want to can't.
[5545.81s -> 5545.97s]  Yeah.
[5545.97s -> 5547.01s]  You want to just cancel a little bit.
[5548.27s -> 5549.79s]  We're not fighting anything.
[5549.79s -> 5550.83s]  Pass everything.
[5550.83s -> 5551.39s]  Nothing happened.
[5551.39s -> 5552.19s]  No clammies.
[5552.19s -> 5554.27s]  We're fine.
[5554.27s -> 5557.70s]  Why are we going all the way over here?
[5557.70s -> 5560.02s]  So what do you think of Brighton?
[5560.02s -> 5563.63s]  You're blind.
[5563.63s -> 5565.47s]  Is that what this place is called?
[5565.47s -> 5572.54s]  They say the brave who come here shall learn themselves the deepest truth.
[5572.54s -> 5575.90s]  Well, one thing I've learned is to mistrust your vacation ideas.
[5579.01s -> 5585.15s]  We traveled a year out here.
[5585.15s -> 5587.79s]  They didn't have the budget for me in this side story.
[5587.79s -> 5588.19s]  Yeah.
[5588.19s -> 5589.55s]  How come you're not here?
[5589.55s -> 5591.07s]  I'm just carrying the bags.
[5591.87s -> 5592.59s]  What are we doing?
[5596.56s -> 5599.04s]  I'm trying to stay upbeat about this, but.
[5600.98s -> 5601.86s]  The day dies.
[5601.86s -> 5602.90s]  Sun falls away.
[5602.90s -> 5604.74s]  And in the night, they build a fire.
[5604.74s -> 5606.02s]  Why do we even?
[5606.02s -> 5606.74s]  Why do we do this?
[5608.08s -> 5608.80s]  Just keep going.
[5608.80s -> 5609.92s]  There must be a reason.
[5609.92s -> 5612.88s]  I don't know what I expected to find.
[5612.88s -> 5615.28s]  I think I'm mostly looking for a feeling.
[5616.08s -> 5623.50s]  Is that really something you can search for?
[5623.50s -> 5625.82s]  Remember when we did this?
[5625.82s -> 5627.02s]  Everything was new.
[5627.02s -> 5630.14s]  Each path we took and every labor we put ourselves to.
[5631.36s -> 5632.16s]  I'm bored.
[5632.96s -> 5637.70s]  You know, it's really boring walking for a year and.
[5637.70s -> 5640.34s]  To find to build a fire in the woods.
[5640.34s -> 5642.18s]  And not fighting anything, not doing any adventures.
[5642.18s -> 5646.02s]  We just we just go like on a walk across the whole country.
[5646.02s -> 5648.74s]  You know, what's even more boring than that is doing the same thing.
[5648.74s -> 5650.50s]  But neither of you spoke to me for a year.
[5650.50s -> 5653.71s]  I just yeah, we didn't even ask.
[5654.99s -> 5655.71s]  You just came.
[5658.29s -> 5660.93s]  Tell me of sorrow this rose that you kept.
[5660.93s -> 5664.13s]  By the bed in which last your pole is about slapped.
[5664.13s -> 5665.65s]  Why am I singing this?
[5665.65s -> 5666.53s]  That's a theater kid.
[5670.22s -> 5670.94s]  That song.
[5673.60s -> 5676.88s]  She woke full of laughter and brightly she gazed
[5676.88s -> 5679.68s]  at the curve of her mouth and a kiss she appraised.
[5684.66s -> 5685.86s]  All right, I'm going to count you guys in.
[5685.86s -> 5688.90s]  Okay, three, two, one, go.
[5688.90s -> 5690.82s]  She sang over the hills.
[5692.18s -> 5694.42s]  It instantly voice jammered me.
[5696.42s -> 5697.54s]  Take your headphones out.
[5697.54s -> 5698.10s]  Wait, wait, wait, wait.
[5698.98s -> 5700.66s]  Sir, sir, take out your headphones.
[5700.66s -> 5701.14s]  Okay.
[5701.14s -> 5702.10s]  Ready?
[5702.10s -> 5703.62s]  Three, two, one.
[5704.34s -> 5706.10s]  She sang over the hills.
[5706.10s -> 5707.78s]  Peaks are shy, but sure dawn.
[5709.38s -> 5713.14s]  And sure as the sunrise I'll someday be gone.
[5713.14s -> 5714.74s]  But recall me my love.
[5715.54s -> 5717.54s]  And our joy may live on.
[5718.50s -> 5723.78s]  And you do and you do and you do you.
[5723.78s -> 5724.58s]  That's a howl at the end.
[5724.58s -> 5725.38s]  There has to be a howl at the end.
[5726.18s -> 5731.70s]  And then we fused as one.
[5731.70s -> 5738.37s]  The old love song is one he's sung a hundred times by a fire,
[5738.37s -> 5740.13s]  a hundred times with a friend.
[5740.13s -> 5742.78s]  And still tonight it feels new.
[5743.82s -> 5750.96s]  Strange song always broke my heart when we sing it together.
[5750.96s -> 5753.38s]  Forming a deeper bond of love.
[5753.38s -> 5754.90s]  I we might be.
[5754.90s -> 5756.82s]  I suppose we each thought of each other
[5756.82s -> 5760.11s]  and what it would be like to have to go on alone.
[5760.11s -> 5762.99s]  Is the relationship more akin to like a human and a pet dog?
[5762.99s -> 5763.63s]  Or is it like?
[5764.27s -> 5764.75s]  I don't know.
[5764.75s -> 5765.23s]  We'll find out.
[5766.93s -> 5768.93s]  A noise rises in the darkness.
[5768.93s -> 5770.37s]  Not an echo of them,
[5770.37s -> 5773.17s]  but the resonant call of something else.
[5775.42s -> 5777.90s]  Did our voices awake the neighbors?
[5778.78s -> 5782.46s]  Well, there's been some run ins out here.
[5782.46s -> 5783.18s]  Stick by the fire.
[5783.18s -> 5784.22s]  Maybe it's nothing.
[5784.22s -> 5786.11s]  If we're being hunted,
[5786.11s -> 5789.47s]  I say we turn the snares on our enemy.
[5789.47s -> 5795.41s]  Okay. Well, so my choice here is to let you guys stay by the fire
[5795.41s -> 5797.17s]  with the guy with the fire wand.
[5798.77s -> 5799.97s]  Ooh, that's a sure bet.
[5800.61s -> 5804.61s]  Or roll the dice on a Lugas hunting prey.
[5804.61s -> 5806.93s]  I'm going to stay by the fire for you guys.
[5808.22s -> 5813.82s]  Oh, I want to sing and I want to kill and I want to fuck.
[5813.82s -> 5816.86s]  They stand back to back at the rim of the fire light.
[5816.86s -> 5817.82s]  A foe emerges.
[5820.99s -> 5821.39s]  Oh shit.
[5821.39s -> 5822.91s]  These look scary.
[5822.91s -> 5823.79s]  Like, yeah.
[5823.79s -> 5825.39s]  They're like necrobots.
[5825.39s -> 5827.31s]  Yeah, they're like necrobots.
[5827.31s -> 5829.23s]  So wait, you have you're here.
[5830.46s -> 5833.10s]  So I think these side stories normally involve two characters,
[5833.10s -> 5834.62s]  but the whole pie comes along.
[5834.62s -> 5842.30s]  Oh, and early on he said he loved you.
[5842.30s -> 5843.58s]  So you would have been like the guy.
[5844.22s -> 5844.54s]  All right.
[5844.54s -> 5845.34s]  I'm fusing this.
[5845.98s -> 5846.62s]  Yeah, I don't know.
[5846.62s -> 5848.86s]  I think they're going to actually one over there.
[5848.86s -> 5850.22s]  I think they all gather over there.
[5850.78s -> 5852.14s]  It is this one on each side.
[5852.14s -> 5860.24s]  Okay, I'm going to I'm going to just pin this person over here
[5860.24s -> 5861.50s]  so they don't move.
[5862.14s -> 5866.29s]  You guys can deal with that.
[5869.15s -> 5870.42s]  Demolished.
[5870.42s -> 5870.90s]  Good work.
[5873.34s -> 5874.62s]  I'll get in front of you.
[5874.62s -> 5876.72s]  I can just hurt it.
[5876.72s -> 5879.07s]  Nice.
[5879.07s -> 5887.87s]  Somebody still have an action?
[5888.43s -> 5889.47s]  Yeah, hold on.
[5889.47s -> 5891.47s]  No, it won't let me.
[5891.47s -> 5899.18s]  Let me see.
[5899.18s -> 5901.26s]  I'm waiting for the walls of your room to fall down,
[5901.26s -> 5906.38s]  revealing you're in front of a live studio audience.
[5906.38s -> 5907.02s]  Nice work.
[5907.02s -> 5909.41s]  Oh, my level.
[5909.41s -> 5909.91s]  Yeah.
[5913.39s -> 5914.11s]  Piercing shots.
[5914.11s -> 5915.79s]  My range attacks have to pierce.
[5915.79s -> 5917.78s]  Does that mean it goes through, buddies?
[5918.78s -> 5919.98s]  Passive a bard.
[5919.98s -> 5922.94s]  A lungus reduces the cost of recruit job.
[5922.94s -> 5924.94s]  We've never done that ever.
[5924.94s -> 5925.82s]  Yeah, I don't know what that is.
[5926.94s -> 5927.98s]  One speed.
[5927.98s -> 5928.78s]  You can upgrade howl.
[5929.58s -> 5934.34s]  Howl.
[5934.34s -> 5934.84s]  I'm a wolf.
[5937.36s -> 5938.32s]  Look at that.
[5938.32s -> 5939.20s]  Warrior's armor.
[5941.31s -> 5942.59s]  Yeah, I'll link mail.
[5942.59s -> 5946.83s]  That looks pretty sick.
[5946.83s -> 5948.11s]  It's not even my adventure.
[5948.11s -> 5949.15s]  I'll take the loot.
[5951.33s -> 5953.86s]  To my eyes, it's all clear.
[5953.86s -> 5956.48s]  Same here, nothing moving.
[5956.48s -> 5957.92s]  Well, that was sudden.
[5963.46s -> 5967.70s]  Seems like we'll survive another night.
[5967.70s -> 5970.10s]  You know, I'm glad we came out.
[5972.54s -> 5975.52s]  But let us be on the road at dawn.
[5975.52s -> 5978.72s]  Yeah.
[5978.72s -> 5982.29s]  When you sang and when I sang with you,
[5983.92s -> 5988.26s]  I considered that word I tend to think of all the time.
[5988.26s -> 5989.98s]  It's raising.
[5989.98s -> 5990.94s]  It's like a well.
[5993.15s -> 5995.95s]  This well inside you will always fill and empty.
[5995.95s -> 5996.51s]  It's fine.
[5996.51s -> 6003.07s]  But I want to live for the lasting things like love and old well-worn songs.
[6006.51s -> 6008.99s]  In the morning, they will simply start home.
[6009.71s -> 6011.63s]  So if we walk all the way back, I will lose it.
[6012.59s -> 6015.31s]  Just for clarity's sake, we could have done this.
[6016.90s -> 6018.42s]  Anywhere, like a year ago.
[6018.42s -> 6019.22s]  We could have just walked in.
[6019.22s -> 6023.79s]  Yeah, but along us convinced us to walk for a year to the birthplace.
[6023.79s -> 6027.55s]  Oh, he leveled up from doing his side quests.
[6027.55s -> 6031.23s]  He's going to live 10 extra years and he now gets another move.
[6031.23s -> 6032.99s]  I'm a blue-born hunter now.
[6032.99s -> 6036.00s]  I can throw a trap.
[6038.19s -> 6041.66s]  Every time I kill an enemy, I can enter the gray plane.
[6041.66s -> 6044.14s]  That's stealth.
[6044.14s -> 6045.26s]  30 dodge.
[6045.26s -> 6047.63s]  30 dodge sounds like a lot.
[6047.63s -> 6050.94s]  It does.
[6050.94s -> 6052.70s]  Yeah, and you already have the plus dodge stuff.
[6052.70s -> 6054.70s]  Oh, and you can reroll these with lupi.
[6055.26s -> 6055.74s]  Yeah.
[6055.74s -> 6058.37s]  I feel like I'm not supposed to waste that.
[6058.37s -> 6059.73s]  How much LP do we all have?
[6059.73s -> 6063.47s]  It says at the eight at the top, right?
[6063.47s -> 6065.52s]  So we share this as a group.
[6065.52s -> 6065.84s]  Yeah.
[6065.84s -> 6066.32s]  Okay.
[6066.32s -> 6071.94s]  Did anything reroll?
[6072.74s -> 6074.66s]  It gave me the same dodge again.
[6074.66s -> 6075.38s]  Oh, okay.
[6075.38s -> 6076.82s]  For a second, I thought nothing changed.
[6076.82s -> 6077.94s]  And wind walk.
[6077.94s -> 6083.10s]  Wind walk is like Misty Step.
[6083.10s -> 6085.94s]  Like you'll be able to teleport somewhere, I think.
[6087.36s -> 6088.16s]  Thornbanging.
[6088.90s -> 6089.40s]  Okay.
[6089.78s -> 6091.97s]  Because that bite was doing a lot of damage.
[6091.97s -> 6095.89s]  I think we can go to the Hallenwalds from here and just walk.
[6095.89s -> 6097.41s]  It's only 20 days.
[6097.41s -> 6099.33s]  Wait, weren't we at the Hallenwalds, though?
[6101.10s -> 6102.70s]  No, this is fine.
[6103.42s -> 6107.20s]  Okay.
[6107.20s -> 6112.00s]  Wow, we really did lose six months and 33 days on that journey.
[6112.80s -> 6116.16s]  I can't believe we walked from just here all the way to here.
[6116.16s -> 6117.52s]  I would like to apologize.
[6118.16s -> 6119.28s]  Or us to sing a song.
[6122.26s -> 6124.66s]  Okay, Hallenwalds has been revealed.
[6127.31s -> 6128.99s]  See, this is a big world.
[6129.71s -> 6130.03s]  Wait.
[6130.75s -> 6132.03s]  Okay, so we can't actually...
[6132.03s -> 6133.23s]  This is the last place.
[6133.23s -> 6135.47s]  It says assault the Lithgram engine.
[6135.47s -> 6137.31s]  We must achieve our other objectives first.
[6137.31s -> 6139.71s]  So we must clear all the hostiles in the land.
[6139.71s -> 6141.71s]  So we have to go to the other three places.
[6143.90s -> 6144.94s]  Everywhere is in part...
[6144.94s -> 6145.66s]  Oh, no.
[6145.66s -> 6149.18s]  Oh, the only place we haven't been is Humble Demon Beaches,
[6149.18s -> 6149.98s]  which is all...
[6149.98s -> 6151.18s]  It's going to be a year.
[6151.18s -> 6152.06s]  It's going to be so far.
[6153.66s -> 6159.79s]  Let's patrol this place and get rid of the thorns,
[6159.79s -> 6161.39s]  and then we will leave.
[6161.39s -> 6163.79s]  Well, at least you leveled up a couple of times.
[6163.79s -> 6166.03s]  I tricked my party into taking me on a walk.
[6166.59s -> 6167.36s]  Okay.
[6167.36s -> 6168.56s]  A very long walk.
[6168.56s -> 6170.08s]  How far is this trip?
[6170.08s -> 6173.49s]  Okay, are we carving a pass all the way there?
[6173.49s -> 6176.05s]  It's a commitment, but I think it'll bring us goodwill.
[6176.05s -> 6178.37s]  Goodwill can buy you a lot in times of need.
[6178.37s -> 6181.86s]  Okay, I guess let's get started
[6181.86s -> 6184.74s]  and try and carve our way to the place we haven't been.
[6184.74s -> 6185.54s]  Let's get started.
[6186.50s -> 6188.82s]  Okay, 78 days it will take.
[6188.82s -> 6190.02s]  Oh, my God.
[6190.02s -> 6191.38s]  Oh, my goodness.
[6191.38s -> 6192.58s]  We have to walk all the way.
[6193.38s -> 6198.26s]  We lost nearly two years from your inspiration journey.
[6198.26s -> 6198.90s]  I love this.
[6199.46s -> 6201.94s]  We spent more time finding inspiration for you
[6201.94s -> 6203.46s]  than we have on the rest of our quest.
[6204.10s -> 6205.50s]  Thank you.
[6205.50s -> 6206.14s]  You're good friends.
[6207.10s -> 6208.06s]  Oh, God.
[6208.06s -> 6209.18s]  Oh, no.
[6209.18s -> 6210.46s]  Okay, so this is our first incursion.
[6210.46s -> 6212.78s]  So Gorgons and Greatnumber move to attack our lands.
[6212.78s -> 6214.30s]  Your enemies will travel from tile to tile,
[6214.30s -> 6216.06s]  attacking and destroying all the sites.
[6216.14s -> 6217.42s]  And so they are repelled.
[6217.42s -> 6218.78s]  Okay, so what's going to happen is
[6219.42s -> 6221.42s]  you can see their progress here.
[6221.42s -> 6222.86s]  They're going to come from that land
[6222.86s -> 6225.34s]  through Arnie Vigil and then Thunderost.
[6226.30s -> 6229.98s]  So should we just set up shop in Arnie Village?
[6229.98s -> 6231.10s]  Yeah, that's the best.
[6231.10s -> 6233.18s]  Probably the best idea is to set up shop in Arnie
[6233.18s -> 6234.78s]  and then intercept them.
[6234.78s -> 6236.22s]  Or we can just keep building this bridge
[6236.22s -> 6237.42s]  and then like follow them.
[6238.90s -> 6239.46s]  Wrap around.
[6240.88s -> 6241.92s]  I'm down for whatever.
[6241.92s -> 6243.84s]  Yeah, I think we can intercept them, right?
[6243.84s -> 6246.18s]  That's probably safe.
[6246.18s -> 6250.30s]  Yeah, that's secure.
[6251.28s -> 6254.51s]  Okay, do you want to find an item while we're securing?
[6254.51s -> 6256.43s]  I think we should work faster
[6256.43s -> 6258.67s]  with the whole incursion situation.
[6258.67s -> 6259.31s]  Yeah, okay.
[6259.31s -> 6260.19s]  Okay, that's good.
[6260.19s -> 6265.36s]  Yeah, let's just take everyone off of this.
[6265.36s -> 6266.69s]  Yeah.
[6266.69s -> 6267.89s]  And go.
[6267.89s -> 6270.77s]  Yeah, because they might just be on their way over here now.
[6271.33s -> 6273.09s]  Yeah, see how it's filling up with...
[6273.09s -> 6274.61s]  Okay, do we want to cancel all these?
[6274.61s -> 6276.53s]  No, I think we can handle these.
[6276.53s -> 6277.78s]  I think we're all right.
[6277.78s -> 6280.21s]  We don't want to waste all of our points.
[6280.21s -> 6281.33s]  Yeah, we're strong.
[6281.33s -> 6282.18s]  Oh, no.
[6283.81s -> 6284.85s]  Whatever this is, what's this?
[6284.85s -> 6285.33s]  Gorgons?
[6285.33s -> 6287.34s]  Gorgons is terrifying.
[6287.34s -> 6287.82s]  Yeah.
[6287.82s -> 6288.78s]  Oh, my God.
[6288.78s -> 6289.58s]  What counter is this?
[6289.58s -> 6291.02s]  Oh, it's a raging Gorgon.
[6291.02s -> 6292.38s]  Okay, okay.
[6292.38s -> 6294.10s]  So we're dead.
[6294.10s -> 6294.50s]  Everything's...
[6294.50s -> 6295.46s]  No, everything's fine.
[6295.46s -> 6295.94s]  We've got this.
[6295.94s -> 6297.30s]  We're going to crush this.
[6297.30s -> 6301.18s]  We've been killing everything.
[6301.18s -> 6305.26s]  Arnyvigil has been cleaned and put in good order,
[6305.26s -> 6307.98s]  with time left for a few days of comfort.
[6307.98s -> 6310.30s]  Arnyvigil will return to the hands of the common folk
[6310.30s -> 6311.34s]  while they tend it.
[6311.34s -> 6316.11s]  The site will provide resources at the end of each chapter.
[6316.11s -> 6317.71s]  Tides, ingots, spell threads.
[6317.71s -> 6318.11s]  Good.
[6318.11s -> 6320.93s]  They were carved in the past.
[6324.53s -> 6324.93s]  I think it's...
[6325.73s -> 6327.49s]  You know what I mean?
[6327.57s -> 6328.29s]  Yeah, I don't know how...
[6331.97s -> 6334.91s]  Are we building a bridge so the enemy can use that bridge?
[6334.91s -> 6336.03s]  We're not doing that, are we?
[6336.91s -> 6337.71s]  Yeah, I think we are.
[6339.31s -> 6340.59s]  Why are we helping them?
[6340.59s -> 6341.07s]  It's fine.
[6342.51s -> 6343.47s]  What else are we going to do, I guess?
[6343.47s -> 6344.99s]  They can't get over here.
[6344.99s -> 6347.44s]  We're helping them get over here.
[6347.44s -> 6348.08s]  Well, they're...
[6348.08s -> 6348.80s]  Yeah, they're beasts.
[6348.80s -> 6349.60s]  Maybe they'll swim.
[6349.60s -> 6350.32s]  We don't know.
[6350.32s -> 6352.06s]  Okay.
[6352.06s -> 6353.50s]  So now we have to stop what we're doing.
[6357.02s -> 6359.02s]  All heroes on this tile will fight.
