[20.73s -> 32.18s]  Hello, and welcome to the easy bake oven stream. I don't can you hear me? Can you guys hear me?
[2743.37s -> 2750.22s]  Oh, what time is it right now? I don't even have fucking watch. What time is it? Is it in? Yeah, I think so
[2750.22s -> 2757.71s]  Yeah, it's in there and then you like push it out to the cooling side timers on the front of the oven
[2757.71s -> 2761.86s]  No, that's just it. That's a picture. That's not real. How the fuck am I gonna?
[2761.90s -> 2769.83s]  Know what I can do for 12 minutes clean up my area. Wow, that sounds like a great idea. This is perfect
[2800.74s -> 2802.74s]  It's so easy to clean
[2807.27s -> 2815.66s]  So
[2831.85s -> 2851.14s]  It's been two minutes, all right, can you guys even hear me there's a timer on the front
[2851.30s -> 2853.64s]  No, the timer on the front is a picture
[2854.30s -> 2862.25s]  Don't touch anything the timer on the front. It says 330 is a photo. It is a fake picture. It's a fake photo
[2862.25s -> 2864.25s]  Oh
[2864.85s -> 2873.86s]  Damn it. Imagine if I had somebody here with like a seagull on a stick like dropping it and trying to eat shit
[2894.23s -> 2901.94s]  This is on or not on that right there is a photo it's not real
[2902.14s -> 2907.58s]  Let me just clean up
[2908.50s -> 2914.82s]  He's lying
[2915.70s -> 2921.34s]  Degrees
[2922.18s -> 2927.06s]  I was thinking about things that I might really need. Thank God. I brought this
[2938.94s -> 2942.40s]  You needed a bunch of extra shit and that's not in the box
[2953.54s -> 2976.06s]  Sorry
[2978.14s -> 2984.82s]  Say smoke when there's no smoke, you just freaked me out
[3028.18s -> 3035.40s]  Speak up. I that's why I let it clean. All right
[3036.40s -> 3045.77s]  Is that better? Can you hear me now? I'm just trying to clean up because we have another one to do
[3046.05s -> 3066.24s]  How much time has it been? I want to take it out. It scares me oven scare me. They really do
[3066.76s -> 3077.67s]  Hey extra easy bake oven. Why would I hold on to this? It's not done
[3078.11s -> 3084.39s]  Look, it's I can just I can just jam it back in it comes out this guy. This is a glorified
[3084.91s -> 3090.51s]  Bagel toaster. Okay, it just goes in and then pushes out the other side. I can even probably put
[3091.11s -> 3102.18s]  Sesame seed bagel in here. It would be perfect on the way out. It doesn't it thinks who cares. It's not raw. Okay, okay
[3102.58s -> 3109.22s]  It's gonna be raw. You're not trying hard enough
[3111.43s -> 3114.12s]  What is anything? I don't even know that what does that mean?
[3114.80s -> 3119.44s]  I'm just trying to get my area cleaned just say the same three sentences Jeremy
[3119.44s -> 3121.88s]  Well, your brains only capable of doing one thing at a time
[3122.60s -> 3136.77s]  Cook harder. You have no passion passion for easy bake ovens. How do you have a passion for an easy bake oven?
[3137.05s -> 3143.50s]  Well, I guess somebody has to have passion for somebody has to design this and make this and shit
[3144.62s -> 3149.02s]  Did you have to be you know, there's engineers that were really into this
[3149.66s -> 3153.68s]  So yeah that you would be very passionate
[3153.68s -> 3160.94s]  I would think they give you it's your job to make this like cool device that kids can
[3161.58s -> 3165.18s]  Play with it make cupcakes, which by the way can't wait to make the fucking three layered cake
[3165.18s -> 3172.26s]  Oh, I want to bring this up too
[3172.26s -> 3178.06s]  I went way overboard with the costumes for tomorrow way overboard like something like no human should have ordered and bought this many things
[3178.50s -> 3180.89s]  this I
[3180.89s -> 3184.69s]  Don't know. It's gonna tell I don't even know what to do with it. It's seriously I bought too many things
[3184.69s -> 3187.31s]  I went overboard, but I figured it off
[3187.31s -> 3190.03s]  You're not gonna maybe not gonna do it for a while probably ever again. Who knows?
[3190.59s -> 3196.97s]  Okay, let's get a little bit of water in here so I can how long is a pin time. What's my time?
[3197.65s -> 3208.91s]  Time seven minutes. All right. All right. All right. All right. Okay, I can finish this one a BRB screen
[3208.99s -> 3221.00s]  I don't have a BRB screen on this computer. It's just gonna be like a text on the screen
[3226.86s -> 3227.86s]  rancid
[3227.86s -> 3232.20s]  Lick the paper towel. Oh my god
[3235.76s -> 3240.58s]  My I can't even tell how my hair is. All right, I'm gonna check on it. I'm gonna check it
[3240.58s -> 3247.26s]  All right, I'm gonna check on it. I'm gonna check it. I'm gonna take it out
[3247.78s -> 3251.08s]  Alright, I gotta tell I gotta take it out. I gotta take it out. I have to take it out
[3251.08s -> 3255.66s]  I get my freaking out. I have to take it up. I had to take it out
[3255.66s -> 3260.80s]  No, I have one more bowl to wipe and then I have to go and get some rinse in there
[3261.32s -> 3267.54s]  No, no, chill chill chill three more minutes. No, you never do a pizza for the time that it says
[3269.79s -> 3271.79s]  It's always overdone. I
[3272.59s -> 3292.18s]  Hate the like overdone pizza. Okay looking good. Actually wouldn't even that bad to clean up almost almost ready for round two
[3292.94s -> 3295.28s]  All right. It's gonna be it's gonna be audience's choice
[3295.96s -> 3300.38s]  For what we do for round two because as you see we've got quite a selection
[3304.72s -> 3306.72s]  I'll finish that up in a minute
[3306.76s -> 3313.14s]  Okay, I'm gonna check on it. It's time
[3316.67s -> 3337.58s]  I'm checking on it. I don't like this. I'm doing it. Okay, here we go. Let's see what we get. Don't do it yet
[3337.58s -> 3339.86s]  I'm fucking it's done. It's gonna be done
[3340.78s -> 3347.20s]  Caution supervision electronic toy unplug when not you danger to prevent electric shock. Do not immerse it in water
[3347.64s -> 3358.29s]  Wipe clean with a damp cloth immerse in water like plugged in like dropping it in the water
[3359.21s -> 3361.31s]  like a
[3361.35s -> 3364.97s]  Like a toaster don't do crazy bill
[3367.43s -> 3370.57s]  Imagine dropping an easy-bake oven into the fucking bath
[3371.39s -> 3374.03s]  What are you doing? Why are you doing that?
[3374.55s -> 3378.36s]  Bill crazy. All right, and how long has it been?
[3383.33s -> 3384.89s]  imagine
[3384.89s -> 3397.34s]  Okay, it's been alright. I'm ready. Are you ready for the moment of truth ladies and gentlemen? I'm taking it out here
[3397.34s -> 3406.42s]  Wait a minute. How do I take this out? I don't have any oven mitts. I don't oh, I don't have any oven mitts
[3406.46s -> 3411.59s]  I swear to God. I don't I don't have any oven mitts. I don't have an oven mitt. I don't have any oven mitts
[3411.79s -> 3416.79s]  This has got to be oh, this is bad. This is the so this will do this will do this will do just go
[3416.79s -> 3420.19s]  Okay, this is right. This is this is a lot of protection. Let's check it a lot of protection
[3442.57s -> 3450.55s]  Did it go in is it out here? It's out. It's out. It's out. It's out. All right, I got it
[3457.69s -> 3461.24s]  ladies and gentlemen, take a look
[3462.34s -> 3465.84s]  blocking the view take a look at this delicious
[3466.84s -> 3468.84s]  mozzarella cheese
[3469.18s -> 3471.40s]  Ladies and gentlemen, take a look at this. Oh
[3475.21s -> 3477.21s]  Ladies and gentlemen, if you could take a look
[3477.95s -> 3485.80s]  No, no, no, don't all of you leave don't all of you leave stay stay say I promise take a look at this scrumptious
[3486.68s -> 3488.68s]  cheese
[3493.60s -> 3522.87s]  Pizza all right. It's the same was wait. Did I push it through to the did this cook? Is it raw?
[3522.91s -> 3531.22s]  I think I pushed it too far the first time did I push it all the way out?
[3531.66s -> 3537.06s]  Alright, I need a plate. I didn't even what the fuck is wrong with me. Did I didn't think any of this through
[3537.06s -> 3546.42s]  This is hot. No, what am I so afraid of? This is made for five-year-olds. All right. No, it's good
[3546.42s -> 3551.48s]  It's ready and I want you to do me a favor of folks and I want you to listen to that crunch
[3568.66s -> 3571.94s]  It's like it's like it's gluing to my fucking
[3573.13s -> 3574.13s]  Canines
[3574.13s -> 3632.02s]  It's like the thing is I really I really appreciate your execution here
[3632.06s -> 3634.83s]  You used that mozzarella very well
[3634.83s -> 3640.65s]  in fact so well in fact that it is bonded with the middle of my mouth and
[3642.23s -> 3648.52s]  I do like the creativity though pretending that you're a child. That's really really nice of you to do that
[3648.60s -> 3657.75s]  You know the childlike way that you cooked in the kitchen, but I will say for those reasons
[3659.20s -> 3664.69s]  Those are the two shows that I combined chopped and shark tank. That's how fast this fucking brain goes
[3664.69s -> 3673.86s]  Now get the fuck out of here. Okay, it's like seriously not even that bad
[3673.86s -> 3679.78s]  But it is and I like I don't I have to like brush my teeth. This is seriously gonna stay I
[3680.46s -> 3699.55s]  This is not coming off. Jesus Christ. I'm not gonna eat them all no. Hey, but I made this though
[3699.63s -> 3704.62s]  Well, there's why you need the cooking spray. That's
[3705.86s -> 3718.79s]  Fantastic not really though. It's fine. That's not gonna come up. We're gonna have dough on here
[3718.79s -> 3730.50s]  I have to like scrub this with a fucking knife. Yeah, I got it. I got it. It's fine
[3731.91s -> 3738.22s]  Okay, coming up next. We're gonna make some cookies or something. I don't know, huh?
[3738.34s -> 3745.10s]  What do I mean? What are we doing? Whatever this one is? Oh, this is the cake one red velvet and strawberry cakes
[3745.36s -> 3754.73s]  Look at the image. I can't I don't have access. I have no access to like a computer right now. All right
[3755.47s -> 3776.74s]  Let me go ahead and feed this to the no, I'm sorry. I'm sorry. I'm not I'm not gonna do that you waste
[3776.74s -> 3780.62s]  I'm sorry. I'm not I'm not eating all those I took two bites and it was too good
[3780.82s -> 3798.75s]  You're wasting the you're wasting the food guys 95% of that was flour. I didn't like it
[3800.96s -> 3805.20s]  Myself is
[3805.20s -> 3812.26s]  No, I got to drink this. No, I can't I was about to just slam that
[3812.78s -> 3818.87s]  Alright, I'll be right back with some more of this fun cooking program
[3819.07s -> 3827.99s]  Okay, stop doing the fucking jokey guy and just get it over with of my teeth
[3827.99s -> 3829.91s]  I think my teeth might be stained forever
[3829.91s -> 3835.24s]  What if I had just like two black teeth up here for the rest of my life?
[3835.24s -> 3841.30s]  I imagine I'm gonna go to the dentist and tell them like that. You need your teeth fixed. Well, what happened?
[3841.30s -> 3852.05s]  Well, you know, I ate food from an easy bake oven that I undercooked. All right. All right, give me a minute
[3880.23s -> 3886.95s]  That was in my teeth and no wonder it like it's not coming out of this either
[3886.95s -> 3911.07s]  I have to run this through a dishwasher like four times and plug the oven. Why why it's fine
[3912.03s -> 3915.15s]  It's if the things meant to be turned on and it's gonna be preheated
[3922.02s -> 3927.53s]  This hot. All right, this is
[3928.33s -> 3938.22s]  We start with you. It's gonna take equal amount of time to clean these bowls to be ready cuz I
[3938.78s -> 3945.78s]  At some point you have to say who cares and like some of your brownies gonna taste like cheese. I
[3947.33s -> 3951.97s]  Can't hear him. Hello. This one's good. This was right
[3952.47s -> 3960.65s]  Clean, right?
[3965.96s -> 3979.61s]  Be right now I'm not even here next up this one almost ready
[3986.61s -> 3989.01s]  Okay, I gotta really conserve these
[3992.96s -> 3999.87s]  Where is he? What are you talking about?
[4002.10s -> 4011.86s]  I'm right here. You know 2020 is always hindsight, right?
[4012.50s -> 4017.34s]  But I should have done this outside and just had like a hose somewhere that I could just spray into all this stuff and
[4017.34s -> 4019.34s]  To be ready to go
[4023.13s -> 4026.10s]  Okay
[4026.10s -> 4032.54s]  This is ready for round two done
[4033.34s -> 4035.82s]  this one almost I
[4039.67s -> 4042.19s]  Can't see him. I'm right here. What are you talking about?
[4043.11s -> 4045.75s]  You are outside. I'm pretend outside
[4046.51s -> 4053.88s]  All right, at some point I'm gonna have to just kind of let this thing
[4054.72s -> 4059.72s]  Like it ain't gonna happen because and I'm gonna have to just use another bowl because I have another fresh one right there
[4065.71s -> 4076.90s]  No, it's coming up it's good it's gonna take a minute see the real smart person thing to do
[4077.54s -> 4079.54s]  Like have somebody hired
[4079.86s -> 4084.74s]  To have two bowl sets and one person's cleaning the bowls while I'm doing set number two. I
[4085.74s -> 4091.79s]  Need a fucking goddamn assistant what stop wiping us. Oh
[4094.03s -> 4096.03s]  There we go, sorry about that
[4098.63s -> 4103.59s]  This stuff is fucking acid. It's still coming up
[4104.11s -> 4110.69s]  Why it's like this?
[4111.33s -> 4123.78s]  Am I wiping off the dye on the bowl or is this still the sauce? Holy shit, that's loud
[4125.50s -> 4126.82s]  Gmod Mike
[4126.82s -> 4132.57s]  All right. I can go up there and I can turn it down and I'm gonna go do that. This is almost ready
[4132.65s -> 4137.84s]  So what am I making? You guys have seen what's up there? We got pretzels. I'm not making the pretzels right now
[4137.84s -> 4141.68s]  I don't want any more disgusting smelly like savory food that'll I'll gag
[4142.60s -> 4151.88s]  We got what do we got this brown? Yeah, there's brownies there. I actually I would eat the brownies
[4152.36s -> 4158.15s]  Real food is gross when it comes to toys. Okay, real food is disgusting
[4158.31s -> 4164.44s]  It nobody wants to eat like real food coming out of something like this
[4164.76s -> 4170.95s]  Nobody does but like candy and the cookies and stuff. That's fine
[4170.95s -> 4175.37s]  It's it's it's no nobody wants to eat like a fucking hot dog in an oven like this
[4175.87s -> 4180.93s]  guys sugar flour
[4181.09s -> 4185.29s]  Salt and baking soda is like what a cookie is made out of right?
[4185.41s -> 4189.99s]  But like if there was like hamburgers in here, I wouldn't want like powdered hamburger meat
[4189.99s -> 4195.61s]  I don't want to eat like powdered cheese. I don't eat like powdered marinara sauce
[4195.81s -> 4202.70s]  This other thing is a powdered tomato, okay, no such thing to make a brownie. It's just like chocolate powder
[4203.34s -> 4217.10s]  Sugar eggs salt. It's I'm not you know, it's not powdered tomatoes like that shit was okay
[4217.10s -> 4226.12s]  This is good to go. All right, that one's ready one more and we're done
[4226.42s -> 4234.98s]  Actually, I'm gonna take a second to just get this water cleared out and then we can keep going
[4234.98s -> 4242.10s]  I'd be yeah, I don't need like this one. This this was the most complicated one. I
[4242.62s -> 4266.16s]  Ain't spending 20 minutes cleaning that just get a new one forehead
[4266.66s -> 4270.86s]  Just get a new one. This is not the garbage bowl
[4271.06s -> 4286.90s]  Good point, but all pans are gonna have some like decay on them
[4286.90s -> 4301.55s]  You know what I mean? Like you're never gonna get a pan clean. Oh, no, you're never gonna get a pan fully clean like this
[4313.77s -> 4321.06s]  My whole body is on fire I
[4324.27s -> 4328.50s]  Fuck I went like this in my nail
[4329.14s -> 4343.84s]  Nail on a chalkboard like fuck. I just screamed in your ear. Okay, fucking whatever. Don't do it again. Ah
[4361.37s -> 4366.42s]  Give me a fucking easy one. Oh
[4366.94s -> 4384.82s]  Goddamn gotta get some elbow grease in it. That's how you get it done. Mm-hmm. Look at that. Fuck his brain
[4384.94s -> 4395.61s]  You saying fuck my brain or you saying like oh, no his brain. Alrighty. Are we ready for the next delicious treat?
[4395.61s -> 4403.45s]  I have to turn the microphone down garbage bowl. You're right
[4403.45s -> 4528.93s]  Those actually those are kind of good are we good so these two chocolate brownie mixes and two this this this is gonna be so much easier
[4528.93s -> 4537.52s]  Thank God. It's actually just two or three packets not like six. Thank God. All right chocolate brownie mix
[4537.52s -> 4547.67s]  Yeah, you get two of them just in case you want to go crazy
[4548.15s -> 4557.64s]  Yeah, this is gonna be so much better vanilla frosting mix. It's just two fucking things. Thank goodness
[4557.64s -> 4560.21s]  All right, clean as you go clean as you go
[4560.61s -> 4562.05s]  Thank goodness
[4562.05s -> 4571.99s]  All right, clean as you go clean as you go clean as you go clean as you go
[4572.23s -> 4586.36s]  Clean as you go turn the oven on. Oh shit. That would have been bad
[4586.64s -> 4597.38s]  All right. This one will be nice and quick. I think I don't even do I even need should I try to do one of these
[4597.38s -> 4599.70s]  Without the instructions like fuck it. Just do that
[4600.30s -> 4661.11s]  Dump brownie mix into the fucking container and then dump vanilla frosting into the container. I need water bowl
[4661.23s -> 4674.13s]  I'm about to throw that bowl in trash. You know what I mean?
[4674.17s -> 4681.30s]  Like I'm thinking about just putting that in it's thrown in the trash, but you can't I mean, it's like plastic
[4681.30s -> 4686.72s]  I can't do that. That's terrible. Okay, here we go chocolate brownie
[4688.40s -> 4690.40s]  Surprise, what's the surprise?
[4693.21s -> 4695.21s]  marinara sauce on the bottom
[4696.48s -> 4713.88s]  Okay, here we are one and a half teaspoons of water stir until it's nice and thick. Okay. Oh, this looks nice
[4713.88s -> 4721.21s]  I actually like the way this looks. Okay, it smells like just
[4721.97s -> 4725.63s]  hot-chocolate powder, which is like I
[4726.39s -> 4728.67s]  Let me tell you something
[4728.67s -> 4733.04s]  Nesquik cocoa powder just even like chocolate milk powder
[4733.16s -> 4735.16s]  Tell me if you guys think I'm a sick fuck for doing this
[4735.16s -> 4737.16s]  I guarantee some of you guys do it too
[4737.16s -> 4744.26s]  you just you stir in a little bit just like you know, maybe one tablespoon into your milk and you get it a little bit there and
[4744.30s -> 4750.18s]  Then you sprinkle on top a layer of powder on top of the milk
[4750.22s -> 4757.92s]  So it becomes this disgusting sludge and you take a sip after you let it wait sit on the top for about 10 to 20
[4757.92s -> 4761.88s]  seconds take a little sip and you suck up the wet powder and
[4762.96s -> 4770.88s]  And it's like I'm telling you try it if you don't if you I'm telling you actually this is good to have a big
[4770.88s -> 4781.25s]  Bowl. No, I don't I did do that. Yeah, I mean I don't do this anymore. I'm a grown man. All right
[4782.01s -> 4791.88s]  Okay, where's my stirring thing? This smells very good. This smells way better than powdered tomato sauce
[4791.92s -> 4798.46s]  All right, let's get our spatula and let's uh, let's work with it here. What do you say?
[4798.46s -> 4809.63s]  Okay, I'm trying to see yeah, let's actually move this out of the way LUL poop wine. It's chocolate. Oh, I get it
[4809.63s -> 4818.16s]  It's hey. Hey, it's it's brown in there. It must be poopoo. All right guys row up
[4818.16s -> 4834.51s]  How is this only need one and a half tablespoons of water?
[4838.88s -> 4845.76s]  Can somebody explain that to me because this is not even close. I need way more water than this
[4845.76s -> 4854.57s]  I think I might even need more than that
[4854.57s -> 4862.45s]  You need like a cup of water in here. You didn't add one and a half. What? Yes, I did
[4862.45s -> 4867.37s]  I'm gonna get in there
[4867.37s -> 4879.36s]  Imagine being a parent and having your kid asked to do this on a one on a given day
[4879.44s -> 4883.78s]  This is one of those things where you just don't want to hear those words
[4883.96s -> 4891.81s]  No, can't you like go outside and just like throw shit around why I don't want to do this
[4891.99s -> 4897.58s]  Who wants to do this what parent wants to actually have to go through the trouble with this shit?
[4897.58s -> 4901.71s]  They want you to make food
[4901.71s -> 4907.53s]  Why don't you make actual brownies like why do you need this weird little fucking bagel toaster?
[4907.57s -> 4914.40s]  Just make a brownie just make brownies in your oven in your actual oven. What's this for? What is this for?
[4914.40s -> 4923.65s]  I can't I was it for I don't get it. It's for kids. Okay, you kids can cook too, but you need supervision for this
[4924.70s -> 4925.86s]  caution
[4925.86s -> 4932.62s]  Supervision required so if you need supervision to use this you need supervision to use a real oven. So what's the pro?
[4932.62s -> 4937.78s]  I don't know. What's the deal? What's the problem? This actually looks pretty this looks pretty syrupy and pretty soupy
[4937.86s -> 4946.70s]  And pretty delicious it says mix concoction until it gets all syrupy and since savory and soupy. I got it there
[4946.82s -> 4956.02s]  All right, that looks good. Damn. This looks fucking good. I did a good job
[4956.02s -> 4961.30s]  I this is from scratch isn't me doing this shit from it's too loud might be okay now
[4961.30s -> 4969.10s]  We do the frosting easy-bake vanilla frosting. We'll do it in here. Wait, was this the one with the cheese in it?
[4969.10s -> 4996.49s]  Okay. Now what is going to do water cheese frosting? We don't do this yet. Okay, roll these mixtures into balls
[4996.49s -> 5018.66s]  I need to wait what already that might light on fire. I can't okay sprinkle flour on
[5018.66s -> 5032.15s]  Okay, so wait, this is supposed to be turned into a ball. That's not gonna turn into a ball. Hold on
[5039.51s -> 5042.39s]  Just eat it out of the fucking bowl
[5046.03s -> 5048.66s]  Wow
[5048.66s -> 5062.37s]  Okay, what are you supposed to cook this? Is this like rotten boy? Do I ain't supposed to cook that is it raw?
[5073.25s -> 5075.68s]  Oh
[5076.16s -> 5080.04s]  Smells in there it fucking stinks and it smells
[5082.04s -> 5084.04s]  College dorm room in here. Oh
[5087.41s -> 5105.75s]  No, I have to go to the dentist after this one, okay
[5105.83s -> 5111.08s]  So you can't eat it raw it has to be baked cuz it's not there could be this like raw cookie dough in there
[5111.08s -> 5117.49s]  I can fix this though because there's two of these I'm gonna add this very slowly
[5117.93s -> 5130.54s]  You know, you can make a mistake. You make a mistake or two. It's fine. It's okay to make us mistake
[5130.74s -> 5136.93s]  You can fix it in post. This is this is the video editing of the cooking world
[5136.93s -> 5147.12s]  You just add a little bit more powder slowly and get it in there until it's all syrupy and soupy and thick and savory
[5147.16s -> 5155.47s]  How am I ever gonna put this into a ball? Well, um, should I just spread this on there?
[5155.67s -> 5166.67s]  What if I just spread this onto the pan and make it like just on the pan and then put the frosting on top?
[5166.67s -> 5186.66s]  So it's just a big cake. What's wrong with that? It'll still work. This is not gonna turn into a ball, right?
[5186.70s -> 5198.75s]  No, how the fuck do people cook I swear to god chefs definitely just sit there while they're doing this and going like oh my god
[5198.75s -> 5204.43s]  This is fucking wrong. This is so wrong. This is the wrongest thing I've ever done. This is not fucking right
[5204.43s -> 5206.43s]  This is wrong and then like cut to the guy
[5206.75s -> 5211.20s]  Bringing it out and being like here is your salmon, sir. The chef prepared it fresh for you
[5211.20s -> 5222.78s]  I swear to god like this is this shit's impossible. This is impossible. I'm just making a chocolate bowl
[5229.41s -> 5246.47s]  Okay, okay. This is not I'm just gonna do the thing. I said I was gonna do let's try it
[5246.55s -> 5256.02s]  More powder, but I'm not gonna be able to even move it. What do you mean more powder?
[5256.02s -> 5293.78s]  This is like one of the things I'm too tall for which how does that make any sense now?
[5293.78s -> 5298.41s]  What remember this is for kids? Yeah
[5298.97s -> 5312.88s]  More powder make balls make balls. I'm not sure I can do that with this. It's just gonna fall apart. Look at this
[5312.88s -> 5320.30s]  It's it's it's too goopy. Don't put any more powder. Are you following the recipe?
[5320.30s -> 5324.30s]  Yeah, pour one chocolate brownie mix and add one and a half teaspoons of water
[5324.30s -> 5330.14s]  I think maybe that is I think that does need to be more powder, right?
[5330.18s -> 5340.23s]  I think so because they otherwise a teaspoon. Yeah, but it was I couldn't even work with it
[5340.23s -> 5354.62s]  It was so powdery. It was impossible. God. This is annoying. Just go to Dunkin Donuts. Just get one
[5354.62s -> 5374.72s]  They have like 60 balls. All right. Hold on. It's coming together. I might be able to actually turn this into a ball now
[5374.72s -> 5386.74s]  I'm only gonna make like a couple of these I think this is so all right
[5386.74s -> 5405.15s]  This is starting to get hard to do more powder. Are you sure? Yes. All right, I'm not putting any more
[5405.15s -> 5427.67s]  I'm not doing any more powder after this. This is it terrible. Oh my god
[5428.21s -> 5435.22s]  What is this even supposed to do? How do you fuck up to a one ingredient bag? I don't understand
[5435.22s -> 5439.98s]  I think I need the other tool. This is gonna be impossible
[5439.98s -> 5445.86s]  I think I gotta get in there with my hands, but I can't get in there with my oh, there we go
[5445.86s -> 5452.12s]  Look at that. I can scrape like I can scrape the bottom. All right. What do you think? Is it ready?
[5452.28s -> 5460.14s]  What do you think that looks a little frothy?
[5460.26s -> 5475.90s]  Maybe a little maybe a little bit more powder just a little bit spinning it you're making a lot of dad noises
[5476.38s -> 5490.74s]  Fuck and whatever. Okay. This is definitely ready. Maybe a little bit more powder. I don't know
[5490.78s -> 5493.85s]  I've never made brownies before guys. I don't know what it's supposed to look like
[5493.85s -> 5499.95s]  I was hoping that there would be pictures in here to show me. I think this is good
[5499.99s -> 5503.11s]  It's very it's very stringy. All right
[5503.11s -> 5505.67s]  I'm just gonna try to get a bunch of it and then I got a have it be a ball
[5505.99s -> 5515.82s]  Okay, and then and then what make it if that defeat? Oh, these are whoopie pies. These are not brownies
[5515.82s -> 5520.88s]  Why are you guys saying brownies whether whoopie pies? They're not supposed to be brownies
[5524.06s -> 5532.76s]  Okay, so we need to make two we're gonna make one. I'm only doing four
[5532.76s -> 5559.89s]  I'm doing one two and one two. Okay, how am I gonna do this turn on the oven?
[5559.89s -> 5562.82s]  The oven's on the oven is on the ovens powered on
[5565.13s -> 5572.71s]  Okay before I do this I gotta get this prepared. I gotta be ready for this. This is gonna be a disaster
[5572.71s -> 5592.10s]  I gotta be ready with this just right here waiting for me. I can't turn this into a ball into a ball
[5592.50s -> 5604.62s]  This is just how a child eats dessert. Okay, it's almost a ball
[5604.74s -> 5617.82s]  It's it's getting there and then I have to spread it out on here. Oh shit
[5635.74s -> 5639.89s]  Hershey's kisses instead. Okay, there's one
[5654.70s -> 5660.66s]  No, no the baby got on the counter and it's just eating the chocolate out of the bowl
[5660.94s -> 5669.53s]  This is the baby. This is the baby is on the counter Jared my husband. Where the fuck are you? What are you doing?
[5669.53s -> 5682.98s]  Why are you letting him do that? You're gonna let the baby eat on the counter. What are you fucking stupid? I don't oh, right
[5682.98s -> 5697.42s]  Sorry, hey get off that counter. I can make one you supposed to make a ball. Hold on
[5697.50s -> 5706.94s]  There we go. Sometimes he's gonna get in there. All right, I'm gonna make one. I'm gonna make one whoopie pie
[5707.18s -> 5732.58s]  This is bad. This is bad. I feel like people are gonna people are gonna share this clip. Oh damn it
[5732.58s -> 5746.10s]  I can't make a ball needs more powder. I think there's no way I can do this
[5748.41s -> 5765.05s]  Barf it said use your hands
[5769.11s -> 5776.95s]  I have to like spend an hour cleaning this up. Okay, I have we're gonna do an open-faced turkey sandwich type
[5778.41s -> 5780.09s]  Bye here
[5780.09s -> 5790.06s]  Whoopie pie open face. I have one on there. It's it's starting to solidify on my hands
[5790.06s -> 5799.69s]  I don't know what to do. I don't know what I'm doing. I'll try as hard as I can to get one other ball
[5812.97s -> 5821.68s]  Smoke wait get that out of there. Okay, this is new plan new plan new plan new plan
[5821.68s -> 5833.66s]  I got one. This is it's solid now. Yeah, this one's this one's trashed. This one's trashed eating
[5834.58s -> 5852.73s]  What there's only one way out of this I to eat my way out
[5852.77s -> 5880.98s]  There's only one way out of this don't laugh if I laugh it's gonna go fucking everywhere. Don't fucking laugh focus
[5881.32s -> 5917.06s]  Focus I could have to move you guys. I can't fucking I just stop eating this what I'm stuck
[5917.06s -> 5925.24s]  I'm actually stuck. I can't move. I can't go anywhere. I can't turn. I can't like turn the stream off
[5925.24s -> 5932.66s]  I can't go anywhere. I literally can't move. I'm gonna have to sit here for the rest of my life
[5932.70s -> 5970.86s]  Is there an easy one in here just save scum I wish is there an answer an easy one
[5970.86s -> 5973.86s]  I okay. I'm making this I'm gonna do the frosting. I'm not giving up on this one
[5973.86s -> 5977.58s]  I still I got a dollop on there. We're gonna make a fucking brownie with extra frosting on it
[5977.58s -> 5986.25s]  I just have to not have this all over me. I'm I'm like in trouble
[5986.25s -> 6005.50s]  I have to pick this up with my mouth. Why did I pick this up with my fucking hands? What a joke?
[6005.50s -> 6021.67s]  What an idiot dope this thing this thing's like preheated
[6021.67s -> 6037.02s]  Well, hope you like a guy that is 35 years old almost that is stuck in his chair
[6038.07s -> 6044.81s]  Because he couldn't figure out how to do the brownies on the easy bake oven and now he is actually
[6045.41s -> 6051.16s]  Fucked because he can't move and now I have to like go wash my body. I have to go take a shower
[6051.32s -> 6063.35s]  They're not brownies. Whatever. We'll see what they are when they come out of the oven
[6063.35s -> 6073.01s]  I need a cupcake pan that doesn't say that on there. It says put them on the tray click the link
[6073.09s -> 6082.47s]  Oh, yeah, click the link. Let me just reach for my mouse and grab it. Yeah, I can't do that right now
[6082.47s -> 6089.23s]  I told you I'm stuck forever. All right. I'm good. Here we go. I'll be right back. Okay now
[6089.23s -> 6094.97s]  I'm now I'm at that point where I can literally clean myself up disaster
[6094.97s -> 6106.45s]  Why would I fucking do this with my hands? I should have I should have now that's a thought
[6106.49s -> 6114.62s]  No, that's a thought in this guy right here
[6114.62s -> 6129.88s]  I can wake a ball in my mouth and then just like off-camera just put it on there. No, what do you mean?
[6129.92s -> 6137.57s]  What I'm gonna like form it in my mouth like and then just spit it out. I'll don't do that
[6137.57s -> 6144.17s]  Don't there's an audio delay. How is there an audio delay? I have one. I'll like here
[6144.17s -> 6155.06s]  I'll just I just we have one we have a whoopie pie. It's done. All right, I have to get okay
[6155.06s -> 6158.52s]  This is gonna be weird. I can't grab this but this is gonna be
[6159.40s -> 6160.72s]  This it's gonna be loud
[6160.72s -> 6165.00s]  So just turn your volume down because I'm gonna literally just like wily coyote yank this off my head
[6165.00s -> 6328.23s]  This is why cooking sucks
[6328.31s -> 6336.80s]  Okay, because it's just a shitload of cleaning you clean for like six times more than you cook you cook for like six minutes
[6336.80s -> 6349.00s]  And you clean for like two hours. This is my cooking sucks. All right, I'm gonna make the frosting time for the frosting
[6349.00s -> 6353.47s]  Okay, cool. I think preheated nice very very nice
