[22.33s -> 23.53s]  Hey, what's up?
[3490.20s -> 3496.47s]  I'm going to where I got in trouble last time. That's a good idea and we're probably
[3497.11s -> 3502.44s]  I think i'm gonna show some grotto bee stuff talk about it for a little bit. I think I was gonna wait like an hour
[3506.84s -> 3513.25s]  We've got to go over some questions and some answers. I want to show the box. I have it here
[3513.41s -> 3520.74s]  We can go over some stuff like give me one second. I'm gonna this can just stay right here
[3524.55s -> 3528.39s]  Yeah, we'll come right back to this. I just want to show
[3529.03s -> 3535.91s]  Actually, let me get that here. All right, I want to go over
[3537.81s -> 3544.08s]  Since grotto beasts has gone into presale. I really want to go over some of the more
[3544.90s -> 3551.48s]  Some amendments to that faq and this this whole thing is going to get pieced together in any of this faq stuff that you guys
[3551.48s -> 3553.48s]  Have seen so far will be on the website
[3553.56s -> 3555.16s]  We just want to clean it up and make sure it's correct
[3555.16s -> 3558.40s]  but there's a lot of stuff to go over because
[3559.48s -> 3564.12s]  We have uh, we have hit a very very interesting milestone and uh, we'll talk about it
[3564.79s -> 3568.70s]  So let's start we're gonna start at the top. Here comes another presentation
[3570.34s -> 3580.80s]  Presentation incoming it is only one slide this time. So don't worry. It's not like 10 slides. Let's
[3581.36s -> 3589.30s]  Do that right now. Let me get it up. It's only one slide
[3589.30s -> 3590.85s]  Yeah
[3590.85s -> 3594.85s]  There were just some other things we wanted to make sure people were aware of and i'm just going to read this stuff pretty much
[3594.85s -> 3602.31s]  Line by line powerpoint. Okay, let me get it up here
[3606.58s -> 3609.62s]  Okay
[3609.62s -> 3611.96s]  Okay
[3611.96s -> 3617.12s]  Okay, let's go over this because these are this is going to answer some questions
[3617.84s -> 3627.48s]  And go over some important, um store updates dates and limited items. Okay, so there's a lot of text on this screen
[3627.64s -> 3631.22s]  So just be aware. I want to get it on one slide. Here we go
[3632.93s -> 3639.76s]  Here are some clarifications and amendments to what we talked about two three days ago. So
[3640.64s -> 3648.23s]  Grotto beasts is in presale right now. It's available right now on grottobeasts.net. This is very yeah, there's a lot of text
[3648.95s -> 3649.91s]  I'm gonna read it
[3649.91s -> 3656.47s]  So we've had a lot of questions since this and don't skip ahead. Don't skip. I know you're gonna read ahead
[3656.55s -> 3664.12s]  Don't skip ahead wait for me to read. Oh shit cartoon mischief
[3665.57s -> 3668.13s]  All right, so we've had a lot of questions about the holographics
[3669.12s -> 3674.72s]  Wait, you've got four different holographic types. Does that mean that each card could have a holographic and four different versions?
[3674.88s -> 3683.46s]  No, there are four types of holographic film and each card has a specific holographic film type assigned to it
[3683.78s -> 3693.94s]  So for example, you will you should never find a fretsal right here that has anything but a hollow dot pattern
[3694.26s -> 3697.57s]  So I think a lot of people were saying whoa
[3697.73s -> 3703.49s]  That seems like a lot of potential holographics for if it's each one has the no, no, no, they're all assigned
[3706.74s -> 3709.22s]  So that we've had that question come in a lot
[3709.46s -> 3717.30s]  So we've also we've numbered our production so that every booster pack will have one rare card and exactly one holographic card in every booster pack
[3717.62s -> 3724.20s]  So what that means the hollow is one random card which can be either rare or common so some packs
[3724.68s -> 3728.32s]  Will potentially have two rares. We've got that question a lot too
[3730.93s -> 3733.17s]  Now for some store updates
[3734.80s -> 3737.04s]  Let's go over some updates on the store
[3737.83s -> 3744.45s]  Uh, do not read the second line yet. I know you already have but it's fucking crazy
[3746.56s -> 3751.44s]  We are going to let everyone know when we have an exact date in mind for the presale to end
[3751.92s -> 3756.28s]  The store may halt for a while in that period and depending on inventory
[3756.36s -> 3760.60s]  We'll need to see what items will be available for when we leave presale up
[3760.84s -> 3763.99s]  This will be at least 10 to 14 days from now
[3764.23s -> 3770.80s]  So we don't have a hard date for the end of the presale, but it will be at least another two weeks
[3772.85s -> 3774.85s]  So if you are buying it right now
[3776.44s -> 3778.76s]  We're trying to keep the presale up as long as we can
[3779.16s -> 3782.12s]  And the reason why we're doing that is because of the second line here
[3783.44s -> 3789.19s]  So the initial production of the boosters have all been claimed
[3790.60s -> 3795.00s]  So the boosters of of our first production run here have been claimed
[3796.45s -> 3797.41s]  So
[3797.41s -> 3801.51s]  We're already in contact with the printer to scale up the production and order more
[3802.42s -> 3805.06s]  We want I want to touch again on this presale strategy. It's important
[3806.02s -> 3809.14s]  We didn't want our inventory currently in production to sell out
[3809.70s -> 3816.50s]  Ship out and have a secondary market takeover for people that didn't get in on the presale and wanted to claim items
[3816.90s -> 3819.97s]  This presale is going to continue normally
[3820.05s -> 3825.19s]  But those of you buying booster packs now, which is over our current inventory
[3826.45s -> 3829.09s]  You're going to need to wait a little longer for the till the next order
[3830.24s -> 3832.08s]  Uh, we'll get some better dates for you in the near future
[3832.08s -> 3835.84s]  But I we want to make sure we can make this really clear that there's going to be a waiting period
[3836.16s -> 3843.09s]  For boosters purchased as of this period now after the first shipments go out. This is very corporate
[3843.49s -> 3845.65s]  It has to be because I want to make sure I get this correct
[3847.12s -> 3849.11s]  so
[3849.11s -> 3852.55s]  That being said the availability the
[3854.07s -> 3856.07s]  This is not corporate anymore
[3856.79s -> 3862.40s]  The availability of the two player starter kits as I just heard holly laugh
[3863.32s -> 3866.68s]  As of this stream right now are not affected by the new production order
[3867.73s -> 3871.86s]  So people are still claiming through the stock and each kit has two boosters in it
[3872.93s -> 3876.05s]  So right now we've not gone through all of the starter kits
[3876.69s -> 3880.77s]  So those you're still fine if you if you're during the presale buying them now if you do
[3881.62s -> 3885.22s]  Uh, those as well as the first run of boosters are planning to ship out after the presale ends
[3886.61s -> 3891.09s]  So the starter kits are still available and it's not that boosters are not available
[3891.57s -> 3893.57s]  It's just the the second order
[3894.05s -> 3897.89s]  Of boosters is gonna you you'll get it later
[3897.97s -> 3900.77s]  It's gonna be a I don't want to give you a date because we don't really know
[3901.25s -> 3908.47s]  But it shouldn't be that long, but it will be a little longer. So we want to make sure people know this
[3909.70s -> 3910.72s]  also
[3910.72s -> 3914.04s]  Important some of the we didn't make well
[3914.04s -> 3920.29s]  I want to make sure we mentioned this some of the apparel and prints are only available for a limited time until march 31st
[3921.40s -> 3926.18s]  So the the 40 the original 40 beast shirts the art prints
[3926.58s -> 3933.65s]  The grotto beast logo hat and beanies and the glow in the dark version of that ghost hoodie and tee
[3934.63s -> 3945.65s]  Are all leaving the store on the 31st. That's the plan now. I want to talk about this
[3946.47s -> 3948.77s]  Get off my screen get off my screen
[3951.20s -> 3954.72s]  So the age rating on the box, I want to make this really clear
[3956.07s -> 3960.07s]  So it's listed as six plus as more of a guideline for the physical product
[3960.47s -> 3965.28s]  There are dice in here. We wanted people to make sure that there are small pieces in here
[3967.04s -> 3971.12s]  Because if you bought this and that and there was no like, you know minimum sort of age rating on it
[3971.94s -> 3975.94s]  There are there are small physical pieces in here and we just want to make sure people know that
[3978.82s -> 3980.02s]  also
[3980.02s -> 3987.72s]  Very important. This is a mature audience channel and although there are no pieces of explicit language or imagery
[3988.93s -> 3995.65s]  There are still references to tobacco cartoon violence cartoon mischief. It's it's stream references
[3996.95s -> 3998.95s]  So if you're like think about that, right?
[3999.67s -> 4004.96s]  There are references to characters here that might not be appropriate for little kids
[4006.20s -> 4009.80s]  But we try to make this project be as general audience as possible
[4010.12s -> 4016.05s]  But also keep in mind this is channel merch for this community first and foremost
[4017.52s -> 4020.02s]  This is merch for you guys
[4020.02s -> 4024.98s]  Merch for the community. That's all this project ever was intended to be so just be aware
[4025.38s -> 4029.54s]  That there are references to mature audience streams, even though we tried
[4030.10s -> 4039.09s]  To make this as general audience as we could you understand do you feel me outrage tobacco?
[4040.29s -> 4042.95s]  But you know, we want to make this clear for people
[4043.78s -> 4049.43s]  There are definitely going to be people that stumble upon this project and just potentially have no idea who the fuck I am
[4050.87s -> 4054.58s]  We just want people to know this
[4054.58s -> 4056.58s]  I do not understand
[4059.97s -> 4061.48s]  so
[4061.48s -> 4070.44s]  With all this being said are we clear on this stuff? Are we clear on these? Is everybody clear?
[4070.92s -> 4075.91s]  Can you please put this into simpler terms?
[4077.60s -> 4079.28s]  Um, no, I can't
[4079.28s -> 4081.65s]  That'll get me in trouble
[4084.68s -> 4087.88s]  No, I cannot because I want to make sure we're very clear on what's happening
[4088.20s -> 4093.56s]  I'll look over at the grotto bees group chat and it'll be in all capitals
[4094.04s -> 4103.52s]  Stop, stop, stop, stop. Can you explain this in family guy terms? No, I don't think I I don't think I can so
[4104.32s -> 4106.60s]  I it's time
[4106.60s -> 4112.16s]  I want to show you some things. He makes us sound so angry. No, they're i'm kidding
[4112.40s -> 4115.36s]  It's been it's a they're a wonderful group over there. I promise. I'm just kidding around
[4118.20s -> 4125.68s]  They are I have some things here that I would like to show you guys ready
[4126.00s -> 4130.55s]  Are you ready for me to reveal it? Stop bumping the mic. I'm not trying to
[4132.39s -> 4138.52s]  I'm gonna show you multiple things because it's kind of interesting how this plays out just sip my drink
[4140.45s -> 4149.57s]  Okay, let's go like this. Let's go like this
[4151.68s -> 4154.60s]  And then let's go like this
[4155.32s -> 4165.81s]  Oh, they can see me. Hold on. Hold on
[4167.08s -> 4173.67s]  Hi, how are you? Where are you? Where the heck are you? No, you're up there. Good to see you again
[4174.63s -> 4180.24s]  Uh, we're gonna go over the box. You got a full beard. It's hey, it's been kind of a wild couple of weeks
[4180.56s -> 4186.80s]  I'm not I haven't shaved or anything. I've had a haircut. We're just i'm sorry. That's just the way it is
[4187.04s -> 4196.76s]  Is it really delayed? It shouldn't be. Oh, maybe the last time I used my face cam was let me see
[4203.78s -> 4206.98s]  No, that should be fine
[4206.98s -> 4209.70s]  Don't it shouldn't be that's not delayed. What are you talking about? That's fine. What do you mean?
[4210.34s -> 4218.55s]  All right. So let's all right. You ready? Sure, but you're ugly. I want to show you
[4219.51s -> 4224.02s]  Now don't look yet. I want to show you the first iteration of the box
[4224.26s -> 4230.58s]  I'm gonna get to see behind the curtain here. So this is what the box looked like
[4231.30s -> 4236.71s]  Originally, let me make sure I got that right. Yeah, so here it is
[4237.54s -> 4242.48s]  So this is the original grotto beast box looks pretty cool, right?
[4242.88s -> 4247.27s]  This is the first iteration and I want to show you like it's it's all right
[4247.59s -> 4253.80s]  It's kind of it's kind of sturdy but not that sturdy and as you can see
[4256.29s -> 4257.57s]  It's not
[4257.57s -> 4261.96s]  We didn't we weren't really happy with this. We wanted there to be something interesting in here
[4263.86s -> 4270.85s]  This is where the dice were gonna go in here in this little thing, but it turned out to be kind of annoying
[4271.83s -> 4275.28s]  Uh, it turned out to kind of it could get like kind of squished. So we decided
[4275.92s -> 4282.10s]  Maybe let's do another version right another iteration. It just it just doesn't it just it really just didn't do it for us
[4282.79s -> 4284.79s]  And obviously if i'm gonna charge
[4285.33s -> 4287.35s]  79 fucking dollars for something like that
[4287.67s -> 4292.07s]  I want to make at least fucking some you know, make it make a quality if I can right
[4292.39s -> 4296.36s]  Because I didn't we didn't want to sell this for 80 bucks. No fucking way. That was not gonna happen
[4297.06s -> 4307.84s]  So but we thought okay, what what can we do? Then we came to this one now this one
[4308.64s -> 4316.72s]  The you can even hear it the material is a lot sturdier. This is this is the box. This is the real box
[4317.81s -> 4322.98s]  So in here, I want to maybe I can show you the difference between like this
[4323.46s -> 4327.24s]  Here they are on top of each other like you might not be able to see the difference
[4327.24s -> 4333.64s]  But you can definitely feel it. This is a little I want to say flimsier. This one is it's hard. It's sturdier
[4333.88s -> 4340.98s]  So then yeah, take a look. There it is. Now you're probably saying do this stuff. Where's all where's all the stuff?
[4342.56s -> 4346.88s]  This is this is a print. This is a sample. So if you take a look down there, ooh
[4348.02s -> 4352.61s]  Cool. This is what sits in the middle, which is now holding the dice
[4353.73s -> 4356.37s]  And I kind of fucked it up a little bit. So this is my own fault
[4356.93s -> 4358.53s]  This is what it sits in now
[4358.53s -> 4364.84s]  You get this little like boat and see there you see like the glowing it's like sits on top of this
[4366.12s -> 4368.44s]  This so it sits in the box like this
[4368.44s -> 4375.12s]  I fucked mine up because I was fucking with it too much but you get a dice boat that sits like this
[4376.44s -> 4378.76s]  And then there's two starter decks right here
[4380.44s -> 4382.44s]  It's pretty nice and it's a lot nicer than this
[4382.84s -> 4385.24s]  And like I said, we weren't going to sell this for 80 dollars. That would be fucking
[4385.80s -> 4389.59s]  I would I we've no way not going to happen. So here are the dice
[4389.83s -> 4400.18s]  I don't know if I can even show these that well, but here they are these dice they have can you see
[4403.59s -> 4408.12s]  There's the the print is the light's not great in here, but there's the the j
[4409.03s -> 4418.80s]  The the germa j these are fun for all your dice needs. Yeah, you can't see it
[4418.88s -> 4428.39s]  It's it's it doesn't come out that well on camera here, but they're themed dice pretty cool
[4428.79s -> 4436.71s]  So those sit in here like that and these I think these come in a little bag
[4440.21s -> 4445.16s]  They they will come in a little bag so they don't jump around too much and then
[4445.72s -> 4454.32s]  Aha is the manual the manual is right here. I don't want to show I should I open this
[4458.48s -> 4470.21s]  It's really nice. It's nice. It's kind of like acts as like a little art book too in a way
[4470.98s -> 4473.04s]  It's not an art book
[4473.04s -> 4476.34s]  But you know, they they there's a lot it's a listen
[4476.34s -> 4481.76s]  There's a lot of nice stuff in here and take a look there you go, but now this is not an art book
[4481.84s -> 4488.47s]  Let me make that really clear not an art book. It's the manual the rules for the game
[4489.09s -> 4494.24s]  But there is like some nice stuff here. Then
[4495.70s -> 4508.80s]  Here there are two play mats here is one of the play mats and this is just standard
[4509.36s -> 4513.52s]  Paper, this is not uh, like felt or something. But here's the play mat is one of them
[4515.75s -> 4530.69s]  They're pretty big and then here's the other one. They're not like felt. Here you go. Here's the
[4531.33s -> 4538.58s]  Here's the other one pretty cool pretty cool stuff and then
[4540.93s -> 4549.91s]  That's also in that box and then we get to these these are my favorite. This is my favorite part these
[4551.25s -> 4553.57s]  So I can't open these there's nothing in here
[4554.58s -> 4556.58s]  I just want to get you to see what it looks like in somebody's hand
[4558.10s -> 4566.48s]  They feel nice. The foils are cool. Take a look back. Can you get a good view? Take a look at that
[4570.12s -> 4572.68s]  There it is
[4572.68s -> 4579.83s]  These are your packs two of these come in the box. They come in the box and why don't we
[4581.22s -> 4583.22s]  No, that's my favorite part for sure
[4586.36s -> 4591.11s]  Oh also very important to mention all the cards. This is all printed and made in america
[4591.43s -> 4593.83s]  The only difference is the dice were not the dice were made in china
[4594.45s -> 4599.00s]  so everything that this whole thing was made and printed in the united states, so
[4599.64s -> 4604.15s]  That's that's cool. There you go card reveal
[4606.40s -> 4612.72s]  Is one pretty shiny feels pretty good
[4613.78s -> 4617.72s]  Give you kind of kind of a look of what they look like in somebody's hand
[4617.96s -> 4627.51s]  But if I get it really close, I wonder if I can get it close for you
[4631.09s -> 4643.60s]  And again, these are standard these are standard playing card sizes. Hey haven't even fucking seen this one yet
[4644.69s -> 4652.47s]  You haven't even seen this one yet card reveal the lighting in the room is not great
[4652.55s -> 4657.99s]  But so this is a rare I don't have any holographics to show because they're being made so I can't really show them
[4659.25s -> 4665.88s]  But this is what one looks like you want to see the back if it looks like on the back
[4667.62s -> 4675.67s]  You know if you want to hear you want to sound test sound test flip test row test
[4675.99s -> 4692.72s]  I'm gonna move it around pretty sturdy pretty solid. There you go. You want me to fan it out taste test
[4699.57s -> 4702.60s]  Oh, wait, let me show this. This is glue man
[4702.84s -> 4712.12s]  I wish the camera wasn't so bad because this it they actually the printing came out really nicely for yeah
[4712.12s -> 4716.58s]  It's full art. Yeah, the rares, uh, i've learned the rares the
[4717.32s -> 4723.41s]  Challenger cards, I believe are full right make sure make sure somebody corrects me. Can you see it?
[4723.41s -> 4736.61s]  Well, there you go. Throw it at the wall. No, this is my glue man. I'm not doing that. You crazy
[4738.60s -> 4744.69s]  Yeah, I just we wanted to show people what because I look I get it. It's 80 fucking dollars
[4744.93s -> 4751.67s]  It's 10 bucks per pack. I I want you to be able to understand what you're getting. So let's fan it out
[4752.60s -> 4759.75s]  Sorry, i'm looking over here. I have to look at the preview to make sure i'm showing it right there you go
[4760.76s -> 4770.21s]  That's what you can expect printed and made in america except for the dice
[4771.84s -> 4781.24s]  It's been it's been quite a journey. There you go. What happens if you rip the mats?
[4781.56s -> 4787.83s]  I would just be careful with them. Be careful with them. Oh also. Yeah, very very important to remember as well
[4789.19s -> 4795.11s]  That there are two full decks that are coming with this box. I just I don't have them here right now
[4796.44s -> 4798.04s]  they're not we
[4798.04s -> 4801.80s]  I did we had printing stuff and they're they're making them. They're they're producing them
[4801.88s -> 4804.44s]  But we these are just samples of the boxes and some of the cards
[4805.14s -> 4811.78s]  So there are two full decks that will be sitting in these little wells and then everything will sit on top
[4811.86s -> 4823.54s]  Actually, i'll show you what it might look like when you open it probably a good idea hold everything back up
[4828.40s -> 4831.75s]  There are duplicates. Yes, there are the game
[4832.55s -> 4836.23s]  So besides this being channel merch because that's what this is
[4837.25s -> 4843.25s]  We wanted a good functioning game on top of it because why not like i've got originally this was going to be baseball cards
[4844.15s -> 4848.72s]  In quotes, so this was originally just going to be no game
[4849.60s -> 4851.92s]  We got in touch with the game designer and it was like why not let's go
[4852.74s -> 4855.36s]  Why not just have something fun on top of it, too?
[4855.36s -> 4857.70s]  so there are
[4857.70s -> 4863.78s]  You can have duplicates in a deck and it's the game the game wise it makes sense because I think you can have up to three
[4864.18s -> 4870.24s]  Cards, right up to three the same card. I gotta fold this up. Nice. I don't want to mess it up
[4873.54s -> 4880.58s]  So in the starter deck there are duplicates because they are pre-built decks for you to just be able to play it or just collect it
[4880.82s -> 4894.85s]  So the decks in there are pre-built. I gotta fold this. I'm so paranoid. I'm gonna rip it because I don't want to let
[4895.72s -> 4903.67s]  This is my special sample copy. I don't want to mess it up. They're pretty sturdy though because it feels like it
[4903.91s -> 4915.44s]  There we go. What do they smell like? I don't know nothing. Uh that moon by the way
[4916.64s -> 4918.40s]  That moon card comes in the starter kit
[4918.40s -> 4921.08s]  So that's good to know if you want that card
[4921.24s -> 4925.48s]  It's in the starter kit my card the germa card is also in the starter kit as well
[4928.79s -> 4934.16s]  Would you like to see how far we've come?
[4934.16s -> 4943.88s]  This is from the stream. Do you remember this? Yeah, these are these are from the these are from the stream
[4944.20s -> 4949.56s]  Do you remember the stream? These are not I would say these are not bad
[4949.96s -> 4954.85s]  You know, they're a little the cut is a little we did this happened by
[4955.41s -> 4961.56s]  Yeah, archaeologist don't bend it. I'm not I just want to show you the difference. I want to show you the difference
[4965.64s -> 4972.48s]  I'm not bending them that hard. Yeah, two different pre-built decks two different decks. You don't get two of the same one
[4972.48s -> 4984.20s]  It's two different pre-built decks. There you go. You want to see the difference might as well show the difference, right?
[4987.96s -> 4992.69s]  So the one on the left is the original the one on the right is the new the new one
[4993.01s -> 4998.15s]  The new card I guess you could say the new what it looks like actually that better idea to show it like this
[4998.55s -> 5006.82s]  Did you get a good idea of what like the first original on the stream looked like there we go
[5007.14s -> 5023.43s]  So this one on the left is the the ones we're printing one of the right is the original and again printed and made in america
[5023.67s -> 5040.60s]  I want to make that point clear in the united states of america. Oh, I dropped them my precious my precious samples
[5044.21s -> 5050.29s]  So between the two starter decks that you get there are I believe there are 40 unique cards
[5051.01s -> 5056.53s]  Because they're doubles they have to have doubles for the game sense, right? There's 84 cards total in each
[5057.25s -> 5063.00s]  Across the two starter decks. So there you go. I
[5065.36s -> 5066.88s]  More than 40 unique cards. Sorry
[5066.88s -> 5070.15s]  I'm just i'm looking I gotta get corrected by the ground abuse group chat
[5071.80s -> 5079.01s]  And then you get the two boosters in there too, which is another 20 cards. There you go. Pick them up
[5079.09s -> 5092.72s]  I they've they've fallen in a perfect position pinned tweet pinned tweet. Thank you for the demonstration. Mr
[5092.72s -> 5103.43s]  Jeremy will this be on the test if it's more than it was more than a it's more than a four. It's on the test
[5107.48s -> 5125.08s]  Thanks our grotto beast nfts. No, what's up saying that look I like this this it's cool
[5126.31s -> 5129.19s]  All right. There you go. I want to show it now you see kind of what's in the box
[5129.27s -> 5136.66s]  Unfortunately, the two pre-built starter decks are not there as well as any of the cards that obviously because we don't have that
[5136.66s -> 5143.22s]  I don't have them here. There you go. Are there any questions before we move on?
[5143.38s -> 5145.38s]  I want to make sure we answer most of the stuff right now
[5154.77s -> 5161.04s]  Why did I how am I going to answer any of these when are they shipping?
[5161.78s -> 5163.38s]  All right grotto beast group chat
[5163.38s -> 5167.14s]  Give me a hand here because we're having a pre-sale go for the next probably two weeks
[5168.04s -> 5174.20s]  After the pre-sale ends the inventory that we've already have in production right now will be part of the first things to ship out
[5175.78s -> 5179.38s]  Again, if you are buying boosters right now
[5180.16s -> 5186.95s]  You are claiming the second run of production because the first run of production has already been claimed
[5192.40s -> 5196.68s]  How many total unique cards are there 200?
[5197.59s -> 5210.42s]  There are 200 unique cards. Is it feasibly possible to collect everything?
[5211.38s -> 5215.72s]  That is a good question. I think the purpose with this was
[5216.28s -> 5218.64s]  to be interesting merch and
[5219.04s -> 5222.64s]  We don't really have a plan as of right now and what we're going to do in the future with this
[5223.70s -> 5235.84s]  So I don't know. I guess maybe I it's a great question because it's a limited run as well. What's the calorie count?
[5239.52s -> 5242.64s]  Yes, the pre-sale is going to ship out shortly after the pre-sale ends
[5243.04s -> 5246.64s]  So in a couple of weeks just check back every so often
[5246.72s -> 5252.92s]  Well, i'm guys i'm going to be talking about this every five or six days until every like but that's way too long
[5253.24s -> 5256.18s]  I'll be talking about this every day or two on stream
[5256.82s -> 5261.54s]  Until the pre-sale is over again. The point of the pre-sale is even though we've gone through
[5262.44s -> 5264.61s]  our production inventory
[5265.09s -> 5270.90s]  Of boosters. I didn't want it to say well, it's sold out and that's it
[5271.60s -> 5275.44s]  And sorry, but we went through our inventory and that's it. We have to contact the printer
[5276.98s -> 5282.60s]  Reprint do a second run but keep the pre-sale open so you can still claim it at the price
[5282.60s -> 5289.01s]  We are showing you if we didn't if it was just that one run and we didn't kind of keep this pre-sale going
[5289.57s -> 5292.12s]  Then two or three weeks from now
[5292.12s -> 5294.12s]  I don't want these to appear for you know
[5294.20s -> 5298.82s]  The price that we a price that we are not telling you to pay weeks down the road
[5299.46s -> 5304.58s]  We want whoever wants this over the coming two or three weeks to be able to claim
[5304.98s -> 5312.40s]  Product for the price that we are telling you so over these two and a half weeks or so
[5314.15s -> 5318.47s]  We're keeping a pre-sale going regardless if we run out of production inventory
[5318.71s -> 5328.21s]  How long is a pre-sale at least for at least 10 to 14 more days at least there you go
[5328.45s -> 5342.77s]  Will you play it on stream? You will absolutely see this be shown on stream. I can't say i'm very good
[5342.77s -> 5345.11s]  Good
[5345.11s -> 5347.11s]  It's very it's fun though. It's very fun
[5354.69s -> 5359.01s]  and then another couple weeks we'll have maybe something else to talk about and
[5360.05s -> 5364.56s]  Show you but from now, we're really happy
[5364.56s -> 5368.66s]  It seems like people are into it and that was a big fear is is
[5368.90s -> 5372.10s]  Are people and all the production costs and everything is this like people?
[5372.58s -> 5379.03s]  Kind of actually care about this and the answer apparently is yes. So thanks everybody
[5379.81s -> 5384.29s]  We're all you you cannot understand the the excitement going on over here everyone. That's just
[5384.77s -> 5389.57s]  So happy with the reception and we hope you like it. We hope you think it's a good enough quality
[5389.57s -> 5391.88s]  we really hope you do and
[5392.66s -> 5404.90s]  It's it's merch. It's channel merch and that's pretty much the way that it is. It's very
[5405.62s -> 5417.35s]  Different channel merch, but it is merch nonetheless and any plans on this project going forward. We don't have
[5418.16s -> 5421.84s]  There's no plans right now. We don't want to talk about any plans
[5422.40s -> 5428.39s]  Because we need to see how this goes this is uncharted territory for everybody over here
[5428.87s -> 5441.75s]  So we're trying trying we're trying to figure it out. This guy sucks at grotto beasts
[5446.79s -> 5450.71s]  What happened to the pin tweet? I deleted it because I need to make room for another one
[5459.36s -> 5462.12s]  I hope it makes it big
[5462.12s -> 5464.92s]  Well, and again, I that's fucking cool
[5465.64s -> 5471.73s]  That's really really cool. I I can't even believe that that's something that somebody would even utter but remember
[5472.37s -> 5478.82s]  It's fun channel merch first and foremost. We made this for you guys. We made this for this community
[5479.76s -> 5483.68s]  That was the intent that was the purpose and whatever people do with it
[5483.68s -> 5492.64s]  Whatever people think whatever how much fun people have with it. Cool. That's awesome. That makes all of us happy and we'll see
[5493.04s -> 5502.50s]  Let's go back to hylix. Although
[5503.28s -> 5505.12s]  I got i'm gonna i gotta pee
[5505.12s -> 5840.71s]  I'll be right back. I'm gonna go pee. Okay
[5841.43s -> 5843.27s]  I am back
[5843.27s -> 5847.11s]  Sorry, I was gone for a little bit. I wanted to refill my little drink I have here
[5847.99s -> 5849.94s]  I also wanted to
[5849.94s -> 5858.42s]  Just kind of corroborate with the grotto beast team make sure everything I said was accurate. Cool. Oh, there's no music. I'm sorry
[5858.82s -> 5865.91s]  Should have been this
[5865.91s -> 5867.51s]  Well, I did pee
[5867.51s -> 5873.24s]  I peed and then I was like, hey, let's ask a couple of questions to make sure I got this right
[5873.80s -> 5885.81s]  Okie dokie. Let's play
[5886.05s -> 5896.82s]  Hylix so what's the last thing we just did right? Okay. I came here. I did this
[5897.30s -> 5905.67s]  I'm gonna go to that place where I was before down here. Oh, I don't need to go in this
[5905.99s -> 5918.07s]  Don't you dare tell me that I need to relax. Well, i'm saying what I
[5918.63s -> 5925.22s]  I'm relaxing right now. Okay
[5927.27s -> 5938.77s]  I think I could fight these things now. Can I I should be strong enough? I'm doing it. Oh shit
[5938.77s -> 5956.58s]  I forgot to sleep vibe check. I think the vibes are pretty great. Uh, I need to heal
[5967.30s -> 6004.72s]  That hurt two damage don't do it. No, I think i'm all right. Jesus this hurts. Oh
[6005.52s -> 6018.05s]  I could revive but no, I only have one of those shit
[6019.06s -> 6032.44s]  Kind of in trouble
[6032.44s -> 6039.75s]  deal
[6039.75s -> 6058.56s]  I think i'll survive. Yeah, i'm all right. These things hurt the sauce still says you're in the bathroom
[6060.36s -> 6064.52s]  Well, the stream is live right now if that's for only when the stream is offline
[6073.84s -> 6090.47s]  600 bucks damn. Okay. Hold on. This is we need to heal. Wait, he's just dead. Oh
[6091.59s -> 6107.48s]  I have to use the burrito. All right
[6116.90s -> 6119.57s]  What the fuck are you guys doing over here?
[6119.81s -> 6128.55s]  I'm not gonna even i'm not i'm not gonna show that because it's stupid
[6135.33s -> 6141.25s]  No, if you i'm no i'm not even gonna address it it's it's a stupid meme that somebody did in the discord
[6141.49s -> 6156.10s]  I'm not doing that. I can't i'm playing a game right now. I can't show it tv
[6156.42s -> 6169.67s]  I don't even understand what this meme is
[6169.67s -> 6175.92s]  What is this meme trying to what is this meme? Can somebody explain this to me? I don't get it
[6176.00s -> 6178.80s]  I mean I get it what they're doing, but I don't get it at the same time
[6181.80s -> 6187.46s]  Bernie watching a video of me with cigarette packs smoking a cigarette. I don't get it
[6187.54s -> 6192.48s]  I don't understand this and i'm not showing it. I'm just not gonna show it. I don't get it
[6201.64s -> 6234.53s]  I don't get what does this mean? Fine. I'll show it. What is this supposed to be? I I don't get it
[6240.87s -> 6252.04s]  I understand this
[6252.04s -> 6270.52s]  Does anybody get it?
[6271.70s -> 6276.52s]  All right. I don't want to die. I don't want to lose here. I gotta pay attention. I activated that crystal, right?
[6276.60s -> 6288.10s]  Yeah, I don't think there's anything to get necessarily. I I don't get it. I I I don't get it
[6288.10s -> 6312.16s]  I don't get this. I don't get this. We're gonna kill one real quick right now. You're not gonna die again, right?
[6312.48s -> 6332.53s]  You know, you're gonna die again. What he's a full health. Why'd he die so quickly bro? You suck
[6332.77s -> 6339.01s]  No, I I gotta pay attention people are sending me bernie sanders like smoking memes of me holding cigarette packs
[6339.33s -> 6341.33s]  I'm a little distracted right now
[6350.96s -> 6363.17s]  No, no, it's fine. I am kind of in trouble though
[6363.49s -> 6371.06s]  I think I have to die because then I can put them turn the meat in right? Let's maybe that's not a bad thing
[6375.54s -> 6392.37s]  Parasite crystal. Whoa, i'm the sage of computers. I grant you my token sage's token. Okay, there's one more token
[6392.77s -> 6404.12s]  What about this?
[6404.12s -> 6410.10s]  Cool. Okay, so I have this token. I am terrified of this thing
